鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
士林區,土地,富安段一小段408-2地號,289.42,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,22325000,77137,,0.0,0,,RPSOMLSJMHLGFEA48DA,0.0,0.0,0.0,無,
中正區,房地(土地+建物),臺北市中正區延平南路１６３巷４號二樓之１,3.5,住,,,1150306,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690122,19.32,0,0,0,無,有,2500000,129467,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKMLHLGFAA37DA,14.01,0.0,2.51,有,001
文山區,房地(土地+建物),臺北市文山區興隆路三段１３７號四樓之１０,6.39,住,,,1150316,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970523,30.39,1,1,1,有,有,8280000,272458,,0.0,0,,RPTNMLKMLHLGFAA47DA,16.91,2.59,0.0,有,
中正區,房地(土地+建物),臺北市中正區羅斯福路三段８４巷２１號地下,17.77,住,,,1150306,土地1建物1車位0,地下層,七層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0670901,91.13000000000001,0,1,1,有,有,6980000,76594,,0.0,0,其他增建；,RPVNMLKMLHLGFAA67DA,81.23,0.0,0.0,有,
文山區,車位,臺北市文山區汀州路四段１８３之１號,0.8,住,,,1150318,土地1建物1車位1,一層,二十二層,其他,一般零售業,鋼筋混凝土造,1000113,36.01,0,0,0,無,無,2500000,,坡道平面,36.01,2500000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPOPMLKMLHLGFAA17DA,0.0,0.0,0.0,有,002
大同區,房地(土地+建物),臺北市大同區迪化街二段７６號,23.07,住,,,1150316,土地5建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0800125,98.42,3,2,2,有,有,26000000,264174,,0.0,0,,RPRNMLQKLHLGFBA77DA,72.77,8.16,0.0,有,003
中正區,房地(土地+建物)+車位,臺北市中正區臨沂街３３巷４６號七樓之２,10.93,住,,,1150320,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150116,89.58,1,1,1,有,有,27600000,459600,坡道機械,35.62,2800000,,RPSNMLRLLHLGFBA08DA,31.79,0.0,3.32,有,
萬華區,房地(土地+建物),臺北市萬華區富民路１４７號,1.57,住,,,1150306,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590321,6.02,2,1,1,有,無,350000,58140,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLRLLHLGFBA28DA,6.02,0.0,0.0,無,
萬華區,土地,萬華段一小段482-2地號,1.0,商,,,1150317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1926800,0,,0.0,0,政府機關標讓售；,RPWNMLKMLHLGFBA87DA,0.0,0.0,0.0,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街１６１巷８號十二樓,19.75,住,,,1150308,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940712,128.75,4,2,1,有,有,31800000,319326,坡道平面,38.56,3000000,其他增建；,RPWOMLOLLHLGFCA38DA,57.89,0.0,7.38,有,
中山區,房地(土地+建物),臺北市中山區撫順街２１之１號,22.12,商,,,1150318,土地1建物1車位0,一層，騎樓，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931203,200.7,0,1,1,有,有,67100000,334330,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLRLLHLGFCA28DA,136.51,0.0,0.0,有,004
內湖區,房地(土地+建物),臺北市內湖區內湖路二段３１９號四樓,11.38,商,,,1150304,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,0570703,45.46,3,2,2,有,無,8030000,176639,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKMLHLGFCA47DA,45.46,0.0,0.0,無,
