編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLKMLHLGFAA47DA,18,19.50,住家用,鋼筋混凝土造,97年5月23日,十層,四層 雨遮,全筆移轉
RPTNMLKMLHLGFAA47DA,18,5.51,共有部分,鋼筋混凝土造,97年5月23日,十層,,持分移轉
RPTNMLKMLHLGFAA47DA,18,5.39,共有部分,鋼筋混凝土造,97年5月23日,十層,,持分移轉
RPQNMLLMLHLGFEA67DA,31,37.71,商業用,鋼筋混凝土造,83年11月18日,六層,二層 通道,全筆移轉
RPQNMLLMLHLGFEA67DA,31,6.55,共有部分,鋼筋混凝土造,83年11月18日,六層,,持分移轉
RPQNMLLMLHLGFEA67DA,31,8.58,共有部分,鋼筋混凝土造,83年11月18日,六層,,持分移轉
RPSNMLKMLHLGFAA37DA,46,16.52,住家用,鋼筋混凝土造,69年1月22日,七層,二層 陽台,持分移轉
RPSNMLKMLHLGFAA37DA,46,2.80,共有部分,鋼筋混凝土造,69年1月22日,七層,,持分移轉
RPQNMLNLLHLGFFA87DA,17,138.52,住家用,鋼筋混凝土造,97年12月26日,十層,三層 陽台 雨遮,全筆移轉
RPQNMLNLLHLGFFA87DA,17,9.36,共有部分,鋼筋混凝土造,97年12月26日,十層,,持分移轉
RPQNMLNLLHLGFFA87DA,17,49.70,共有部分,鋼筋混凝土造,97年12月26日,十層,,持分移轉
RPQNMLNLLHLGFFA87DA,17,97.56,共有部分,鋼筋混凝土造,97年12月26日,十層,,持分移轉
RPTNMLKMLHLGFBA67EA,10,83.03,一般事務所,鋼筋混凝土造,104年10月8日,十五層,十五層 陽台 雨遮,全筆移轉
