編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLKMLHLGFAA47DA,公訓段二小段,6.39,都市：其他:第三種住宅區。,100000,647,持分移轉,04880000
RPSOMLSJMHLGFEA48DA,富安段一小段,289.42,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,1,1,全筆移轉,04080002
RPQNMLLMLHLGFEA67DA,光華段四小段,7.99,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,70000,498,持分移轉,00940000
RPSNMLKMLHLGFAA37DA,南海段五小段,3.50,都市：其他:第三種住宅區。,40000,43,持分移轉,05140000
RPQNMLNLLHLGFFA87DA,學府段四小段,34.78,都市：其他:第三種住宅區。,100000,5486,持分移轉,01340000
RPQNMLNLLHLGFFA87DA,學府段四小段,.97,都市：其他:第三種住宅區。,100000,5486,持分移轉,01340001
RPTNMLKMLHLGFBA67EA,城中段一小段,8.87,都市：其他:第四種商業區。,100000,1628,持分移轉,03360000
RPVNMLKMLHLGFAA67DA,河堤段一小段,17.77,都市：其他:第三種住宅區。,20000,1074,持分移轉,00950000
RPQOMLOJLHLGFDA77EA,逸仙段三小段,25.94,都市：其他:第四種住宅區。,10000,701,持分移轉,07630000
RPUNMLRLLHLGFBA28DA,青年段二小段,.08,都市：其他:第三之二種住宅區。,120,2,持分移轉,05010000
RPUNMLRLLHLGFBA28DA,青年段二小段,1.48,都市：其他:第三種住宅區。,120,2,持分移轉,05010001
RPSNMLRLLHLGFBA08DA,臨沂段二小段,10.93,都市：其他:第三種住宅區。,1000000000,15000000,持分移轉,00880000
RPSNMLRLLHLGFFA48DA,復興段二小段,.37,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第貳種商業區)。,100000,540,持分移轉,01580001
RPSNMLRLLHLGFFA48DA,復興段二小段,3.96,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,100000,540,持分移轉,01590000
RPRNMLKMLHLGFCA47DA,碧湖段二小段,11.38,都市：其他:第三種商業區。,8,1,持分移轉,01980000
RPPNMLKMLHLGFCA37EA,長安段三小段,30.40,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,10,1,持分移轉,05350000
RPOPMLKMLHLGFAA17DA,萬隆段二小段,.80,都市：其他:第三種住宅區。,100000,20,持分移轉,04610000
RPRNMLQLLHLGFAA77DA,南海段二小段,6.49,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,100000,1695,持分移轉,02800000
RPSOMLRLLHLGFCA28DA,中山段二小段,22.12,都市：其他:第三種商業區。,100000,967,持分移轉,00510000
RPUNMLKMLHLGFBA77EA,城中段一小段,9.25,都市：其他:第四種商業區。,100000,1697,持分移轉,03360000
RPWNMLKMLHLGFBA87DA,萬華段一小段,1.00,都市：其他:第三種商業區。,1,1,全筆移轉,04820002
RPSNMLQKLHLGFBA87DA,龍山段一小段,4.38,都市：其他:第三種商業區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,8,1,持分移轉,04500000
RPSNMLQKLHLGFBA87DA,龍山段一小段,9.54,都市：其他:第三種商業區。,8,1,持分移轉,04510000
RPSNMLQKLHLGFBA87DA,龍山段一小段,11.00,都市：其他:第三種商業區。,8,1,持分移轉,04520000
RPUOMLLMLHLGFBA87DA,公園段一小段,2.44,都市：其他:地區商業用地(台北車站特定專用區)。,100000,122,持分移轉,01280000
RPUOMLLMLHLGFBA87DA,公園段一小段,.23,都市：其他:地區商業用地(台北車站特定專用區)。,100000,122,持分移轉,01280001
RPPOMLKLLHLGFDA37DA,敦化段二小段,.00,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,6300000,1,持分移轉,03720000
RPUOMLLMLHLGFBA87DA,公園段一小段,.22,都市：其他:道路用地(公共設施用地)。79/5/29,100000,122,持分移轉,01280002
RPPOMLKLLHLGFDA37DA,敦化段二小段,.00,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,6300000,1,持分移轉,03800000
RPUOMLLMLHLGFBA87DA,公園段一小段,.01,都市：其他:地區商業用地(台北車站特定專用區)。,100000,122,持分移轉,01280003
RPUOMLLMLHLGFBA87DA,公園段一小段,.13,都市：其他:交通用地(公共設施用地)。75/9/9,100000,122,持分移轉,01280004
RPRNMLQKLHLGFBA77DA,橋北段三小段,.15,都市：其他:第三之一種住宅區。,100000,2206,持分移轉,02330002
RPRNMLQKLHLGFBA77DA,橋北段三小段,2.78,都市：其他:第三之一種住宅區 但是否在第三種住宅區(應依建築線或俟地籍測量分割後，再確定)。,100000,2258,持分移轉,03240000
RPRNMLQKLHLGFBA77DA,橋北段三小段,6.12,都市：其他:第三之一種住宅區 但是否在第三種住宅區(應依建築線或俟地籍測量分割後，再確定)。,100000,2258,持分移轉,03270000
RPRNMLQKLHLGFBA77DA,橋北段三小段,5.92,都市：其他:第三之一種住宅區 但是否在第三種住宅區(應依建築線或俟地籍測量分割後，再確定)。,100000,2258,持分移轉,03280000
RPRNMLQKLHLGFBA77DA,橋北段三小段,8.11,都市：其他:第三種住宅區。,100000,2258,持分移轉,03290000
RPQNMLQLLHLGFDA97DA,福德段二小段,8.25,都市：其他:道路用地(公共設施用地)。51/9/1,4,1,持分移轉,05930000
RPUPMLPLLHLGFDA48DA,福德段二小段,6.00,都市：其他:道路用地(公共設施用地)。51/9/1,4,1,持分移轉,05450000
RPROMLOLLHLGFDA97DA,寶清段一小段,21.59,都市：其他:第三種住宅區。,33106,85,持分移轉,00570004
RPWNMLRLLHLGFFA88DA,懷生段一小段,.98,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第貳種商業區)。,10000,25,持分移轉,01310000
RPRNMLRLLHLGFEA28DA,振興段二小段,1.24,都市：其他:道路用地(公共設施用地)。71/11/8,1,1,全筆移轉,03550001
RPUNMLLMLHLGFEA08DA,華岡段一小段,106.94,都市：其他:特定住宅區(二)。,10000,111,持分移轉,05570000
RPWOMLOLLHLGFCA38DA,康寧段三小段,19.75,都市：其他:第三種住宅區。,10000,93,持分移轉,00790000
RPRNMLKMLHLGFBA47EA,青年段一小段,10.32,都市：其他:第一種商業區(特)。,16850,234,持分移轉,01320000
RPRNMLKMLHLGFBA47EA,青年段一小段,1.21,都市：其他:第一種商業區(特)。,16850,234,持分移轉,01330000
RPXOMLKLLHLGFCA08DA,文德段二小段,30.97,都市：其他:第三種住宅區。,10000,281,持分移轉,06030004
RPPNMLLMLHLGFAA27EA,木柵段一小段,7.29,都市：其他:第三種商業區。,100000,1189,持分移轉,02440000
RPPNMLLJMHLGFAA96DA,景美段五小段,9.30,都市：其他:第三種商業區。,10000,342,持分移轉,00870000
RPSNMLLJMHLGFCA57EA,吉林段四小段,2.61,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,612,5,持分移轉,04950000
RPPNMLKMLHLGFEA47DA,天山段一小段,39.00,都市：其他:道路用地(公共設施用地)。42/2/2,1,1,全筆移轉,01440001
RPPNMLKMLHLGFEA57EA,中洲段,6.04,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,10000,1002,持分移轉,03650000
RPPNMLKMLHLGFEA57EA,中洲段,.22,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,10000,1002,持分移轉,03650001
RPPNMLKMLHLGFEA57EA,中洲段,110.12,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,10000,1002,持分移轉,03720000
RPPNMLKMLHLGFEA57EA,中洲段,19.84,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,10000,1002,持分移轉,04620000
RPPNMLKMLHLGFEA57EA,中洲段,.60,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,10000,1002,持分移轉,04620001
RPPPMLNLLHLGFCA67DA,長安段四小段,27.67,都市：其他:第三之二種住宅區。,3,1,持分移轉,04510000
RPVNMLQLLHLGFCA38DA,長春段二小段,2.17,都市：其他:第三種住宅區。,10000,10,持分移轉,07920000
RPOOMLQJLHLGFAA37DA,實踐段一小段,52.98,都市：其他:第三種住宅區。,10000,352,持分移轉,00330000
RPTNMLRJMHLGFBA08DA,華江段三小段,60.60,都市：其他:特定專用區(一)。,20,4,持分移轉,05060000
RPSNMLLJMHLGFBA47EA,青年段一小段,17.33,都市：其他:第三種住宅區。,100000,367,持分移轉,00670000
RPPNMLQLLHLGFEA97DA,三玉段四小段,44.50,都市：其他:第三種住宅區。,10000,1000,持分移轉,02980000
RPXNMLTJLHLGFEA88DA,永平段一小段,43.50,都市：其他:第三種住宅區。,4,1,持分移轉,03130000
RPPNMLRJMHLGFFA18EA,仁愛段二小段,20.20,都市：其他:第四種住宅區。,1000,20,持分移轉,03770000
RPROMLLMLHLGFBA57DA,臨沂段二小段,10.93,都市：其他:第三種住宅區。,1000000,15000,持分移轉,00880000
RPPNMLRJMHLGFFA18EA,仁愛段二小段,.08,都市：其他:道路用地(公共設施用地)。61/3/27,1000,20,持分移轉,03770001
RPTOMLKLLHLGFCA67DA,榮星段六小段,59.86,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,852148,39088,持分移轉,03890000
RPPOMLOJKHLGFAA17DA,南海段二小段,9.20,都市：其他:第四種住宅區。,100000,1212,持分移轉,02180000
RPRNMLPLLHLGFAA67DA,公訓段二小段,48.33,都市：其他:第三種住宅區。,3,1,持分移轉,03390000
RPUQMLKKKHLGFBA67DA,大龍段三小段,9.31,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆之壹種住宅區容積率依都市計畫書規定辦理)。,10000,199,持分移轉,00330000
