鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,13.98,住,,,1150301,土地2建物1車位1,十二層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,109.08,2,2,2,有,無,30110000,314319,坡道平面,22.83,3000000,原113/8/24A02-12F於115/3/1加購車位,RPPNMLMJLHLGFAA96CB,元利四季莊園,A棟12F-A02號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,23.13,住,,,1150301,土地2建物1車位1,十四層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,167.38,3,2,2,有,無,49380000,321762,坡道平面,24.79,3500000,,RPSNMLMJLHLGFAA27CB,元利四季莊園,E棟14F-E05號,
北投區,房地(土地+建物)+車位,臺北市北投區洲美里洲美街,27.21,其他,,,1150302,土地2建物1車位1,二十一層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,183.78,3,2,2,有,無,68280000,442384,坡道平面,37.12,3400000,毛胚屋；,RPQNMLNJLHLGFEA57CB,樺輝詠鑄,A2號,
北投區,房地(土地+建物)+車位,臺北市北投區洲美里洲美街,27.21,其他,,,1150301,土地2建物1車位1,十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,181.06,3,2,2,有,無,66680000,432156,坡道平面,34.4,3300000,毛胚屋；,RPRNMLNJLHLGFEA67CB,樺輝詠鑄,A3號,
北投區,房地(土地+建物)+車位,臺北市北投區洲美里洲美街,27.21,其他,,,1150301,土地2建物1車位1,十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,183.78,3,2,2,有,無,66680000,432156,坡道平面,37.12,3300000,毛胚屋；,RPSNMLNJLHLGFEA77CB,樺輝詠鑄,A2號,
大同區,房地(土地+建物)+車位,臺北市大同區永樂里西寧北路,11.71,其他,,,1150303,土地20建物1車位2,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.5,3,2,2,有,無,58060000,374824,坡道平面,72.14,4700000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSJLHLGFBA77CB,天光之埕,J號,
中正區,房地(土地+建物)+車位,臺北市中正區詔安街240號旁,22.39,住,,,1150304,土地24建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.72,3,2,2,有,無,46800000,270604,坡道平面,34.86,3000000,本戶雨遮計坪不計價,RPQNMLTJLHLGFAA77CB,國雄中正,B棟B2-03F號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,27.83,住,,,1150303,土地2建物1車位1,十五層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,196.3,3,2,2,有,無,55710000,306163,坡道平面,24.79,3200000,,RPSNMLTJLHLGFAA97CB,元利四季莊園,A棟15F-A01號,
文山區,房地(土地+建物),臺北市文山區木柵路一段,23.13,住,,,1150304,土地2建物1車位0,二十三層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,142.6,3,2,2,有,無,45590000,319705,,0.0,0,,RPTNMLTJLHLGFAA08CB,元利四季莊園,A棟23F-A09號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,23.13,住,,,1150303,土地2建物1車位1,三層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,167.38,3,2,2,有,無,45550000,296304,坡道平面,24.79,3300000,,RPUNMLTJLHLGFAA18CB,元利四季莊園,B棟03F-B05號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,23.13,住,,,1150303,土地2建物1車位1,九層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,167.29,3,2,2,有,無,46790000,305895,坡道平面,24.79,3200000,,RPVNMLTJLHLGFAA28CB,元利四季莊園,C棟09F-C05號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,13.18,住,,,1150306,土地2建物1車位1,十二層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,104.19,2,2,2,有,無,30460000,336283,坡道平面,22.83,3100000,,RPOOMLTJLHLGFAA67CB,元利四季莊園,E棟12F-E07號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,31.14,住,,,1150304,土地2建物1車位1,十八層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,216.6,3,2,3,有,無,62650000,309421,坡道平面,24.79,3300000,,RPQOMLTJLHLGFAA87CB,元利四季莊園,G棟18F-G06號,
