編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNJLHLGFEA67CB,新洲美段,9.86,都市：其他:住商混合區,100000,907,持分移轉,01000000
RPSNMLNJLHLGFEA77CB,新洲美段,9.86,都市：其他:住商混合區,100000,907,持分移轉,01000000
RPRNMLNJLHLGFEA67CB,新洲美段,17.35,都市：其他:住商混合區,100000,907,持分移轉,01010000
RPSNMLNJLHLGFEA77CB,新洲美段,17.35,都市：其他:住商混合區,100000,907,持分移轉,01010000
RPQNMLNJLHLGFEA57CB,新洲美段,9.86,都市：其他:住商混合區,100000,907,持分移轉,01000000
RPQNMLNJLHLGFEA57CB,新洲美段,17.35,都市：其他:住商混合區,100000,907,持分移轉,01010000
RPRNMLTJLHLGFEA28CB,軟橋段,10.22,都市：住,580000,4499,持分移轉,00050000
RPRNMLTJLHLGFEA28CB,軟橋段,8.89,都市：住,580000,4499,持分移轉,00060000
RPSNMLTJLHLGFAA97CB,華興段一小段,27.76,都市：住,1000000,699,持分移轉,04210000
RPSNMLTJLHLGFAA97CB,華興段一小段,.07,都市：住,1000000,699,持分移轉,04290000
RPSNMLMJLHLGFAA27CB,華興段一小段,23.08,都市：住,1000000,581,持分移轉,04210000
RPSNMLMJLHLGFAA27CB,華興段一小段,.06,都市：住,1000000,581,持分移轉,04290000
RPTNMLTJLHLGFEA48CB,軟橋段,56.53,都市：住,100000,1500,持分移轉,00070000
RPPNMLMJLHLGFAA96CB,華興段一小段,13.94,都市：住,1000000,351,持分移轉,04210000
RPPNMLMJLHLGFAA96CB,華興段一小段,.03,都市：住,1000000,351,持分移轉,04290000
RPVNMLTJLHLGFAA28CB,華興段一小段,23.08,都市：住,1000000,581,持分移轉,04210000
RPTNMLTJLHLGFAA08CB,華興段一小段,23.08,都市：住,1000000,581,持分移轉,04210000
RPUNMLTJLHLGFAA18CB,華興段一小段,23.08,都市：住,1000000,581,持分移轉,04210000
RPVNMLTJLHLGFAA28CB,華興段一小段,.06,都市：住,1000000,581,持分移轉,04290000
RPTNMLTJLHLGFAA08CB,華興段一小段,.06,都市：住,1000000,581,持分移轉,04290000
RPUNMLTJLHLGFAA18CB,華興段一小段,.06,都市：住,1000000,581,持分移轉,04290000
RPQOMLTJLHLGFAA87CB,華興段一小段,31.06,都市：住,1000000,782,持分移轉,04210000
RPQOMLTJLHLGFAA87CB,華興段一小段,.08,都市：住,1000000,782,持分移轉,04290000
RPPNMLTJLHLGFBA77CB,漢中段一小段,6.04,都市：商,500000,3605,持分移轉,00930000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.47,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03430008
RPQNMLSJLHLGFBA77CB,迪化段三小段,.04,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03530000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.52,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03540000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.95,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03550000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.46,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03560000
RPQNMLSJLHLGFBA77CB,迪化段三小段,1.86,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03580000
RPOOMLTJLHLGFAA67CB,華興段一小段,13.15,都市：住,1000000,331,持分移轉,04210000
RPQNMLSJLHLGFBA77CB,迪化段三小段,1.26,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03660000
RPOOMLTJLHLGFAA67CB,華興段一小段,.03,都市：住,1000000,331,持分移轉,04290000
RPQNMLSJLHLGFBA77CB,迪化段三小段,1.41,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03670000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.91,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03680000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.64,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03690000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.64,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03700000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.64,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03710000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.74,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03720000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.03,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03720001
RPQNMLSJLHLGFBA77CB,迪化段三小段,.01,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03720002
RPQNMLSJLHLGFBA77CB,迪化段三小段,1.04,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03730000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.03,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,03730002
RPQNMLSJLHLGFBA77CB,迪化段三小段,.02,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,04270000
RPQNMLSJLHLGFBA77CB,迪化段三小段,.01,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,04270002
RPQNMLSJLHLGFBA77CB,迪化段三小段,.04,都市：其他:特定專用區(供特定商業使用),1000000,10099,持分移轉,05510004
RPQNMLTJLHLGFAA77CB,永昌段五小段,.12,都市：住,100000,1090,持分移轉,01420001
RPQNMLTJLHLGFAA77CB,永昌段五小段,.12,都市：住,100000,1090,持分移轉,01420011
RPQNMLTJLHLGFAA77CB,永昌段五小段,.03,都市：住,100000,1090,持分移轉,01420016
RPQNMLTJLHLGFAA77CB,永昌段五小段,.02,都市：住,100000,1090,持分移轉,01420002
RPQNMLTJLHLGFAA77CB,永昌段五小段,.08,都市：住,100000,1090,持分移轉,01570001
RPQNMLTJLHLGFAA77CB,永昌段五小段,6.91,都市：住,100000,1090,持分移轉,01590000
RPQNMLTJLHLGFAA77CB,永昌段五小段,4.17,都市：住,100000,1090,持分移轉,01600000
RPQNMLTJLHLGFAA77CB,永昌段五小段,1.11,都市：住,100000,1090,持分移轉,01610000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.58,都市：住,100000,1090,持分移轉,01630000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.53,都市：住,100000,1090,持分移轉,01640000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.47,都市：住,100000,1090,持分移轉,01660000
RPQNMLTJLHLGFAA77CB,永昌段五小段,1.73,都市：住,100000,1090,持分移轉,01670000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.75,都市：住,100000,1090,持分移轉,01680000
RPQNMLTJLHLGFAA77CB,永昌段五小段,2.65,都市：住,100000,1090,持分移轉,01690000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.01,都市：住,100000,1090,持分移轉,01700000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.03,都市：住,100000,1090,持分移轉,01710000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.10,都市：住,100000,1090,持分移轉,01720000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.23,都市：住,100000,1090,持分移轉,01730000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.84,都市：住,100000,1090,持分移轉,04420000
RPQNMLTJLHLGFAA77CB,永昌段五小段,.52,都市：住,100000,1090,持分移轉,04420001
RPQNMLTJLHLGFAA77CB,永昌段五小段,.84,都市：住,100000,1090,持分移轉,04420002
RPQNMLTJLHLGFAA77CB,永昌段五小段,.46,都市：住,100000,1090,持分移轉,04420003
RPQNMLTJLHLGFAA77CB,永昌段五小段,.04,都市：住,100000,1090,持分移轉,04420004
RPQNMLTJLHLGFAA77CB,永昌段五小段,.03,都市：住,100000,1090,持分移轉,04420005
RPQNMLTJLHLGFFA28CB,大安段一小段,1.74,都市：住,10000,59,持分移轉,02670000
RPQNMLTJLHLGFFA28CB,大安段一小段,.32,都市：住,10000,59,持分移轉,02680000
RPQNMLTJLHLGFFA28CB,大安段一小段,.17,都市：住,10000,59,持分移轉,02690000
RPQNMLTJLHLGFFA28CB,大安段一小段,.18,都市：住,10000,59,持分移轉,02700000
RPQNMLTJLHLGFFA28CB,大安段一小段,4.25,都市：住,10000,59,持分移轉,03130000
RPQNMLTJLHLGFFA28CB,大安段一小段,1.63,都市：住,10000,59,持分移轉,03130001
RPQNMLTJLHLGFFA28CB,大安段一小段,1.88,都市：住,10000,59,持分移轉,03130002
RPQNMLTJLHLGFFA28CB,大安段一小段,1.65,都市：住,10000,59,持分移轉,03130003
RPQNMLTJLHLGFFA28CB,大安段一小段,.75,都市：住,10000,59,持分移轉,03140000
RPQNMLTJLHLGFFA28CB,大安段一小段,.65,都市：住,10000,59,持分移轉,03170000
RPQNMLTJLHLGFFA28CB,大安段一小段,.66,都市：住,10000,59,持分移轉,03180000
RPQNMLTJLHLGFFA28CB,大安段一小段,.66,都市：住,10000,59,持分移轉,03210000
RPQNMLTJLHLGFFA28CB,大安段一小段,.65,都市：住,10000,59,持分移轉,03220000
RPQNMLTJLHLGFFA28CB,大安段一小段,.65,都市：住,10000,59,持分移轉,03250000
RPQNMLTJLHLGFFA28CB,大安段一小段,.65,都市：住,10000,59,持分移轉,03260000
RPQNMLTJLHLGFFA28CB,大安段一小段,.66,都市：住,10000,59,持分移轉,03290000
RPQNMLTJLHLGFFA28CB,大安段一小段,.01,都市：住,10000,59,持分移轉,03300000
