鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
文山區,租賃房屋,臺北市文山區羅斯福路六段２７６巷９號１樓,70.03,住,,,1150301,土地1建物1車位0,一層,1,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0630919,70.03,3,2,2,有,無,無,35000,500,,0.0,0,,RPPNMLLJLHLGFAA96CC,分層出租,無,1150315~1160314,無,冷氣、熱水器、瓦斯或天然氣,一般包租
文山區,租賃房屋,臺北市文山區指南路三段７７巷１１號八樓,0.0,,,,1150302,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),多戶集合住宅,鋼筋混凝土造,1121213,46.12,1,1,1,有,有,有,18000,390,,0.0,0,,RPSNMLMJLHLGFAA37CC,獨立套房,無,1150302~1160430,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
大同區,租賃房屋,臺北市大同區迪化街二段２７７號三樓,0.0,,,,1150301,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611205,21.92,4,0,4,有,無,有,15500,707,,0.0,0,,RPSOMLMJLHLGFBA57CC,分租套房,無,1150303~1160402,無,冷氣、熱水器、洗衣機、冰箱,一般轉租
中山區,租賃房屋,臺北市中山區農安街２６-２號５樓之３,0.0,,,,1150302,土地0建物0車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0730323,19.0,5,0,5,有,有,有,19500,1026,,0.0,0,,RPSNMLMJLHLGFCA57CC,分租套房,有,1150310~1160309,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
中山區,租賃房屋,臺北市中山區農安街２６-２號５樓之３,0.0,,,,1150302,土地0建物0車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0730323,20.0,5,0,5,有,有,有,18500,925,,0.0,0,,RPQOMLMJLHLGFCA47CC,分租套房,有,1150310~1160309,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
中山區,租賃房屋,臺北市中山區新生北路二段３８號１１樓之１,0.0,,,,1150302,土地0建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,61.69,1,2,1,有,有,有,23500,381,,0.0,0,續租案件；,RPOPMLMJLHLGFCA37CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,
士林區,租賃房屋,臺北市士林區承德路四段３３６號３樓,0.0,,,,1150301,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700820,51.839999999999996,3,1,2,有,無,有,18000,347,,0.0,0,本間格局2/1/1。續租案件；,RPSOMLMJLHLGFEA87CC,分租套房,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
大安區,租賃房屋,臺北市大安區復興南路二段９號十二樓,0.0,,,,1150301,土地0建物0車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760126,35.04,4,0,4,有,有,有,23500,671,,0.0,0,續租案件；,RPUNMLMJLHLGFFA08CC,分租套房,有,1150319~1150418,有,冷氣、洗衣機、電視機、瓦斯或天然氣,一般轉租
萬華區,租賃房屋,臺北市萬華區萬青街１５９號五樓,0.0,,,,1150302,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640403,31.18,2,1,1,有,無,無,24000,770,,0.0,0,,RPPNMLNJLHLGFBA27CC,整棟(戶)出租,無,1150310~1160309,無,熱水器,一般代管
