編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLMJLHLGFAA37CC,2,28.08,多戶集合住宅,鋼筋混凝土造,112年12月13日,八層,,
RPPNMLOJLHLGFAA27CC,49,92.69,住家用,鋼筋混凝土造,66年1月13日,四層,,
RPSNMLMJLHLGFAA37CC,2,18.04,共有部分，本共有部分之項目有排風、進風、Ｂ安全梯、客用兼無障礙電梯、Ａ安全梯（無障礙樓梯）、汽車昇降機、入口門廳、緊急發電機房、水箱、台電配電場所、防空避難室、受電箱、消防泵浦機房、Ａ梯、消防水池、Ｂ梯、全自動倉儲式停車空間、不鏽鋼製消防水箱、樓梯間、梯廳、電信機房及電梯機房等２２項。,鋼筋混凝土造,112年12月13日,八層,,
RPPNMLLJLHLGFAA96CC,51,70.03,集合住宅,鋼筋混凝土造,63年9月19日,四層,,
RPPNMLNJLHLGFBA27CC,51,31.18,住家用,鋼筋混凝土造,64年4月3日,五層,,
RPSOMLMJLHLGFBA57CC,53,21.92,住家用,鋼筋混凝土造,61年12月5日,四層,,
RPTPMLNJLHLGFBA87CC,58,34.80,住家用,鋼筋混凝土造,57年8月16日,五層,,
RPQQMLNJLHLGFCA77CC,15,32.51,住家用,鋼骨造,99年9月17日,十八層,,
RPQQMLNJLHLGFCA77CC,15,4.04,本共有部分之項目有梯廳、走廊等２項,鋼骨造,99年9月17日,十八層,,
RPQQMLNJLHLGFCA77CC,15,1.22,本共有部分之項目有管委會使用空間、陽台、雨遮、電梯等４項,鋼骨造,99年9月17日,十八層,,
RPQQMLNJLHLGFCA77CC,15,10.97,本共有部分之項目有梯廳、門廊、排煙室、排煙管道、進風管道、進氣管道、特別安全梯、緊急昇降機、行動不便電梯、中繼水箱、管委會使用空間、汽車昇降機、Ａ梯、Ｂ梯、陽台、雨遮、騎樓、機車停車空間、防災中心、電梯機坑、法定裝卸位、台電配電室、受電箱通道、發電機室、機房（供電信使用）、垃圾處理室、公共變電室、清水池、消防幫浦室、防空避難室兼停車空間等３０項,鋼骨造,99年9月17日,十八層,,
RPPOMLNJLHLGFCA47CC,30,251.16,住家用,鋼筋混凝土造,85年2月13日,五層,,
RPQOMLMJLHLGFCA47CC,42,20.00,商業用,鋼筋混凝土造,73年3月23日,十二層,,
RPSNMLMJLHLGFCA57CC,42,19.00,商業用,鋼筋混凝土造,73年3月23日,十二層,,
RPOPMLMJLHLGFCA37CC,30,45.55,住家用,鋼筋混凝土造,85年7月18日,十七層,,
RPOPMLMJLHLGFCA37CC,30,15.61,共有部分,鋼筋混凝土造,85年7月18日,十七層,,
RPOPMLMJLHLGFCA37CC,30,.19,商業用,鋼筋混凝土造,85年7月18日,十七層,,
RPOPMLMJLHLGFCA37CC,30,.06,共有部分,鋼筋混凝土造,85年7月18日,十七層,,
RPOPMLMJLHLGFCA37CC,30,.20,商業用,鋼筋混凝土造,85年7月18日,十七層,,
RPOPMLMJLHLGFCA37CC,30,.08,共有部分,鋼筋混凝土造,85年7月18日,十七層,,
RPUOMLNJLHLGFBA87CC,18,45.82,一般零售業甲組,鋼筋混凝土造,97年6月12日,七層,,
RPUOMLNJLHLGFBA87CC,18,24.67,共有部分,鋼筋混凝土造,97年6月12日,七層,,
RPVNMLOJLHLGFCA08CC,42,23.00,住家用,鋼筋混凝土造,73年3月23日,十二層,,
RPRNMLOJLHLGFAA47CC,40,23.10,住家用,鋼筋混凝土造,75年1月8日,五層,,
