鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
東區,房地(土地+建物),臺中市東區建勇街１９號,144.0,都市：其他:第二種住宅區,,,1150306,土地1建物1車位0,全,二層,透天厝,住家用,鐵筋加強磚,0631012,168.48,3,2,2,有,無,13800000,81909,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPXNMLQJLHLGFAB28DA,168.48,0.0,0.0,無,001
中區,房地(土地+建物),臺中市中區中華路一段９１號,167.0,都市：其他:第二種商業區,,,1150308,土地2建物1車位0,全,一層,透天厝,住家用,木造,,74.83,3,2,1,有,無,18880000,252305,,0.0,0,其他增建；,RPPOMLLKLHLGFAB17DA,74.83,0.0,0.0,無,
西區,房地(土地+建物)+車位,臺中市西區華美西街一段３９號,19.88,都市：其他:第二種住宅區,,,1150304,土地1建物1車位1,一層，二層，三層，騎樓,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0780805,168.53,3,2,2,有,有,16000000,94939,坡道平面,0.0,0,土地價款新台幣壹仟壹佰萬元整；建物價款新台幣伍佰萬元整。,RPROMLRKLHLGFAB97DA,133.03,2.6,0.0,有,002
南屯區,車位,臺中市南屯區大進街５３６號地下二樓,8.24,住,,,1150304,土地1建物1車位1,地下二層,十四層,其他,商業用,鋼筋混凝土造,0830616,7.45,0,0,0,無,有,770000,,坡道機械,0.08,770000,僅車位交易；,RPUPMLLKLHLGFCB97DA,0.0,0.0,0.0,有,003
西屯區,房地(土地+建物),臺中市西屯區工業區一路９６之２２號十樓之３,5.82,住,,,1150319,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970711,38.37,3,2,2,有,有,5200000,135523,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQLLHLGFCB38DA,23.88,0.81,2.83,有,004
南屯區,房地(土地+建物)+車位,臺中市南屯區大觀路２１５號二十二樓,70.41,住,,,1150311,土地1建物1車位2,二十二層，二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041007,558.23,5,3,6,有,有,63200000,113215,坡道平面,64.92,0,,RPSOMLQLLHLGFCB28DA,258.66,12.68,46.29,有,
豐原區,房地(土地+建物),臺中市豐原區信義街６０號六樓,45.33,都市：其他:第二種商業區,,,1150306,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0790525,359.03000000000003,0,0,0,無,有,11000000,30638,,0.0,0,,RPXOMLQLLHLGFDB88DA,337.24,0.0,18.93,有,
豐原區,房地(土地+建物),臺中市豐原區信義街６０號七樓,45.33,都市：其他:第二種商業區,,,1150306,土地1建物1車位0,七層，見其他登記事項,七層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0790525,406.92,0,0,0,無,無,13000000,31947,,0.0,0,,SPXOMLQLLHLGFDB98DA,396.45,0.0,7.61,無,
外埔區,房地(土地+建物)+車位,臺中市外埔區長生路６１８號七樓之１,30.37,,鄉村區,乙種建築用地,1150316,土地1建物1車位2,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131021,153.03,3,2,2,有,有,11500000,87678,坡道平面,45.82,2100000,,RPQNMLQLLHLGFEB18DA,69.25,0.0,5.56,有,
大甲區,土地,南社段483-2地號,65.91,,特定農業區,水利用地,1150319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1046651,15880,,0.0,0,,RPRNMLKMLHLGFEB77DA,0.0,0.0,0.0,無,
沙鹿區,土地,保成段1176地號,53.65,住,,,1150302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2434500,45377,,0.0,0,,RPRNMLNLLHLGFFB08DA,0.0,0.0,0.0,無,
梧棲區,房地(土地+建物),臺中市梧棲區居仁街６３巷１８號五樓之８,6.5,住,,,1150314,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130429,18.75,1,0,1,有,無,2060000,109867,,0.0,0,陽台外推；,RPQNMLOLLHLGFFB08DA,11.07,0.0,2.05,有,
東勢區,房地(土地+建物),臺中市東勢區新豐街３０巷１號七樓之一,17.43,住,,,1150323,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870824,125.77000000000001,3,2,2,有,有,4500000,35780,,0.0,0,,RPWNMLKMLHLGFGB48DA,77.81,0.0,8.98,有,
新社區,土地,二櫃段308地號,182.0,,山坡地保育區,丙種建築用地,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,915460,5030,,0.0,0,政府機關標讓售；,RPXNMLLMLHLGFGB68DA,0.0,0.0,0.0,無,
潭子區,土地,嘉豐段1019-2地號,5.87,都市：其他:道路用地,,,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,264000,44974,,0.0,0,包含公共設施保留地用地；,RPUNMLPLLHLGFHB78DA,0.0,0.0,0.0,無,
潭子區,土地,嘉豐段780-2地號,2.45,都市：其他:道路用地,,,1150311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,65900,26898,,0.0,0,包含公共設施保留地用地；,RPVNMLPLLHLGFHB88DA,0.0,0.0,0.0,無,
潭子區,土地,嘉豐段780-1地號,3.13,都市：其他:道路用地,,,1150311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,84000,26837,,0.0,0,包含公共設施保留地用地；,RPWNMLPLLHLGFHB98DA,0.0,0.0,0.0,無,
潭子區,土地,嘉豐段780-3地號,1.78,都市：其他:道路用地,,,1150311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000,28090,,0.0,0,包含公共設施保留地用地；,RPXNMLPLLHLGFHB09DA,0.0,0.0,0.0,無,
南區,土地,大慶段182地號,1391.43,都市：其他:第一之一種住宅區,,,1150319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,270038000,194072,,0.0,0,政府機關標讓售；,RPPNMLOLLHLGFAB57EA,0.0,0.0,0.0,無,
西屯區,土地,廣昌段170-2地號,4.28,農,,,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,259967,60740,,0.0,0,政府機關標讓售；,RPPNMLKMLHLGFCB47EA,0.0,0.0,0.0,無,
西屯區,土地,廣昌段170-3地號,3.58,農,,,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,217449,60740,,0.0,0,政府機關標讓售；,SPPNMLKMLHLGFCB57EA,0.0,0.0,0.0,無,
中區,房地(土地+建物),臺中市中區中華路一段１２１號１８樓之３０,0.82,都市：其他:第一種商業區,,,1150311,土地1建物1車位0,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850520,17.04,1,1,2,有,有,1190000,69836,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；夾層；,RPVOMLQLLHLGFAB38DA,10.11,0.61,0.99,有,005
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南二路３９０號十一樓之２,19.81,住,,,1150304,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830818,159.19,3,2,2,有,有,16580000,104152,坡道機械,0.0,0,,RPXOMLMKLHLGFCB28DA,105.97,1.25,15.72,有,006
西屯區,房地(土地+建物)+車位,臺中市西屯區廣吉一街８號十三樓之３,29.53,住,,,1150313,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120317,139.36,2,2,2,有,有,20380000,146240,坡道平面,32.7,0,,RPPPMLQKLHLGFCB97DA,65.54,0.0,5.92,有,007
南屯區,房地(土地+建物)+車位,臺中市南屯區龍富十二街６２號三樓之１,25.3,住,,,1150314,土地3建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070516,151.54000000000002,3,2,2,有,有,18880000,124588,坡道平面,32.45,0,,RPRNMLKLLHLGFCB47DA,69.97,1.86,7.45,有,008
南屯區,房地(土地+建物),臺中市南屯區大昌街８７之３號,36.01,住,,,1150306,土地1建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770712,136.71,3,2,2,有,有,3200000,23407,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLNLLHLGFCB57DA,107.48,0.0,18.44,無,
西屯區,房地(土地+建物),臺中市西屯區青海路二段２７２號三樓之１,8.75,住,,,1150313,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140515,41.870000000000005,1,0,1,有,有,6000000,143301,,0.0,0,,RPPOMLQLLHLGFCB97DA,20.53,0.0,2.7,有,
西屯區,土地,信安段852-3地號,86.27,住,,,1150305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13236302,153429,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPWQMLRLLHLGFCB98DA,0.0,0.0,0.0,無,009
西屯區,房地(土地+建物),臺中市西屯區福安七街５號六樓之１,18.5,住,,,1150303,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830602,120.71,3,2,2,有,無,4000000,33137,,0.0,0,親友間買賣,RPPRMLKMLHLGFCB77DA,87.34,2.65,11.31,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區春安三街２００號二十一樓之５,4.69,住,,,1150311,土地1建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130704,54.56,2,2,1,有,有,4650000,85227,坡道平面,14.55,0,共有買預售屋，賣方未支付大部分價金，返還不動產。親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLMLHLGFCB67DA,23.57,0.0,2.98,有,010
神岡區,房地(土地+建物),臺中市神岡區中平路２６７巷１９號五樓,36.23,,一般農業區,甲種建築用地,1150311,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140425,84.49000000000001,3,1,2,有,有,8300000,98236,,0.0,0,,RPVOMLQLLHLGFDB68DA,67.74,0.0,3.52,有,
神岡區,房地(土地+建物),臺中市神岡區中平路２６７巷１９號二樓,36.23,,一般農業區,甲種建築用地,1150303,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140425,84.49000000000001,3,1,2,有,有,8000000,94686,,0.0,0,,RPQPMLQLLHLGFDB28DA,67.74,0.0,3.52,有,
神岡區,土地,光啟段369-3地號,72.34,,特定農業區,水利用地,1150309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1267397,17520,,0.0,0,政府機關標讓售；,RPPNMLKMLHLGFDB47DA,0.0,0.0,0.0,無,
西區,土地,科博段1323地號,22.03,都市：其他:道路用地,,,1150313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400000,108942,,0.0,0,包含公共設施保留地用地；,RPPNMLLMLHLGFAB37EA,0.0,0.0,0.0,無,
西區,房地(土地+建物),臺中市西區大仁街５６號７樓之１２,4.77,都市：其他:第一種商業區,,,1150316,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840812,35.37,1,1,1,有,有,2680000,75770,,0.0,0,陽台外推；,RPTNMLLMLHLGFAB67DA,21.01,0.0,4.01,有,
西區,房地(土地+建物),臺中市西區三民路一段５０巷８號４樓之１７,2.61,都市：其他:第二種住宅區,,,1150311,土地3建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,34.18,1,0,1,有,有,1700000,49737,,0.0,0,,RPUOMLLMLHLGFAB87DA,19.41,0.0,1.93,有,
南屯區,房地(土地+建物),臺中市南屯區大進街６５７號四樓之１,3.9,住,,,1150311,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821022,27.759999999999998,1,1,1,有,有,1500000,54035,,0.0,0,,RPUNMLQKLHLGFCB28DA,18.33,0.0,0.0,有,011
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路７７號十三樓之６,52.06,都市：其他:第三種新市政中心專用區,,,1150320,土地1建物2車位3,十三層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0850903,400.7,7,0,0,有,有,36000000,89843,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLQLLHLGFCB38DA,210.75,4.99,15.07,有,
南屯區,土地,春安段463-1地號,8.0,住,,,1150319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,150000,,0.0,0,畸零地或有合併使用效益；,RPUTMLKMLHLGFCB48DA,0.0,0.0,0.0,無,012
西屯區,房地(土地+建物),臺中市西屯區工業區一路５８巷１１弄６號五樓之１,6.21,住,,,1150306,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800911,36.75,1,0,1,有,有,3000000,81633,,0.0,0,,RPVTMLKMLHLGFCB58DA,23.53,0.0,3.04,有,
后里區,房地(土地+建物),臺中市后里區復興街４８巷１３弄２號,92.77,住,,,1150309,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0951003,163.71,4,2,3,有,無,15000000,91625,,0.0,0,頂樓加蓋；,RPRNMLRLLHLGFDB28DA,147.29,0.0,16.42,無,013
神岡區,房地(土地+建物),臺中市神岡區社口街１０６巷２號,418.5,都市：其他:第一之一種住宅區,,,1150318,土地1建物1車位0,全,二層,透天厝,其他,鋼筋混凝土造,0940802,483.91,5,1,4,有,無,42000000,86793,,0.0,0,,RPUNMLKMLHLGFDB97DA,473.32,0.0,10.59,無,
后里區,房地(土地+建物),臺中市后里區南村路４３６巷６９號,93.08,住,,,1150310,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1000825,214.62,8,1,8,有,無,15800000,73618,,0.0,0,其他增建；,RPQOMLLMLHLGFDB77DA,187.55,0.0,27.07,無,
大安區,土地,新南埔段466-4地號,54.11,,特定農業區,甲種建築用地,1150318,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,124411,2299,,0.0,0,依公告現值計算買賣價金。親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLLHLGFEB87DA,0.0,0.0,0.0,無,
大甲區,土地,幸福段771地號,10.52,住,,,1150324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,218000,20722,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOLLHLGFEB08DA,0.0,0.0,0.0,無,
外埔區,土地,新六分段181-1地號,52.67,,特定農業區,農牧用地,1150318,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,373481,7091,,0.0,0,政府機關標讓售；,RPPNMLQLLHLGFEB08DA,0.0,0.0,0.0,無,
大甲區,土地,九張犁段九張犁小段513-16地號,324.0,農,,,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,3086,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKMLHLGFEB57DA,0.0,0.0,0.0,無,
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區保寧路２０號五樓之三,17.2,商,,,1150308,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970325,118.91,2,2,1,有,有,9100000,76528,坡道平面,23.82,0,陽台外推；,RPOOMLNLLHLGFFB87DA,55.66,0.47,9.87,有,
沙鹿區,房地(土地+建物),臺中市沙鹿區北勢東路４０８號,71.88,住,,,1150323,土地4建物1車位0,全,二層,透天厝,住商用,加強磚造,0700328,118.35,2,2,2,有,無,11500000,97169,,0.0,0,其他增建；,RPRNMLLMLHLGFFB97DA,118.35,0.0,0.0,無,
新社區,土地,新南段803地號,64.53,,鄉村區,乙種建築用地,1150313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,7748,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLNKLHLGFGB87DA,0.0,0.0,0.0,無,
東勢區,房地(土地+建物),臺中市東勢區東坑路西盛巷３６號,1940.0,,特定農業區,農牧用地,1150309,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1060823,367.83,8,2,5,有,無,25000000,67966,,0.0,0,雙方合意房地拆分，土地價格新台幣20331167元、建物價格新台幣4668833元,RPUNMLKMLHLGFGB28DA,345.25,0.0,22.58,無,
石岡區,土地,新金星段1102-4地號,13.21,都市：其他:住宅區,,,1150324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,412548,31230,,0.0,0,政府機關標讓售；,RPUNMLLMLHLGFGB38DA,0.0,0.0,0.0,無,
東勢區,房地(土地+建物),臺中市東勢區圓樓前街５８巷３號,60.45,都市：其他:住宅區,,,1150309,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0611101,105.27,4,2,3,有,無,5000000,47497,,0.0,0,頂樓加蓋；其他增建；,RPSNMLLJMHLGFGB97DA,105.27,0.0,0.0,無,014
