編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLKMLHLGFGB48DA,28,86.79,住家用,鋼筋混凝土造,87年8月24日,九層,七層 陽台,全筆移轉
RPWNMLKMLHLGFGB48DA,28,38.98,梯間．機械房．水箱．避難室．停車空間．人行車道．騎樓,鋼筋混凝土造,87年8月24日,九層,,持分移轉
RPUNMLQLLHLGFCB38DA,18,27.52,住家用,鋼筋混凝土造,97年7月11日,十二層,十層 陽台 雨遮,持分移轉
RPUNMLQLLHLGFCB38DA,18,10.85,共用,鋼筋混凝土造,97年7月11日,十二層,,持分移轉
RPXNMLQJLHLGFAB28DA,51,168.48,住家用,鐵筋加強磚,63年10月12日,二層,一層 二層 騎樓,全筆移轉
RPPOMLLKLHLGFAB17DA,,74.83,住家用,木造,,一層,一層,全筆移轉
RPSOMLQLLHLGFCB28DA,10,317.63,集合住宅,鋼筋混凝土造,104年10月7日,二十三層,二十二層 二十三層 陽台 雨遮,全筆移轉
RPSOMLQLLHLGFCB28DA,10,240.60,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防機房、污水機房、噴灌機房、車道、水箱、排煙室、一般昇降機道、緊急昇降機道、安全梯、消防中繼機房、電信機房、發電機房、管理員室、防空避難室兼停車空間、台電配電室、防災中心、公共服務空間、集中式垃圾貯存空間、開放空間、梯廳、樓梯間、機械室、中繼機房等２４項。,鋼筋混凝土造,104年10月7日,二十三層,,持分移轉
RPQNMLQLLHLGFEB18DA,1,74.81,集合住宅,鋼筋混凝土造,113年10月21日,七層,七層 陽台,全筆移轉
RPQNMLQLLHLGFEB18DA,1,78.22,本共有部分之項目有：停車空間、樓電梯間、台電配電室、電信室、發電機房、消防機房、水箱、汙水機房、梯廳、安全梯、樓梯間及機械室等１２項,鋼筋混凝土造,113年10月21日,七層,,持分移轉
RPPOMLQLLHLGFCB97DA,1,23.23,集合住宅,鋼筋混凝土造,114年5月15日,十二層,三層 陽台,全筆移轉
RPPOMLQLLHLGFCB97DA,1,18.64,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、汽車昇降機、機械室、消防幫浦室、梯廳、安全梯、昇降機間、防空避難室、電信室、台電配電場所、緊急發電機室、人行道、門廳、走道、管理委員會（會議室）、管理委員會（辦公室）、機房、樓梯間、電梯機房、水箱、蓄水池等２１項。,鋼筋混凝土造,114年5月15日,十二層,,持分移轉
RPROMLRKLHLGFAB97DA,37,119.32,住商用,鋼筋混凝土造,78年8月5日,十二層,一層 二層 三層 騎樓 花台,全筆移轉
RPROMLRKLHLGFAB97DA,37,16.31,避難室，停車空間,鋼筋混凝土造,78年8月5日,十二層,地下層,持分移轉
RPROMLRKLHLGFAB97DA,37,32.90,共有部分,鋼筋混凝土造,78年8月5日,十二層,,持分移轉
RPQNMLOLLHLGFFB08DA,2,13.12,集合住宅,鋼筋混凝土造,113年4月29日,五層,五層 陽台,全筆移轉
RPQNMLOLLHLGFFB08DA,2,5.63,停車空間、樓梯間、電梯間及電梯機房等四項,鋼筋混凝土造,113年4月29日,五層,,持分移轉
RPVOMLQLLHLGFDB68DA,1,71.26,集合住宅,鋼筋混凝土造,114年4月25日,五層,五層 陽台,全筆移轉
RPVOMLQLLHLGFDB68DA,1,13.23,本共有部分之項目有樓梯間、梯廳等２項,鋼筋混凝土造,114年4月25日,五層,,持分移轉
RPQPMLQLLHLGFDB28DA,1,71.26,集合住宅,鋼筋混凝土造,114年4月25日,五層,二層 陽台,全筆移轉
RPQPMLQLLHLGFDB28DA,1,13.23,本共有部分之項目有樓梯間、梯廳等２項,鋼筋混凝土造,114年4月25日,五層,,持分移轉
RPXOMLQLLHLGFDB88DA,36,356.17,住商用,鋼筋混凝土造,79年5月25日,七層,六層 陽台,全筆移轉
RPXOMLQLLHLGFDB88DA,36,2.86,共有部分,鋼筋混凝土造,79年5月25日,七層,,持分移轉
SPXOMLQLLHLGFDB98DA,36,404.06,住商用,鋼筋混凝土造,79年5月25日,七層,七層 陽台 見其他登記事項,全筆移轉
SPXOMLQLLHLGFDB98DA,36,2.86,共有部分,鋼筋混凝土造,79年5月25日,七層,,持分移轉
RPRNMLRLLHLGFDB28DA,19,163.71,住宅、梯間,鋼筋混凝土造,95年10月3日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPUPMLLKLHLGFCB97DA,32,.08,商業用,鋼筋混凝土造,83年6月16日,十四層,地下二層,持分移轉
RPUPMLLKLHLGFCB97DA,32,7.37,共有部份,鋼筋混凝土造,83年6月16日,十四層,,持分移轉
RPOOMLNLLHLGFFB87DA,18,66.00,住家用,鋼筋混凝土造,97年3月25日,九層,五層 陽台 雨遮,全筆移轉
RPOOMLNLLHLGFFB87DA,18,52.91,防空避難室兼停車空間、台電受電室、管理中心、發電機室、電信室、消防機械室、機械室、梯間、水箱,鋼筋混凝土造,97年3月25日,九層,,持分移轉
RPRNMLLMLHLGFFB97DA,45,118.35,人行道，住宅，店舖，梯間,加強磚造,70年3月28日,二層,一層 二層 騎樓 見其他登記事項,全筆移轉
RPUNMLKMLHLGFGB28DA,9,367.83,自用農舍,鋼筋混凝土造,106年8月23日,三層,一層 二層 三層 陽台,全筆移轉
RPXOMLMKLHLGFCB28DA,32,.06,管理員室,鋼筋混凝土造,83年8月18日,十五層,地下二層,持分移轉
RPXOMLMKLHLGFCB28DA,32,2.88,商業用,鋼筋混凝土造,83年8月18日,十五層,地下一層,持分移轉
RPXOMLMKLHLGFCB28DA,32,120.06,住家用,鋼筋混凝土造,83年8月18日,十五層,十一層 陽台 花台,全筆移轉
RPXOMLMKLHLGFCB28DA,32,9.14,共有部份,鋼筋混凝土造,83年8月18日,十五層,,持分移轉
RPXOMLMKLHLGFCB28DA,32,27.05,共有部份,鋼筋混凝土造,83年8月18日,十五層,,持分移轉
RPVOMLQLLHLGFAB38DA,30,11.71,集合住宅,鋼骨鋼筋混凝土造,85年5月20日,十九層,十八層 陽台 花台 雨遮,持分移轉
RPVOMLQLLHLGFAB38DA,30,2.32,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,,持分移轉
RPVOMLQLLHLGFAB38DA,30,3.01,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,,持分移轉
RPSNMLLJMHLGFGB97DA,53,105.27,住家用,加強磚造,61年11月1日,二層,一層 二層 騎樓,全筆移轉
RPTNMLLMLHLGFAB67DA,31,25.02,集合住宅,鋼筋混凝土造,84年8月12日,八層,七層 陽台,全筆移轉
RPTNMLLMLHLGFAB67DA,31,10.35,梯間．防空避難室．水塔．機房,鋼筋混凝土造,84年8月12日,八層,,持分移轉
RPPPMLQKLHLGFCB97DA,3,71.46,集合住宅,鋼筋混凝土造,112年3月17日,十四層,十三層 陽台,全筆移轉
RPPPMLQKLHLGFCB97DA,3,67.90,本共有部份係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、梯廳兼排煙室、汙雨水處理室、安全梯、消防機械室兼緊急發電機室、水箱、緊急昇降機道、停車空間、台電配電室、電信室、受電箱區、機械室、梯廳、排煙室、管委會使用空間、垃圾處理室、走廊、機電設備空間、機車停車空間、緊急昇降機道與一般昇降機道、排煙室兼梯廳、戶外安全梯、樓梯間、廁所、水錶區等二十五項。,鋼筋混凝土造,112年3月17日,十四層,,持分移轉
RPRNMLKLLHLGFCB47DA,8,.05,集合住宅,鋼筋混凝土造,107年4月13日,十層,一層,持分移轉
RPRNMLKLLHLGFCB47DA,8,.01,本共有部分係依使用執照之建築物概要表記載項目有：電梯、行動不便電梯、樓梯間、梯廳、管理委員會使用空間、水箱等６項。,鋼筋混凝土造,107年4月13日,十層,,持分移轉
RPRNMLKLLHLGFCB47DA,8,.02,本共有部分係依使用執照之建築物概要表記載項目有：汽車車道、梯廳、樓梯間、停車空間、行動不便電梯、消防機械室、電梯、水箱、污水機械室、防空避難室兼停車空間、電錶室、電信室、機械室、受電箱區、台電配電室、發電機室等１６項。,鋼筋混凝土造,107年4月13日,十層,,持分移轉
RPUNMLQKLHLGFCB28DA,32,18.33,住家用,鋼筋混凝土造,82年10月22日,七層,四層,全筆移轉
RPRNMLKLLHLGFCB47DA,8,.05,集合住宅,鋼筋混凝土造,107年5月16日,九層,一層,持分移轉
RPUNMLQKLHLGFCB28DA,32,9.43,共有部份,鋼筋混凝土造,82年10月22日,七層,,持分移轉
RPRNMLKLLHLGFCB47DA,8,79.18,集合住宅,鋼筋混凝土造,107年5月16日,九層,三層 陽台 雨遮,全筆移轉
RPRNMLKLLHLGFCB47DA,8,.01,本共有部分係依使用執照之建築物概要表記載項目有：管理委員會使用空間、行動不便電梯、汽車車道、樓梯間、梯廳、電梯、機械室、水箱等８項,鋼筋混凝土造,107年5月16日,九層,,持分移轉
RPRNMLKLLHLGFCB47DA,8,21.73,本共有部分係依使用執照之建築物概要表記載項目有：管理委員會使用空間、行動不便電梯、汽車車道、樓梯間、梯廳、電梯、機械室、水箱等８項,鋼筋混凝土造,107年5月16日,九層,,持分移轉
RPRNMLKLLHLGFCB47DA,8,.01,本共有部分係依使用執照之建築物概要表記載項目有：汽車車道、梯廳、樓梯間、行動不便電梯、停車空間、電梯、水箱、消防機械室、污水機械室、游泳池水箱、防空避難室兼停車空間、台電配電室、受電箱區、電錶室、機械室、發電機室、電信室等１７項。,鋼筋混凝土造,107年5月16日,九層,,持分移轉
RPRNMLKLLHLGFCB47DA,8,50.48,本共有部分係依使用執照之建築物概要表記載項目有：汽車車道、梯廳、樓梯間、行動不便電梯、停車空間、電梯、水箱、消防機械室、污水機械室、游泳池水箱、防空避難室兼停車空間、台電配電室、受電箱區、電錶室、機械室、發電機室、電信室等１７項。,鋼筋混凝土造,107年5月16日,九層,,持分移轉
RPPRMLKMLHLGFCB77DA,32,101.30,住家用,鋼筋混凝土造,83年6月2日,七層,六層 陽台 花台,全筆移轉
RPPRMLKMLHLGFCB77DA,32,19.41,共有部份,鋼筋混凝土造,83年6月2日,七層,,持分移轉
RPQOMLLMLHLGFAB47DA,19,29.76,共用,鋼筋混凝土造,96年6月13日,十二層,,持分移轉
RPUOMLLMLHLGFAB87DA,31,3.57,共有部分,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPUOMLLMLHLGFAB87DA,31,9.27,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPUOMLLMLHLGFAB87DA,31,21.34,住家用,鋼筋混凝土造,84年1月13日,十九層,四層 陽台,全筆移轉
RPQNMLLJMHLGFCB37DA,51,79.06,住家用,加強磚造,64年8月6日,二層,一層 二層,全筆移轉
RPPNMLLMLHLGFHB97DA,34,203.47,住家用,鋼筋混凝土造,81年3月17日,四層,一層 二層 三層 四層 陽台 花台,全筆移轉
RPSNMLQLLHLGFAB97DA,28,90.12,集合住宅,鋼筋混凝土造,87年1月17日,十四層,四層 陽台 見其他登記事項,全筆移轉
RPSNMLQLLHLGFAB97DA,28,14.38,共有部分,鋼筋混凝土造,87年1月17日,十四層,,持分移轉
RPSNMLQLLHLGFAB97DA,28,14.79,共有部分,鋼筋混凝土造,87年1月17日,十四層,,持分移轉
RPSNMLQLLHLGFAB97DA,28,23.92,共有部分,鋼筋混凝土造,87年1月17日,十四層,,持分移轉
RPUOMLQLLHLGFAB28DA,30,22.67,集合住宅,鋼骨鋼筋混凝土造,85年5月20日,十九層,十一層 陽台 花台 雨遮,全筆移轉
RPUOMLQLLHLGFAB28DA,30,5.07,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,,持分移轉
RPUOMLQLLHLGFAB28DA,30,6.02,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,,持分移轉
RPUNMLKMLHLGFDB97DA,21,483.91,人行道、補習班,鋼筋混凝土造,94年8月2日,二層,一層 二層 陽台 騎樓,全筆移轉
RPQOMLLMLHLGFDB77DA,15,214.62,人行道、外廊、停車空間、住宅、樓梯間,鋼筋混凝土造,100年8月25日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項,全筆移轉
RPOOMLRKLHLGFAB67DA,30,16.34,共同使用,鋼筋混凝土造,85年8月29日,十四層,,持分移轉
RPOOMLRKLHLGFAB67DA,30,28.98,集合住宅,鋼筋混凝土造,85年8月29日,十四層,七層 陽台 花台,全筆移轉
RPSNMLTKLHLGFJB09DA,32,9.03,集合住宅,鋼筋混凝土造,82年12月31日,十二層,十二層,持分移轉
RPSNMLTKLHLGFJB09DA,32,4.04,共有部份,鋼筋混凝土造,82年12月31日,十二層,,持分移轉
RPSOMLMJMHLGFAB57DA,43,80.01,店房，人行道,鋼筋混凝土造,72年4月18日,十二層,一層 騎樓,全筆移轉
RPVTMLKMLHLGFCB58DA,34,26.57,住家用,鋼筋混凝土造,80年9月11日,十二層,五層 陽台,全筆移轉
RPVTMLKMLHLGFCB58DA,34,10.18,共有部份,鋼筋混凝土造,80年9月11日,十二層,,持分移轉
RPXUMLKMLHLGFCB88DA,29,14.15,住家用,鋼筋混凝土造,86年4月8日,十三層,十一層 陽台,全筆移轉
RPXUMLKMLHLGFCB88DA,29,8.25,共有部分,鋼筋混凝土造,86年4月8日,十三層,,持分移轉
RPRNMLKMLHLGFFB87DA,2,13.12,集合住宅,鋼筋混凝土造,113年4月29日,五層,五層 陽台,全筆移轉
