編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLKMLHLGFGB48DA,中山段,17.43,都市：其他:住宅區,10000,167,持分移轉,11920000
RPUNMLQLLHLGFCB38DA,福安段,5.82,都市：其他:第三種住宅區。,5000,7,持分移轉,07890000
RPXNMLLMLHLGFGB68DA,二櫃段,182.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03080000
RPXNMLQJLHLGFAB28DA,頂橋子頭段,144.00,都市：其他:第二種住宅區,1,1,全筆移轉,05410002
RPPOMLLKLHLGFAB17DA,中華段二小段,130.00,都市：其他:第二種商業區,1,1,全筆移轉,00030017
RPPOMLLKLHLGFAB17DA,中華段二小段,37.00,都市：其他:第二種商業區,1,1,全筆移轉,00030018
RPPNMLKMLHLGFCB47EA,廣昌段,4.28,都市：其他:農業區,1,1,全筆移轉,01700002
SPPNMLKMLHLGFCB57EA,廣昌段,3.58,都市：其他:農業區,1,1,全筆移轉,01700003
RPSOMLQLLHLGFCB28DA,惠義段,70.41,都市：其他:第二種住宅區,100000,3378,持分移轉,01050000
RPQNMLQLLHLGFEB18DA,下鐵山段,30.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,165,持分移轉,09670000
RPRNMLKMLHLGFEB77DA,南社段,65.91,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,04830002
RPPOMLQLLHLGFCB97DA,上石碑段,8.75,都市：其他:第三之二種住宅區,10000,85,持分移轉,21060003
RPROMLRKLHLGFAB97DA,麻園頭段,19.88,都市：其他:第二種住宅區,10000,161,持分移轉,09040000
RPQNMLOLLHLGFFB08DA,梧棲段,6.50,都市：其他:第四種住宅區,10000,216,持分移轉,32030000
RPRNMLNLLHLGFFB08DA,保成段,53.65,都市：其他:第二種住宅區,1,1,全筆移轉,11760000
RPUNMLPLLHLGFHB78DA,嘉豐段,5.87,都市：其他:道路用地,1,1,全筆移轉,10190002
RPVNMLPLLHLGFHB88DA,嘉豐段,2.45,都市：其他:道路用地,1,1,全筆移轉,07800002
RPWNMLPLLHLGFHB98DA,嘉豐段,3.13,都市：其他:道路用地,1,1,全筆移轉,07800001
RPXNMLPLLHLGFHB09DA,嘉豐段,1.78,都市：其他:道路用地,1,1,全筆移轉,07800003
RPPNMLKMLHLGFDB47DA,光啟段,72.34,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,03690003
RPVOMLQLLHLGFDB68DA,新圳段,1.39,非都市：一般農業區 ; 非都市編定：甲種建築用地,1200,6,持分移轉,02380000
RPVOMLQLLHLGFDB68DA,新圳段,34.85,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,988,持分移轉,02500000
RPQPMLQLLHLGFDB28DA,新圳段,1.39,非都市：一般農業區 ; 非都市編定：甲種建築用地,1200,6,持分移轉,02380000
RPQPMLQLLHLGFDB28DA,新圳段,34.85,非都市：一般農業區 ; 非都市編定：甲種建築用地,20000,1976,持分移轉,02500000
RPXOMLQLLHLGFDB88DA,豐原段,45.33,都市：其他:第二種商業區,27,3,持分移轉,03750004
SPXOMLQLLHLGFDB98DA,豐原段,45.33,都市：其他:第二種商業區,27,3,持分移轉,03750004
RPRNMLRLLHLGFDB28DA,廣興段,25.12,都市：其他:住宅區,100000,9043,持分移轉,09020010
RPRNMLRLLHLGFDB28DA,廣興段,66.56,都市：其他:住宅區,1,1,全筆移轉,09020015
RPRNMLRLLHLGFDB28DA,廣興段,1.09,都市：其他:道路用地,10000,326,持分移轉,09040000
RPUPMLLKLHLGFCB97DA,大新段,8.24,都市：其他:第二種住宅區,90000,160,持分移轉,00290000
RPPNMLLMLHLGFAB37EA,科博段,22.03,都市：其他:道路用地,1,1,全筆移轉,13230000
RPPNMLOLLHLGFAB57EA,大慶段,1391.43,都市：其他:第一之一種住宅區,1,1,全筆移轉,01820000
RPPNMLQLLHLGFEB08DA,新六分段,7.66,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01730001
RPPNMLQLLHLGFEB08DA,新六分段,45.01,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01810001
RPPNMLKMLHLGFEB57DA,九張犁段九張犁小段,324.00,都市：其他:農業區,1,1,全筆移轉,05130016
RPOOMLNLLHLGFFB87DA,三鹿段,17.20,都市：其他:第二種商業區,100000,561,持分移轉,01510000
RPRNMLLMLHLGFFB97DA,平等段,14.07,都市：其他:第二種住宅區,1,1,全筆移轉,01040000
RPRNMLLMLHLGFFB97DA,平等段,24.31,都市：其他:第二種住宅區,1,1,全筆移轉,01050000
RPRNMLLMLHLGFFB97DA,平等段,29.22,都市：其他:第二種住宅區,1,1,全筆移轉,01060000
RPRNMLLMLHLGFFB97DA,平等段,4.28,都市：其他:第二種住宅區,1,1,全筆移轉,01070000
RPUNMLKMLHLGFGB28DA,東勢段石角小段,1940.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03110000
RPUNMLLMLHLGFGB38DA,新金星段,13.21,都市：其他:住宅區,1,1,全筆移轉,11020004
RPXOMLMKLHLGFCB28DA,豐功段,19.81,都市：其他:第三之一種住宅區,100000,269,持分移轉,00150000
RPVOMLQLLHLGFAB38DA,中華段三小段,.82,都市：其他:第一種商業區,20000,11,持分移轉,00020021
RPVNMLLJMHLGFGB28DA,石圍墻一段,97.54,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00470002
RPSNMLLJMHLGFGB97DA,文昌段,60.45,都市：其他:住宅區,1,1,全筆移轉,06840000
RPWNMLLJMHLGFGB38DA,石圍墻一段,210.48,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00470001
RPTNMLLMLHLGFAB67DA,後壠子段,4.77,都市：其他:第一種商業區,10000,114,持分移轉,02240000
RPPNMLNKLHLGFGB87DA,新南段,64.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08030000
RPPPMLQKLHLGFCB97DA,鑫港尾段,29.53,都市：其他:第一之一種住宅區,100000,980,持分移轉,02220000
RPRNMLKLLHLGFCB47DA,新富段,.01,都市：其他:第一之C種住宅區,100000,1,持分移轉,02310000
RPRNMLKLLHLGFCB47DA,新富段,.04,都市：其他:第一之B種住宅區,100000,1,持分移轉,02320000
RPRNMLKLLHLGFCB47DA,新富段,25.24,都市：其他:第一之B種住宅區,100000,508,持分移轉,02710000
RPUNMLQKLHLGFCB28DA,大新段,3.90,都市：其他:第二種住宅區,1000,16,持分移轉,01810000
RPQNMLLJMHLGFAB27EA,大慶段,222.61,都市：其他:第一之一種住宅區,1,1,全筆移轉,00290000
RPPNMLOLLHLGFEB87DA,新南埔段,37.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04660004
RPPNMLOLLHLGFEB87DA,新南埔段,17.11,非都市：特定農業區 ; 非都市編定：農牧用地,1000,28,持分移轉,04670000
RPRNMLOLLHLGFEB08DA,幸福段,10.52,都市：其他:住宅區,39,1,持分移轉,07710000
RPUNMLTKLHLGFCB58DA,楓樹段,38.00,都市：其他:第二之二種住宅區,1,1,全筆移轉,12120000
RPPRMLKMLHLGFCB77DA,福安段,18.50,都市：其他:第二種住宅區,1000,74,持分移轉,03260000
RPWQMLRLLHLGFCB98DA,信安段,86.27,都市：其他:第一之一種住宅區,2160,276,持分移轉,08520003
RPPNMLLJMHLGFEB47DA,孔門段,71.00,都市：其他:住宅區,1,1,全筆移轉,05850000
RPQOMLLMLHLGFAB47DA,土庫段,2.58,都市：其他:第二種住宅區,100000,192,持分移轉,01080001
RPQOMLLMLHLGFAB47DA,土庫段,1.74,都市：其他:第一種商業區,100000,192,持分移轉,01080003
RPUOMLLMLHLGFAB87DA,五權段,1.39,都市：其他:第二種住宅區,1000000,441,持分移轉,07740000
RPUOMLLMLHLGFAB87DA,五權段,1.21,都市：其他:第一種商業區,1000000,441,持分移轉,07750000
RPUOMLLMLHLGFAB87DA,五權段,.01,都市：其他:廣場兼停車場用地,1000000,441,持分移轉,07750001
RPQNMLLJMHLGFCB37DA,黎明段,70.00,都市：其他:第二種住宅區,1,1,全筆移轉,04900000
RPPNMLLMLHLGFHB97DA,上楓段,141.00,都市：其他:第一種住宅區,1,1,全筆移轉,12800023
RPUNMLLMLHLGFHB48DA,嘉豐段,8.96,都市：其他:第一之二種住宅區,144,2,持分移轉,08070000
TPUNMLLMLHLGFHB68DA,嘉豐段,2.60,都市：其他:農業區,144,2,持分移轉,08080000
RPSNMLQLLHLGFAB97DA,下橋子頭段,15.33,都市：其他:第二種住宅區,100000,922,持分移轉,01060004
SPUNMLLMLHLGFHB58DA,嘉豐段,10.64,都市：其他:農業區,144,2,持分移轉,06470000
UPUNMLLMLHLGFHB78DA,嘉豐段,4.43,都市：其他:農業區,144,2,持分移轉,08090000
RPUOMLQLLHLGFAB28DA,中華段三小段,1.50,都市：其他:第一種商業區,10000,10,持分移轉,00020021
RPWNMLLMLHLGFHB68DA,興華段,19.86,都市：其他:第一之二種商業區,1,1,全筆移轉,06790004
RPUNMLKMLHLGFDB97DA,望寮段,418.50,都市：其他:第一之一種住宅區,1,1,全筆移轉,00680000
RPQOMLLMLHLGFDB77DA,墩南段,49.56,都市：其他:住宅區,1,1,全筆移轉,04880000
RPQOMLLMLHLGFDB77DA,墩南段,43.52,都市：其他:住宅區,1,1,全筆移轉,04880001
RPOOMLRKLHLGFAB67DA,麻園頭段,4.20,都市：其他:第二之一種商業區,10000,39,持分移轉,00460000
RPPNMLRJMHLGFEB18EA,安港段,87.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07880000
RPSNMLTKLHLGFJB09DA,宜欣段,2.15,都市：其他:住宅區,20000,41,持分移轉,21440000
RPUNMLQLLHLGFAB18DA,下橋子頭段,.96,都市：其他:第二種住宅區,2,1,持分移轉,00250048
RPVNMLQLLHLGFAB28DA,下橋子頭段,.96,都市：其他:第二種住宅區,2,1,持分移轉,00250048
RPRNMLMJMHLGFEB77DA,賢仁段,78.07,都市：其他:住宅區,1,1,全筆移轉,04540001
RPSOMLMJMHLGFAB57DA,藍興段,14.54,都市：其他:第一種商業區,10000,371,持分移轉,06380000
RPUTMLKMLHLGFCB48DA,春安段,8.00,都市：其他:第二種住宅區,1,1,全筆移轉,04630001
RPVTMLKMLHLGFCB58DA,福安段,6.21,都市：其他:第二種住宅區,10000,28,持分移轉,08040000
RPXUMLKMLHLGFCB88DA,上石碑段,2.21,都市：其他:第三之二種住宅區,1000000,626,持分移轉,13010000
RPRNMLKMLHLGFFB87DA,梧棲段,6.50,都市：其他:第四種住宅區,10000,216,持分移轉,32030000
RPPNMLKMLHLGFFB67DA,庄北段,18.58,都市：其他:第四種住宅區,100000,1037,持分移轉,06340000
RPOOMLNKLHLGFFB77DA,梧棲段,6.50,都市：其他:第四種住宅區,10000,216,持分移轉,32030000
RPWNMLKKLHLGFFB18DA,鹿寮段,16.25,都市：其他:第四種住宅區,10000,335,持分移轉,11530014
RPWNMLKKLHLGFFB18DA,鹿寮段,2.29,都市：其他:第四種住宅區,10000,120,持分移轉,11530030
RPPNMLQLLHLGFHB38DA,上楓段,.60,都市：其他:道路用地,5,1,持分移轉,13040026
RPSNMLMJMHLGFGB08DA,新金星段,5.03,都市：其他:河川區兼供道路使用,108,45,持分移轉,01510003
RPSNMLMJMHLGFGB08DA,新金星段,.59,都市：其他:河川區兼供道路使用,324,188,持分移轉,01520002
RPQNMLQLLHLGFHB48DA,上楓段,323.00,都市：其他:道路用地,1,1,全筆移轉,13400019
RPQNMLQLLHLGFHB48DA,上楓段,70.00,都市：其他:道路用地,1,1,全筆移轉,13410001
RPQNMLQLLHLGFHB48DA,上楓段,20.00,都市：其他:道路用地,1,1,全筆移轉,13420006
RPRNMLKLLHLGFHB97DA,嘉仁段,33.55,都市：其他:第一之二種住宅區,10000,285,持分移轉,08780000
