鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
西區,房地(土地+建物)+車位,臺中市西區向上路一段17巷1弄,20.31,住,,,1150302,土地7建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,81.14,2,2,2,有,無,12900000,157637,升降機械,5.65,1000000,,RPRNMLMJLHLGFAB27CB,永宏向上,B6F號,
西區,房地(土地+建物)+車位,臺中市西區向上路一段17巷1弄,21.35,住,,,1150303,土地7建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,85.28,2,2,2,有,無,13250000,153836,升降機械,5.65,1000000,,RPUNMLNJLHLGFAB67CB,永宏向上,B5F號,
西屯區,房地(土地+建物)+車位,臺中市西屯區惠民段7、9、9-1、9-2號地號等4筆,5.03,其他,,,1150302,土地4建物1車位1,二十八層,35,辦公商業大樓,商業用,見其他登記事項,,101.05,0,0,1,有,無,24180000,250821,坡道平面,15.81,2800000,,RPXNMLNJLHLGFCB18CB,市政壹號廣場,A03-28號,
大里區,房地(土地+建物)+車位,臺中市大里區中興路二段與中興路二段182巷,51.68,商,,,1150303,土地1建物1車位2,一層及二層,12,店面(店鋪),住商用,鋼筋混凝土造,,492.77,0,0,0,無,無,68670000,147285,坡道平面,59.12,4800000,,RPVNMLNJLHLGFIB58CB,睦唐大隱德芳,A號,
西區,房地(土地+建物)+車位,臺中市西區向上路一段17巷1弄,20.3,住,,,1150305,土地7建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,81.08,2,2,2,有,無,12300000,149808,升降機械,5.65,1000000,,RPPNMLQJLHLGFAB47CB,永宏向上,C6F號,
南屯區,房地(土地+建物)+車位,臺中市南屯區龍富十路、文心南五路二段、鎮富路,36.47,住,,,1150307,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,192.11,3,2,2,有,無,31160000,205943,坡道平面,61.2,4200000,,RPPNMLRJLHLGFCB77CB,惠宇永益,B棟14F號,
豐原區,房地(土地+建物)+車位,臺中市豐原區永康路213巷,26.2,住,,,1150307,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.14,3,2,2,有,無,14300000,112806,坡道平面,32.33,1800000,,RPPNMLRJLHLGFDB87CB,坤聯富豐原匯,X棟02號,
烏日區,房地(土地+建物)+車位,臺中市烏日區溪南路二段,23.54,,鄉村區,乙種建築用地,1150304,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.77,2,2,2,有,無,12880000,124352,坡道平面,29.06,1600000,,RPPNMLRJLHLGFIB38CB,坤聯富?上境,G棟G-9號,
新社區,房地(土地+建物)+車位,臺中市新社區新安街110號隔壁,122.54,住,,,1150302,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,209.38,4,2,3,有,無,17500000,83580,一樓平面,0.0,0,,RPPNMLRJLHLGFGB28DB,陽明莊園10期,D棟1號,
