編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRJLHLGFDB87CB,豐田段,26.20,都市：住,100000,372,持分移轉,01110000
RPPNMLTJLHLGFDB08CB,文化段,26.17,都市：住,100000,801,持分移轉,00940000
RPUNMLNJLHLGFAB67CB,後壠子段,1.82,都市：商,100000,5517,持分移轉,01730093
RPUNMLNJLHLGFAB67CB,後壠子段,.39,都市：住,100000,5517,持分移轉,01730162
RPUNMLNJLHLGFAB67CB,後壠子段,12.30,都市：住,100000,5517,持分移轉,01730094
RPUNMLNJLHLGFAB67CB,後壠子段,1.10,都市：商,100000,5517,持分移轉,01730164
RPUNMLNJLHLGFAB67CB,後壠子段,.94,都市：住,100000,5517,持分移轉,01730253
RPUNMLNJLHLGFAB67CB,後壠子段,2.59,都市：住,100000,5517,持分移轉,03890657
RPUNMLNJLHLGFAB67CB,後壠子段,2.21,都市：住,100000,5517,持分移轉,03890703
RPTNMLKKLHLGFDB67CB,大仁段,19.55,都市：住,100000,2352,持分移轉,04860000
RPPNMLKKLHLGFBB07CB,敦和段,24.03,都市：住,70000,291,持分移轉,06710000
RPRNMLKKLHLGFBB27CB,敦和段,37.24,都市：住,70000,451,持分移轉,06710000
RPRNMLMJLHLGFAB27CB,後壠子段,1.73,都市：商,100000,5249,持分移轉,01730093
RPRNMLMJLHLGFAB27CB,後壠子段,.37,都市：住,100000,5249,持分移轉,01730162
RPRNMLMJLHLGFAB27CB,後壠子段,11.71,都市：住,100000,5249,持分移轉,01730094
RPRNMLMJLHLGFAB27CB,後壠子段,1.05,都市：商,100000,5249,持分移轉,01730164
RPRNMLMJLHLGFAB27CB,後壠子段,.89,都市：住,100000,5249,持分移轉,01730253
RPRNMLMJLHLGFAB27CB,後壠子段,2.47,都市：住,100000,5249,持分移轉,03890657
