鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
北屯區,車位,臺中市北屯區文心路四段２７８號等公共設施 B３-１９６,0.0,,,,1150301,土地0建物0車位1,,,其他,,,,27.23,0,0,0,無,無,無,3500,,坡道平面,27.23,3500,其他清潔保養費；續租案件；,RPQNMLLJLHLGFBB27CC,,,1150301~1160228,,,
南區,租賃房屋,臺中市南區復興路三段１４２號９樓之３,0.0,,,,1150301,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0840817,110.13,3,2,2,有,有,有,22000,200,,0.0,0,續租案件；,RPTNMLMJLHLGFAB57CC,整棟(戶)出租,有,1150301~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋,臺中市北屯區北屯路２８６號１１樓之１１,0.0,,,,1150301,土地0建物1車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850524,44.79,1,1,1,有,有,有,12500,279,,0.0,0,另有管理費700元，由承租人負擔。,RPXPMLMJLHLGFBB28CC,獨立套房,無,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
南屯區,租賃房屋,臺中市南屯區忠勇路２３-２５號５樓,0.0,,,,1150301,土地0建物0車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950628,11.0,35,0,35,有,有,有,5500,500,,0.0,0,租金總額含水費；網路費；,RPSNMLMJLHLGFCB67CC,分租套房,有,1150301~1150625,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
南屯區,租賃房屋,臺中市南屯區南屯路二段４８６號二樓,0.0,,,,1150302,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,ＲＣ造,0931001,99.79,2,1,2,有,有,有,19000,190,,0.0,0,,RPTOMLMJLHLGFCB87CC,整棟(戶)出租,有,1150303~1160302,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
南屯區,租賃房屋,臺中市南屯區向心路１０９號十五樓之３,0.0,,,,1150302,土地0建物1車位0,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861216,47.230000000000004,1,0,1,有,有,無,10500,222,,0.0,0,續租案件；,RPWOMLMJLHLGFCB18CC,獨立套房,有,1150310~1160309,有,,社會住宅代管
大里區,租賃房屋,臺中市大里區益民路一段６２巷３６弄１６之５號,0.0,,,,1150301,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0811030,90.91,3,2,2,有,有,有,17000,187,,0.0,0,續租案件；,RPPOMLMJLHLGFIB08CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
中區,租賃房屋,臺中市中區民權路１６４號２２樓之４５,0.0,,,,1150303,土地0建物1車位0,二十二層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0860131,27.11,1,0,1,有,有,有,5500,203,,0.0,0,社會住宅包租代管公會版4期446-2續租案件；,RPPOMLNJLHLGFAB37CC,獨立套房,有,1150307~1160306,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北區,租賃房屋,臺中市北區國豐街６２巷５號,0.0,,,,1150301,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0600819,69.12,3,1,1,有,無,無,12500,181,,0.0,0,多人共同承租2；含增建或未登記建物；,RPQNMLNJLHLGFBB47CC,整棟(戶)出租,無,1150306~1170305,無,熱水器,一般轉租
南屯區,租賃房屋,臺中市南屯區忠勇路２３-２５號９樓,0.0,,,,1150302,土地0建物0車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950628,11.0,42,0,42,有,有,有,5500,500,,0.0,0,租金總額含水費；網路費；,RPQNMLNJLHLGFCB57CC,分租套房,有,1150302~1150625,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
南屯區,租賃房屋,臺中市南屯區忠勇路２３-２５號６樓,0.0,,,,1150302,土地0建物0車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950628,25.0,33,0,33,有,有,有,9000,360,,0.0,0,多人共同承租2；租金總額含水費；網路費；,RPTNMLNJLHLGFCB87CC,分租套房,有,1150302~1150625,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
西屯區,租賃房屋+車位,臺中市西屯區寶慶街７號九樓之１,16.04,商,,,1150302,土地1建物1車位1,九層,23,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100722,167.09,3,2,2,有,有,有,50000,299,坡道平面,28.79,0,,RPUNMLNJLHLGFCB97CC,整棟(戶)出租,有,1150302~1160301,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
南屯區,租賃房屋,臺中市南屯區忠勇路２３-２５號７樓,0.0,,,,1150302,土地0建物0車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950628,25.0,35,0,35,有,有,有,9000,360,,0.0,0,多人共同承租2；租金總額含水費；網路費；,RPVNMLNJLHLGFCB08CC,分租套房,有,1150302~1150625,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
西屯區,租賃房屋+車位,臺中市西屯區國安一路８７號３樓之６,0.0,,,,1150301,土地0建物1車位1,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,146.54,3,2,2,有,有,有,27000,184,坡道平面,21.71,0,,RPQOMLNJLHLGFCB67CC,整棟(戶)出租,有,1150320~1190319,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
西屯區,租賃房屋+車位,臺中市西屯區國安一路１３３號１５樓之７,0.0,,,,1150302,土地0建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,89.46000000000001,2,1,1,有,有,有,18500,207,坡道平面,22.28,0,續租案件；,RPSOMLNJLHLGFCB87CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
豐原區,租賃房屋,臺中市豐原區愛國街２０２巷１１號二樓,0.0,,,,1150302,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771115,100.24,3,2,1,有,有,有,14000,140,,0.0,0,每月管理費 989元 由承租人自付。,RPSNMLNJLHLGFDB87CC,整棟(戶)出租,有,1150305~1160304,無,冷氣、熱水器,社會住宅包租轉租
清水區,租賃房屋+車位,臺中市清水區中清路九段５３８巷６號四樓之２,0.0,,,,1150302,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120106,113.4,2,2,1,有,有,有,15000,149,坡道平面,26.16,2000,,RPRNMLNJLHLGFFB97CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
大里區,租賃房屋,臺中市大里區東南路２２５號,0.0,,,,1150301,土地0建物0車位0,全,4,透天厝,住宅、梯間、停車空間,鋼筋混凝土造,1090921,24.37,12,0,12,有,無,有,8500,349,,0.0,0,租金總額含網路費；,RPRNMLNJLHLGFIB28CC,分租套房,無,1150301~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大里區,租賃房屋,臺中市大里區健康一街３８號７樓,0.0,,,,1150302,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0831125,158.01,3,2,2,有,有,有,11500,73,,0.0,0,續租案件；,RPUNMLNJLHLGFIB58CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
大里區,租賃房屋,臺中市大里區東南路２２５號,0.0,,,,1150301,土地0建物0車位0,全,4,透天厝,住宅、梯間、停車空間,鋼筋混凝土造,1090921,24.37,12,0,12,有,無,有,8500,349,,0.0,0,租金總額含網路費；續租案件；,RPOOMLNJLHLGFIB08CC,分租套房,無,1150310~1160309,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大里區,租賃房屋,臺中市大里區國寶街１號八樓,0.0,,,,1150302,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0831118,110.00999999999999,2,2,2,有,有,有,19500,177,,0.0,0,,RPSOMLNJLHLGFIB48CC,整棟(戶)出租,有,1150302~1160301,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
南屯區,租賃房屋,臺中市南屯區大墩十二街１１１號,0.0,,,,1150301,土地0建物0車位0,全,3,透天厝,店房、住房、人行道、避難室,鋼筋混凝土造,0761014,13.0,14,0,14,有,無,有,7000,538,,0.0,0,含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPPNMLNJLHLGFCB57DC,分租套房,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
