編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLMJLHLGFIB08CC,33,70.28,集合住宅,鋼筋混凝土造,81年10月30日,六層,,
RPUNMLNJLHLGFIB58CC,31,110.15,集合住宅,鋼筋混凝土造,83年11月25日,七層,,
RPUNMLNJLHLGFIB58CC,31,47.86,避難室、水箱、梯間、停車、機房,鋼筋混凝土造,83年11月25日,七層,,
RPPOMLMJLHLGFIB08CC,33,20.63,共用部份,鋼筋混凝土造,81年10月30日,六層,,
RPOOMLNJLHLGFIB08CC,5,24.37,住宅、梯間、停車空間,鋼筋混凝土造,109年9月21日,四層,,
RPRNMLNJLHLGFIB28CC,5,24.37,住宅、梯間、停車空間,鋼筋混凝土造,109年9月21日,四層,,
RPPOMLNJLHLGFAB37CC,29,17.90,住家用,鋼骨造,86年1月31日,二十八層,,
RPPOMLNJLHLGFAB37CC,29,.80,共同使用,鋼骨造,86年1月31日,二十八層,,
RPPOMLNJLHLGFAB37CC,29,5.47,公共設施,鋼骨造,86年1月31日,二十八層,,
RPPOMLNJLHLGFAB37CC,29,2.94,共有部分,鋼骨造,86年1月31日,二十八層,,
RPTNMLMJLHLGFAB57CC,31,71.57,集合住宅,鋼筋混凝土造,84年8月17日,十五層,,
RPTNMLMJLHLGFAB57CC,31,7.09,停車空間,鋼筋混凝土造,84年8月17日,十五層,,
RPTNMLMJLHLGFAB57CC,31,31.47,人行道．防空避難室．樓梯間．機械室．水箱,鋼筋混凝土造,84年8月17日,十五層,,
RPXPMLMJLHLGFBB28CC,30,29.00,住家用,鋼筋混凝土造,85年5月24日,十六層,,
RPXPMLMJLHLGFBB28CC,30,8.62,共有部份,鋼筋混凝土造,85年5月24日,十六層,,
RPXPMLMJLHLGFBB28CC,30,7.17,共有部份,鋼筋混凝土造,85年5月24日,十六層,,
RPQNMLLJLHLGFBB27CC,13,27.23,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,,
RPQNMLNJLHLGFBB47CC,55,69.12,住家用,鋼筋混凝土加強磚造,60年8月19日,二層,,
RPQNMLOJLHLGFAB47CC,40,57.90,住商用,鋼筋混凝土造,75年1月28日,三層,,
RPSOMLNJLHLGFIB48CC,31,80.71,集合住宅,鋼筋混凝土造,83年11月18日,八層,,
RPSOMLNJLHLGFIB48CC,31,29.30,共用部份,鋼筋混凝土造,83年11月18日,八層,,
RPSNMLNJLHLGFDB87CC,37,89.08,住家用,鋼筋混凝土造,77年11月15日,五層,,
RPSNMLNJLHLGFDB87CC,37,9.85,共有部份,鋼筋混凝土造,77年11月15日,五層,,
RPSNMLNJLHLGFDB87CC,37,1.31,共有部份,鋼筋混凝土造,77年11月15日,五層,,
RPSNMLOJLHLGFAB67CC,1,88.48,集合住宅,鋼筋混凝土造,114年5月21日,二十八層,,
RPSNMLOJLHLGFAB67CC,1,44.41,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、排煙室、昇降機道、安全梯間、雨水機房、消防機房、揚水泵機房、水箱、電氣室、機房、停車空間、消防中繼機房、電信室、發電機房、台電配電室、水池機房、台電專用管道間等１７項。,鋼筋混凝土造,114年5月21日,二十八層,,
RPSNMLOJLHLGFAB67CC,1,6.37,本共有部分係依使用執照之建築概要表記載項目有：梯廳、安全梯間、排煙室、走廊、昇降機道、特別安全梯、機車停車區、車道、泳池機房、管委會使用空間、防災中心、垃圾暫存室、機電設備空間、游泳池、門廳等１５項。,鋼筋混凝土造,114年5月21日,二十八層,,
RPSNMLOJLHLGFAB67CC,1,23.27,本共有部分係依使用執照之建築概要表記載項目有：梯廳、走廊、昇降機道、排煙室、特別安全梯、機電設備空間、機械室、樓梯間、水錶室、消防中繼機房、水箱等１１項。,鋼筋混凝土造,114年5月21日,二十八層,,
RPUNMLOJLHLGFAB87CC,30,23.40,集合住宅,鋼筋混凝土造,85年3月28日,七層,,
RPWNMLOJLHLGFAB08CC,30,19.47,集合住宅,鋼筋混凝土造,85年8月29日,十四層,,
RPWNMLOJLHLGFAB08CC,30,11.31,共同使用,鋼筋混凝土造,85年8月29日,十四層,,
RPRNMLOJLHLGFAB57CC,19,83.49,集合住宅,鋼筋混凝土造,95年12月22日,十五層,,
RPRNMLOJLHLGFAB57CC,19,17.61,共用部分,鋼筋混凝土造,95年12月22日,十五層,,
RPXNMLOJLHLGFAB18CC,47,60.67,住家用,鋼筋混凝土造,68年7月31日,五層,,
RPRNMLOJLHLGFAB57CC,19,26.55,共用部分,鋼筋混凝土造,95年12月22日,十五層,,
RPPOMLOJLHLGFAB47CC,55,23.31,商業用,見其他登記事項,60年7月16日,四層,,
RPPNMLNJLHLGFCB57DC,38,13.00,店房、住房、人行道、避難室,鋼筋混凝土造,76年10月14日,三層,,
RPQNMLNJLHLGFCB67DC,38,16.00,店房、住房、人行道、避難室,鋼筋混凝土造,76年10月14日,三層,,
RPUPMLOJLHLGFBB18CC,4,92.57,集合住宅,鋼筋混凝土造,111年4月1日,十五層,,
RPUPMLOJLHLGFBB18CC,4,46.48,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，樓梯間，昇降機間，排煙室，消防機房，污水機房，機房，水箱，車道，停車空間，電信室，緊急發電機室，台電配電室等１３項。,鋼筋混凝土造,111年4月1日,十五層,,
RPUPMLOJLHLGFBB18CC,4,26.89,本共有部分係依使用執照之建築概要表記載項目有：門廳，梯廳，樓梯間，昇降機間，排煙室，資源回收室，管委會使用空間，走廊，車道，公共使用空間，梯間，水錶箱室，電梯機房，水箱等１４項。,鋼筋混凝土造,111年4月1日,十五層,,
RPSOMLOJLHLGFAB77CC,38,54.60,住商用,鋼筋混凝土造,77年1月11日,五層,,
RPXPMLOJLHLGFBB48CC,27,126.68,住家用,鋼筋混凝土造,87年11月3日,六層,,
RPXPMLOJLHLGFBB48CC,27,45.16,共有部份,鋼筋混凝土造,87年11月3日,六層,,
RPQNMLOJLHLGFIB28CC,5,77.36,集合住宅,鋼筋混凝土造,110年6月21日,十四層,,
RPQNMLOJLHLGFIB28CC,5,75.14,停車空間、雨水機房、消防機房、水箱、梯廳、排煙室、緊急昇降機、無障礙昇降機、樓梯間、電信機房、發電機房、防空避難室兼停車空間、台電配電場所、垃圾儲存空間、水景／噴灌機房、管委會使用空間、過廊、污水機房、電梯機房及一般昇降機等２０項。,鋼筋混凝土造,110年6月21日,十四層,,
RPPNMLPJLHLGFAB47CC,24,106.11,集合住宅,鋼筋混凝土造,90年9月21日,十四層,,
RPPNMLPJLHLGFAB47CC,24,45.65,共有部分,鋼筋混凝土造,90年9月21日,十四層,,
RPPNMLPJLHLGFAB47CC,24,15.33,共有部分,鋼筋混凝土造,90年9月21日,十四層,,
RPSNMLPJLHLGFAB77CC,42,45.97,住家用,鋼筋混凝土造,73年6月26日,十二層,,
RPSNMLPJLHLGFAB77CC,42,9.68,共有部分,鋼筋混凝土造,73年6月26日,十二層,,
RPTOMLPJLHLGFAB97CC,6,94.99,集合住宅,鋼筋混凝土造,108年10月7日,十五層,,
RPTOMLPJLHLGFAB97CC,6,73.42,本共有部份係依使用執照之建築概要表記載項目有停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、汙水處理機房、消防機房、機房、水箱、車道、防空避難室兼停車空間、緊急發電機室、台電配電室、電信室、機車停車區、梯廳、無障礙廁所、門廳、垃圾集中室、公共服務空間、外廊、梯間、水錶箱室、電梯機房等二十四項。,鋼筋混凝土造,108年10月7日,十五層,,
RPXOMLPJLHLGFAB38CC,30,49.59,住宅,鋼筋混凝土造,84年10月13日,五層,,
RPUNMLOJLHLGFCB08CC,28,31.34,住家用,鋼筋混凝土造,86年12月16日,二十三層,,
RPTOMLMJLHLGFCB87CC,21,71.70,住家用,ＲＣ造,93年10月1日,九層,,
RPUNMLOJLHLGFCB08CC,28,6.07,共有部份,鋼筋混凝土造,86年12月16日,二十三層,,
RPTOMLMJLHLGFCB87CC,21,28.09,共用,ＲＣ造,93年10月1日,九層,,
RPUNMLOJLHLGFCB08CC,28,4.58,共有部份,鋼筋混凝土造,86年12月16日,二十三層,,
RPUNMLOJLHLGFCB08CC,28,5.65,共有部份,鋼筋混凝土造,86年12月16日,二十三層,,
RPVNMLNJLHLGFCB08CC,20,25.00,住家用,鋼筋混凝土造,95年6月28日,十層,,
RPQOMLNJLHLGFCB67CC,17,87.31,住家用,鋼筋混凝土造,97年11月27日,二十二層,,
RPSOMLNJLHLGFCB87CC,15,46.22,住家用,鋼筋混凝土造,99年11月19日,二十四層,,
RPQOMLNJLHLGFCB67CC,17,59.23,共用,鋼筋混凝土造,97年11月27日,二十二層,,
RPSOMLNJLHLGFCB87CC,15,43.24,本共有部分之項目有停車空間、消防機房、污水機房、揚水機房、水箱、排煙室、梯廳、樓梯間、昇降機間、防空避難室兼停車空間、防災中心、台電配電室、電信室、緊急發電機房、電錶箱室、門廳、管委會空間、中繼機房、屋頂平台、電梯機房、機房等二十一項,鋼筋混凝土造,99年11月19日,二十四層,,
RPUNMLNJLHLGFCB97CC,5,90.87,集合住宅,鋼筋混凝土造,110年7月22日,二十三層,,
RPWOMLMJLHLGFCB18CC,28,31.98,住家用,鋼筋混凝土造,86年12月16日,二十三層,,
RPUNMLNJLHLGFCB97CC,5,56.94,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、一般昇降機間、緊急昇降機間、梯廳、排煙室、水箱、泵浦室、雨污水機房、消防機房、安全梯、車道、停車空間、發電機室、電信室、配電室、景觀水池機房、泳池機房、消防設備空間、機車停車空間、特別安全梯、機電設備空間、管委會使用空間、緩衝空間、防災中心、垃圾暫存室、機械室、消防中繼水箱、水錶室、電梯機房等２９項。,鋼筋混凝土造,110年7月22日,二十三層,,
