編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLJLHLGFBB27CC,坡道平面,3500,27.23,地下三樓
RPSNMLOJLHLGFAB67CC,坡道平面,3000,30.03,地下三樓
RPRNMLOJLHLGFAB57CC,坡道機械,0,14.05,地下三樓
RPUPMLOJLHLGFBB18CC,坡道平面,2000,27.12,地下二樓
RPXPMLOJLHLGFBB48CC,坡道機械,0,16.69,地下一樓
RPQNMLOJLHLGFIB28CC,坡道平面,2000,39.32,地下二樓
RPTOMLPJLHLGFAB97CC,坡道平面,2800,33.35,地下二樓
RPQOMLNJLHLGFCB67CC,坡道平面,0,21.71,地下三樓
RPSOMLNJLHLGFCB87CC,坡道平面,0,22.28,地下三樓
RPUNMLNJLHLGFCB97CC,坡道平面,0,28.79,地下一樓
RPSNMLOJLHLGFCB87CC,升降機械,0,13.65,地下一樓
RPQNMLOJLHLGFCB67CC,坡道平面,2500,30.79,地下三樓
RPQNMLQJLHLGFAB67CC,坡道平面,2000,14.92,地下二樓
RPUOMLQJLHLGFBB28CC,坡道平面,0,24.59,地下二樓
RPQNMLQJLHLGFIB48CC,坡道平面,2000,24.76,地下三樓
RPSNMLTJLHLGFCB38CC,坡道平面,3000,15.23,地下三樓
RPQNMLTJLHLGFCB18CC,坡道機械,0,20.34,地下三樓
RPPNMLTJLHLGFIB68CC,坡道平面,0,31.39,地下二樓
RPVNMLKKLHLGFAB67CC,升降機械,0,12.48,地下三樓
RPQNMLQJLHLGFJB58CC,坡道平面,2000,31.06,地下三樓
RPROMLKKLHLGFCB57CC,升降機械,0,23.14,地下一樓
RPROMLKKLHLGFCB57CC,升降機械,0,23.14,地下一樓
RPROMLKKLHLGFCB57CC,升降機械,0,9.91,地下一樓
RPOOMLKKLHLGFCB27CC,坡道平面,0,21.49,地下二樓
RPWOMLKKLHLGFCB08CC,坡道平面,0,26.98,地下三樓
RPPOMLKKLHLGFCB37CC,升降機械,1000,,地下一樓
RPPNMLKKLHLGFIB87CC,坡道平面,0,36.04,地下一樓
RPXNMLLKLHLGFAB97CC,坡道平面,0,30.03,地下四樓
RPTNMLLKLHLGFAB57CC,坡道平面,0,18.96,地下二樓
RPSNMLLKLHLGFAB47CC,坡道平面,2346,25.05,地下二樓
RPWNMLLKLHLGFCB08CC,一樓平面,2000,27.78,一樓
RPOPMLLKLHLGFCB47CC,坡道平面,0,35.37,地下二樓
RPPNMLPJLHLGFFB97CC,坡道平面,2000,35.86,地下一樓
