編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLMLHLGFDC67DA,43,72.90,住家用,鋼筋混凝土造,71年9月15日,四層,四層 陽台,全筆移轉
RPUPMLRLLHLGFDC88DA,27,57.41,住家用,鋼筋混凝土造,88年1月14日,十六層,七層 陽台,全筆移轉
RPUPMLRLLHLGFDC88DA,27,10.05,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUPMLRLLHLGFDC88DA,27,4.42,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUPMLRLLHLGFDC88DA,27,45.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUPMLRLLHLGFDC88DA,27,1.46,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUPMLRLLHLGFDC88DA,27,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPTNMLKMLHLGFDC97DA,28,36.20,住家用,鋼筋混凝土造,86年11月21日,十七層,十六層 陽台,全筆移轉
RPTNMLKMLHLGFDC97DA,28,9.23,共用部份,鋼筋混凝土造,86年11月21日,十七層,,持分移轉
RPTNMLKMLHLGFDC97DA,28,3.10,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,持分移轉
RPWNMLOLLHLGFDC58DA,30,31.07,住家用,鋼筋混凝土造,85年4月26日,十六層,十四層 陽台,全筆移轉
RPPNMLKMLHLGFDC57DA,44,2.49,共用部份,鋼筋混凝土造,71年8月24日,六層,,持分移轉
RPWNMLOLLHLGFDC58DA,30,6.02,共用部份,鋼筋混凝土造,85年4月26日,十六層,,持分移轉
RPPNMLKMLHLGFDC57DA,44,44.59,住家用,鋼筋混凝土造,71年8月24日,五層,五層 陽台 走廊,全筆移轉
RPWNMLOLLHLGFDC58DA,30,3.75,共用部份,鋼筋混凝土造,85年4月26日,十六層,,持分移轉
RPSNMLKMLHLGFDC87DA,43,103.53,住家用,鋼筋混凝土造,72年7月29日,五層,四層 陽台,全筆移轉
RPQNMLPLLHLGFDC08DA,53,30.27,住家用,鋼筋混凝土造,62年5月17日,四層,一層,全筆移轉
RPTNMLPLLHLGFDC38DA,46,57.23,住家用,鋼筋混凝土造,68年11月15日,四層,四層,全筆移轉
