編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLMLHLGFDC67DA,金華段,23.13,都市：其他:住宅區,8261,33,持分移轉,00040000
RPPNMLLMLHLGFDC67DA,金華段,1.66,都市：其他:兒童遊樂場用地,8261,33,持分移轉,00040001
RPPNMLLMLHLGFDC67DA,金華段,2.67,都市：其他:保護區,8261,33,持分移轉,00040002
RPUPMLRLLHLGFDC88DA,長潭段,1.37,都市：其他:住宅區(住二),100000,52,持分移轉,08450000
RPUPMLRLLHLGFDC88DA,長潭段,13.66,都市：其他:住宅區(住二),100000,52,持分移轉,08450003
RPTNMLKMLHLGFDC97DA,調和段,9.50,都市：其他:住宅區(住二),100000,28,持分移轉,14150000
RPTNMLKMLHLGFDC97DA,調和段,.00,都市：其他:住宅區(住二),100000,28,持分移轉,14150001
RPTNMLKMLHLGFDC97DA,調和段,.00,都市：其他:住宅區(住一),100000,28,持分移轉,14150002
RPWNMLOLLHLGFDC58DA,深美段,6.69,都市：其他:住宅區(住二),50000,34,持分移轉,06560000
RPPNMLKMLHLGFDC57DA,長潭段,8.61,都市：其他:住宅區,10000,105,持分移轉,10520000
RPWNMLOLLHLGFDC58DA,深美段,.04,都市：其他:保護區,50000,34,持分移轉,06560001
RPPNMLKMLHLGFDC57DA,長潭段,.02,都市：其他:住宅區,10000,105,持分移轉,10520001
RPWNMLOLLHLGFDC58DA,深美段,.35,都市：其他:住宅區(住一),50000,34,持分移轉,06560002
RPPNMLKMLHLGFDC57DA,長潭段,.72,都市：其他:道路用地,10000,105,持分移轉,10520002
RPWNMLOLLHLGFDC58DA,祥豐段,.06,都市：其他:住宅區(住二),50000,34,持分移轉,07050001
RPQNMLTLLHLGFDC48DA,長安段,59.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03050010
RPSNMLKMLHLGFDC87DA,中正段二小段,44.99,都市：其他:住宅區,10000,184,持分移轉,00190022
RPQNMLPLLHLGFDC08DA,和平段,12.75,都市：其他:商業區,4,1,持分移轉,02100000
RPTNMLPLLHLGFDC38DA,保定段,16.38,都市：其他:住宅區,8736,546,持分移轉,02630000
RPTNMLPLLHLGFDC38DA,保定段,.62,都市：其他:住宅區,8736,546,持分移轉,02630001
RPTNMLPLLHLGFDC38DA,保定段,.06,都市：其他:住宅區,8736,546,持分移轉,02630002
RPWNMLQLLHLGFDC78DA,深美段,28.14,都市：其他:住宅區(住二),10000,56,持分移轉,07970000
RPRNMLKMLHLGFDC77DA,忠義段三小段,30.00,都市：其他:商業區,1,1,全筆移轉,00090009
RPRQMLRLLHLGFDC68DA,五堵段五堵北小段,40.40,都市：其他:住宅區,1000,100,持分移轉,07960000
RPQQMLRLLHLGFDC58DA,武嶺段,20.36,都市：其他:住宅區(住三),100000,448,持分移轉,09530000
RPQNMLLMLHLGFDC77DA,深美段,17.88,都市：其他:住宅區(住二),10000,100,持分移轉,06780000
RPQNMLLMLHLGFDC77DA,深美段,.34,都市：其他:住宅區(住一),10000,100,持分移轉,06780001
RPPOMLLKLHLGFDC57DA,新會段,31.14,都市：其他:住宅區(住三),100000,170,持分移轉,05080000
RPTOMLRKLHLGFDC58DA,中濱段,23.50,都市：其他:住宅區(住一),2,1,持分移轉,00290057
RPTOMLRKLHLGFDC58DA,中濱段,3.00,都市：其他:住宅區(住一),2,1,持分移轉,02610010
RPTOMLRKLHLGFDC58DA,中濱段,7.00,都市：其他:住宅區(住一),2,1,持分移轉,02610011
RPUNMLTJKHLGFDC58DA,長潭段,.55,都市：其他:住宅區(住二),100000,21,持分移轉,08450000
RPUNMLTJKHLGFDC58DA,長潭段,5.52,都市：其他:住宅區(住二),100000,21,持分移轉,08450003
RPWNMLTJLHLGFDC88DA,武嶺段,24.01,都市：其他:住宅區(住三),100000,690,持分移轉,09560000
RPWNMLTJLHLGFDC88DA,武嶺段,.71,都市：其他:住宅區(住三),100000,690,持分移轉,09560001
RPRNMLTKLHLGFDC48DA,代天府段,.84,都市：其他:住宅區(住三),3360,1,持分移轉,05990000
RPRNMLTKLHLGFDC48DA,代天府段,25.52,都市：其他:住宅區(住三),10000,38,持分移轉,06130000
RPWNMLOJLHLGFDC38DA,港灣段三小段,12.08,都市：其他:商業區,100000,642,持分移轉,00040000
RPXNMLQLKHLGFDC78DA,德安段,12.53,都市：其他:商業區(商二),100000,96,持分移轉,10900000
RPXNMLSKLHLGFDC98DA,五堵段五堵北小段,25.57,都市：其他:住宅區,10000,188,持分移轉,10540000
RPOOMLOLLHLGFDC87DA,新城段,32.43,都市：其他:住宅區(住二),10000,73,持分移轉,09630000
RPOOMLOLLHLGFDC87DA,新城段,.01,都市：其他:停車場用地,10000,73,持分移轉,09630001
RPOOMLOLLHLGFDC87DA,新城段,.18,都市：其他:住宅區(住二),10000,73,持分移轉,09630002
RPOOMLOLLHLGFDC87DA,新城段,5.51,都市：其他:道路用地,10000,73,持分移轉,09630003
RPOOMLOLLHLGFDC87DA,新城段,.52,都市：其他:機關用地,10000,73,持分移轉,09630004
RPOOMLOLLHLGFDC87DA,新城段,.03,都市：其他:車站用地,10000,73,持分移轉,09630005
RPOOMLOLLHLGFDC87DA,新城段,.00,都市：其他:道路用地,10000,73,持分移轉,09630006
RPVNMLKMLHLGFDC18DA,仁德段,29.23,都市：其他:住宅區(住二),10000,402,持分移轉,00550000
RPWOMLNLLHLGFDC58DA,深澳段,24.29,都市：其他:住宅區(住二),100000,103,持分移轉,10170000
RPSNMLLMLHLGFDC97DA,觀音段,12.88,都市：其他:市場用地,10000,80,持分移轉,00720000
RPSNMLLMLHLGFDC97DA,觀音段,.02,,10000,80,持分移轉,00720006
RPSQMLRLLHLGFDC78DA,五堵段五堵北小段,45.00,都市：其他:住宅區,923,45,持分移轉,08230000
RPSOMLQJLHLGFDC28DA,長潭段,32.82,都市：其他:住宅區(住一),100000,423,持分移轉,09710000
RPSOMLSJMHLGFDC58DA,南新段,26.31,都市：其他:住宅區(住一),10000,754,持分移轉,01580000
