鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中正區,租賃房屋,基隆市中正區新豐街２０６號２０樓,0.0,,,,1150302,土地0建物1車位0,二十三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,9.399999999999999,1,1,1,有,有,有,11800,1255,,0.0,0,租金總額含管理費；,RPPNMLNJLHLGFDC77DC,獨立套房,有,1150303~1160302,有,冷氣、熱水器、洗衣機、電視機、冰箱,
中山區,租賃房屋,基隆市中山區復興路２１５號１２樓之９,0.0,,,,1150303,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111201,83.47,2,1,1,有,有,有,17600,211,,0.0,0,續租案件；,RPPNMLPJLHLGFDC87CC,整棟(戶)出租,有,1150315~1160314,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
仁愛區,租賃房屋,基隆市仁愛區復興街１６巷３７之３號,0.0,,,,1150303,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630308,72.46,2,2,1,有,無,無,13000,179,,0.0,0,,RPQNMLPJLHLGFDC97CC,整棟(戶)出租,無,1150310~1160309,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
安樂區,租賃房屋,基隆市安樂區新西街１０７號２樓,0.0,,,,1150305,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880414,97.02000000000001,3,1,2,有,無,有,11000,113,,0.0,0,續租案件；,RPQNMLQJLHLGFDC08CC,整棟(戶)出租,無,1150309~1160308,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區信一路１５９巷１２之３號,0.0,,,,1150305,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0661109,89.78,2,2,2,有,無,有,15000,167,,0.0,0,,RPRNMLQJLHLGFDC18CC,整棟(戶)出租,無,1150310~1160309,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區安樂區安一路１００巷９２之２號,0.0,,,,1150304,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621109,83.14,3,2,1,有,無,有,8000,96,,0.0,0,續租案件；,RPSNMLQJLHLGFDC28CC,整棟(戶)出租,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
仁愛區,租賃房屋,基隆市仁愛區劉銘傳路１１巷２４弄１８之３號,0.0,,,,1150303,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650922,52.19,5,2,2,有,無,有,20000,383,,0.0,0,多人共同承租3；含增建或未登記建物；,RPTNMLQJLHLGFDC38CC,整棟(戶)出租,無,1150310~1160309,無,冷氣、熱水器、冰箱、瓦斯或天然氣,一般轉租
中正區,租賃房屋,基隆市中正區中正路１０２號８樓之７,0.0,,,,1150303,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670626,42.05,1,0,1,有,有,有,11000,262,,0.0,0,,RPUNMLQJLHLGFDC48CC,獨立套房,有,1150310~1160309,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區基金一路１０８之５號６樓,0.0,,,,1150304,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810708,103.65,3,1,2,有,有,無,12600,122,,0.0,0,續租案件；,RPVNMLQJLHLGFDC58CC,整棟(戶)出租,有,1150312~1170311,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
