鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
六甲區,土地,信義段1052地號,212.95,住,,,1150401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3864600,18148,,0.0,0,,RPRNMLRJMHLGFFD58DA,0.0,0.0,0.0,無,
官田區,土地,義田段716地號,14.13,住,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,170000,12031,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLRJMHLGFFD09DA,0.0,0.0,0.0,無,
安南區,土地,十字段813-22地號,20.01,商,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,640000,31984,,0.0,0,,RPOOMLLJMHLGFBD37DA,0.0,0.0,0.0,無,
安南區,土地,十字段813-22地號,20.01,商,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,640000,31984,,0.0,0,,RPPOMLLJMHLGFBD47DA,0.0,0.0,0.0,無,
新營區,土地,育德段714地號,163.59,都市：其他:道路用地,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3950000,24146,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJMHLGFDD87DA,0.0,0.0,0.0,無,
新營區,土地,育德段607地號,235.9,住,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000000,42391,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOJMHLGFDD97DA,0.0,0.0,0.0,無,
六甲區,土地,六甲段887-6地號,5.83,農,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10500,1801,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPVNMLRJMHLGFFD98DA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺南市北區文賢路３１３巷３４弄３０號,86.2,住,,,1150325,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0781121,182.59,3,2,2,有,無,6500000,35599,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKMLHLGFAD37DA,152.36,9.77,20.46,無,
安南區,房地(土地+建物),臺南市安南區安和路五段８１巷４０弄３５號,78.84,住,,,1150303,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0701231,91.83,4,2,3,有,無,8000000,87117,,0.0,0,頂樓加蓋；其他增建；,RPUNMLLKLHLGFBD87DA,87.67,0.0,4.16,無,
安南區,房地(土地+建物),臺南市安南區館安二路９７號,263.57,住,,,1150311,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1031218,514.41,4,2,6,有,無,49400000,96032,,0.0,0,土地金額：參仟參佰零玖萬捌仟元整建物金額：壹仟陸佰參拾萬貳仟元整,RPUOMLNLLHLGFBD28DA,468.27,0.0,46.14,有,
安南區,房地(土地+建物),臺南市安南區安豐六街１０巷５３弄２２號,49.94,住,,,1150321,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960306,100.71,6,2,4,有,無,5000000,49648,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLQLLHLGFBD18DA,92.88,0.0,7.83,無,
東區,房地(土地+建物),臺南市東區德東街２１０號五樓之１,20.89,住,,,1150317,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810807,97.49,3,2,2,有,無,4200000,43081,,0.0,0,,RPUNMLSKLHLGFCD68DA,60.95,0.0,6.82,有,
南區,房地(土地+建物),臺南市南區明興路９４９號,91.87,住,,,1150307,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0760828,194.52,5,3,4,有,無,10500000,53979,,0.0,0,其他增建；,RPVNMLQLLHLGFCD68DA,184.95,0.0,9.57,無,
東區,房地(土地+建物)+車位,臺南市東區崇賢一路３０號十四樓之８,22.11,住,,,1150317,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140124,145.34,2,2,2,有,有,16500000,113527,坡道平面,23.93,0,,RPPNMLKMLHLGFCD57DA,71.09,0.0,7.7,有,001
新營區,土地,東站段1772地號,211.75,,,,1150316,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,21251,,0.0,0,未登記建物；包含公共設施保留地用地；,RPPNMLRKLHLGFDD18DA,0.0,0.0,0.0,無,
柳營區,土地,果毅後段2990地號,538.0,,特定農業區,農牧用地,1150321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1550000,2881,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLLHLGFDD97DA,0.0,0.0,0.0,無,
大內區,土地,石湖段273地號,8.45,,一般農業區,農牧用地,1150317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12100,1432,,0.0,0,,RPPNMLNLLHLGFFD08DA,0.0,0.0,0.0,無,
六甲區,土地,六甲段886地號,1066.0,農,,,1150313,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7090000,6651,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPLLHLGFFD48DA,0.0,0.0,0.0,無,002
官田區,房地(土地+建物),臺南市官田區隆本里勝利路１３８號,100.17,住,,,1150302,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1121227,283.76,4,2,4,有,無,20000000,70482,,0.0,0,土地交易總價：5000000元整，房屋交易總價：15000000元整,RPPNMLRLLHLGFFD48DA,244.71,0.0,39.05,無,
下營區,土地,茅港尾段560-60地號,234.0,,鄉村區,乙種建築用地,1150323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,12821,,0.0,0,,RPSNMLRLLHLGFFD78DA,0.0,0.0,0.0,無,
大內區,土地,石仔瀨北段1109地號,47.15,工,,,1150321,土地10建物0車位0,,,其他,,,,0.0,0,0,0,無,無,188737,4003,,0.0,0,全部依公告現值加4成出售親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPXNMLRLLHLGFFD66DA,0.0,0.0,0.0,無,
大內區,土地,石仔瀨北段1109地號,313.97,工,,,1150321,土地10建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1256907,4003,,0.0,0,全部依公告現值加4成山售親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPPOMLRLLHLGFFD58DA,0.0,0.0,0.0,無,003
