編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLQLLHLGFBD18DA,19,100.71,住家用,鋼筋混凝土造,96年3月6日,四層,一層 二層 三層 四層 陽台 見其他登記事項,持分移轉
RPUOMLNLLHLGFBD28DA,11,514.41,住宅，停車空間,鋼筋混凝土造,103年12月18日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPUNMLLKLHLGFBD87DA,44,91.83,住商用,加強磚造,70年12月31日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPPNMLRLLHLGFFD48DA,2,283.76,店舖、住宅,鋼筋混凝土造,112年12月27日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓,全筆移轉
RPPNMLKMLHLGFAD37DA,36,182.59,住商用,鋼筋混凝土造,78年11月21日,四層,一層 二層 三層 四層 陽台 平台,全筆移轉
RPWNMLPLLHLGFGD09DA,2,139.58,集合住宅,鋼筋混凝土造,113年2月5日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLKMLHLGFGD97DA,1,158.55,Ｈ２住宅,鋼筋混凝土造,114年1月13日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQPMLTJLHLGFID09DA,1,58.06,集合住宅,鋼筋混凝土造,113年10月15日,十四層,十四層 陽台,全筆移轉
RPQPMLTJLHLGFID09DA,1,42.88,本共有部分之項目有車道Ａ、車道Ｂ、管委會Ｇ、管委會Ｌ、Ｋ棟乙安全梯、Ｈ棟乙安全梯、Ｊ棟門廊、停車空間等８項,鋼筋混凝土造,113年10月15日,十四層,,持分移轉
RPQPMLTJLHLGFID09DA,1,13.35,本共有部分之項目有甲安全梯、乙安全梯、梯廳、排煙室、電梯、機械房、水箱、消防水箱區、梯間等９項,鋼筋混凝土造,113年10月15日,十四層,,持分移轉
RPQPMLTJLHLGFID09DA,1,2.21,本共有部分之項目有門廊、管委會空間、機電設備空間、梯廳等４項,鋼筋混凝土造,113年10月15日,十四層,,持分移轉
RPQNMLOLLHLGFFD28DA,1,100.28,集合住宅,鋼筋混凝土造,114年1月22日,十四層,三層 陽台,全筆移轉
RPQNMLOLLHLGFFD28DA,1,81.76,本共有部分之項目有機電設備（機電空間）、安全梯（梯間）、緊急昇降機機道、排煙室、管理維護空間、梯廳、一般昇降機機道、儲藏室、公共服務空間、垃圾處理場、門廊、台電配電場所、停車空間、梯間、水箱等１５項。,鋼筋混凝土造,114年1月22日,十四層,,持分移轉
RPTNMLRLLHLGFFD88DA,1,29.83,本共有部分之項目有機電設備（機電空間）、安全梯（梯間）、緊急昇降機機道、排煙室、管理維護空間、梯廳、一般昇降機機道、儲藏室、公共服務空間、垃圾處理場、門廊、台電配電場所、停車空間、梯間、水箱等１５項。,鋼筋混凝土造,114年1月22日,十四層,,持分移轉
RPUNMLKMLHLGFFD38DA,1,29.83,本共有部分之項目有機電設備（機電空間）、安全梯（梯間）、緊急昇降機機道、排煙室、管理維護空間、梯廳、一般昇降機機道、儲藏室、公共服務空間、垃圾處理場、門廊、台電配電場所、停車空間、梯間、水箱等１５項。,鋼筋混凝土造,114年1月22日,十四層,,持分移轉
RPOOMLKMLHLGFAD37DA,49,65.75,住家用,鋼筋混凝土造,66年8月24日,三層,一層 二層 三層,全筆移轉
RPROMLQLLHLGFAD18DA,41,45.96,住家用,鋼筋混凝土造,73年12月28日,十四層,五層,全筆移轉
RPROMLQLLHLGFAD18DA,41,15.19,共同使用部份,鋼筋混凝土造,73年12月28日,十四層,,持分移轉
RPXNMLKMLHLGFKD56DA,34,74.30,住家用,鋼筋混凝土造,81年5月11日,七層,五層 陽台,全筆移轉
RPXNMLKMLHLGFKD56DA,34,37.94,共同使用部份,鋼筋混凝土造,81年5月11日,七層,,持分移轉
RPSNMLQLLHLGFID98DA,1,57.78,集合住宅,鋼筋混凝土造,113年10月15日,十四層,八層 陽台,全筆移轉
