編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLQLLHLGFBD18DA,怡安段,49.94,都市：其他:住宅區,2,1,持分移轉,06270014
RPPOMLLJMHLGFBD47DA,十字段,20.01,都市：其他:商業區,10,1,持分移轉,08130022
RPUOMLNLLHLGFBD28DA,和館段,262.67,都市：其他:住宅區,1,1,全筆移轉,00380090
RPUOMLNLLHLGFBD28DA,和館段,.90,都市：其他:住宅區,6,1,持分移轉,00380091
RPUNMLLKLHLGFBD87DA,保安宮段,71.32,都市：其他:住宅區,1,1,全筆移轉,02290000
RPUNMLLKLHLGFBD87DA,保安宮段,7.52,都市：其他:細部計畫道路用地,1,1,全筆移轉,02490000
RPPNMLOJMHLGFDD87DA,育德段,163.59,都市：其他:道路用地,2,1,持分移轉,07140000
RPRNMLPLLHLGFFD48DA,六甲段,753.00,都市：其他:農業區,1,1,全筆移轉,08860000
RPRNMLPLLHLGFFD48DA,六甲段,63.00,都市：其他:農業區,6,1,持分移轉,08860001
RPRNMLPLLHLGFFD48DA,六甲段,250.00,都市：其他:農業區,1,1,全筆移轉,08860004
RPXNMLRLLHLGFFD66DA,石城段,.13,都市：其他:農業區,10000,47,持分移轉,00970000
RPPOMLRLLHLGFFD58DA,石城段,.87,都市：其他:農業區,10000,313,持分移轉,00970000
RPXNMLRLLHLGFFD66DA,石城段,.11,都市：其他:道路用地,10000,47,持分移轉,00970001
RPXNMLRLLHLGFFD66DA,石仔瀨北段,3.08,都市：其他:道路用地,10000,47,持分移轉,10950000
RPXNMLRLLHLGFFD66DA,石仔瀨北段,3.68,都市：其他:道路用地,10000,47,持分移轉,10980000
RPPOMLRLLHLGFFD58DA,石城段,.77,都市：其他:道路用地,10000,313,持分移轉,00970001
RPXNMLRLLHLGFFD66DA,石仔瀨北段,1.26,都市：其他:乙種工業區,10000,47,持分移轉,11000000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,20.54,都市：其他:道路用地,10000,313,持分移轉,10950000
RPXNMLRLLHLGFFD66DA,石仔瀨北段,6.56,都市：其他:乙種工業區,10000,47,持分移轉,11010000
RPXNMLRLLHLGFFD66DA,石仔瀨北段,11.33,都市：其他:乙種工業區,10000,47,持分移轉,11020000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,24.49,都市：其他:道路用地,10000,313,持分移轉,10980000
RPXNMLRLLHLGFFD66DA,石仔瀨北段,3.49,都市：其他:農業區,10000,47,持分移轉,11070000
RPXNMLRLLHLGFFD66DA,石仔瀨北段,5.60,都市：其他:農業區,10000,47,持分移轉,11080000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,8.39,都市：其他:工業區,10000,313,持分移轉,11000000
RPXNMLRLLHLGFFD66DA,石仔瀨北段,11.91,都市：其他:農業區,10000,47,持分移轉,11090000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,43.70,都市：其他:工業區,10000,313,持分移轉,11010000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,75.44,都市：其他:工業區,10000,313,持分移轉,11020000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,23.21,都市：其他:農業區,10000,313,持分移轉,11070000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,37.27,都市：其他:農業區,10000,313,持分移轉,11080000
RPPOMLRLLHLGFFD58DA,石仔瀨北段,79.30,都市：其他:農業區,10000,313,持分移轉,11090000
RPPNMLNLLHLGFFD08DA,石湖段,8.45,非都市：一般農業區 ; 非都市編定：農牧用地,120,2,持分移轉,02730000
RPPNMLRLLHLGFFD48DA,隆本段,100.17,都市：其他:住宅區,1,1,全筆移轉,06350000
RPQOMLRLLHLGFFD68DA,石城段,.19,都市：其他:農業區,30000,208,持分移轉,00970000
RPQOMLRLLHLGFFD68DA,石城段,.17,都市：其他:道路用地,30000,208,持分移轉,00970001
RPQOMLRLLHLGFFD68DA,石仔瀨北段,4.55,都市：其他:道路用地,30000,208,持分移轉,10950000
RPQOMLRLLHLGFFD68DA,石仔瀨北段,5.43,都市：其他:道路用地,30000,208,持分移轉,10980000
RPQOMLRLLHLGFFD68DA,石仔瀨北段,1.86,都市：其他:工業區,30000,208,持分移轉,11000000
RPQOMLRLLHLGFFD68DA,石仔瀨北段,9.68,都市：其他:工業區,30000,208,持分移轉,11010000
RPQOMLRLLHLGFFD68DA,石仔瀨北段,16.71,都市：其他:工業區,30000,208,持分移轉,11020000
RPQOMLRLLHLGFFD68DA,石仔瀨北段,5.14,都市：其他:農業區,30000,208,持分移轉,11070000
RPQOMLRLLHLGFFD68DA,石仔瀨北段,8.26,都市：其他:農業區,30000,208,持分移轉,11080000
RPQOMLRLLHLGFFD68DA,石仔瀨北段,17.57,都市：其他:農業區,30000,208,持分移轉,11090000
RPQNMLOJMHLGFDD97DA,育德段,235.90,都市：其他:住宅區,6,2,持分移轉,06070000
RPPNMLKMLHLGFAD37DA,大豐段,86.20,都市：其他:住宅區,1,1,全筆移轉,01220009
RPROMLRLLHLGFFD78DA,石城段,.87,都市：其他:農業區,30000,936,持分移轉,00970000
RPROMLRLLHLGFFD78DA,石城段,.76,都市：其他:道路用地,30000,936,持分移轉,00970001
RPROMLRLLHLGFFD78DA,石仔瀨北段,20.47,都市：其他:道路用地,30000,936,持分移轉,10950000
RPROMLRLLHLGFFD78DA,石仔瀨北段,24.42,都市：其他:道路用地,30000,936,持分移轉,10980000
RPROMLRLLHLGFFD78DA,石仔瀨北段,8.36,都市：其他:工業區,30000,936,持分移轉,11000000
