編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQPMLTJLHLGFID09DA,坡道平面,1380000,32.27,地下三樓
RPQNMLOLLHLGFFD28DA,坡道平面,1500000,29.83,地下一樓
RPTNMLRLLHLGFFD88DA,坡道平面,200000,29.83,地下一樓
RPUNMLKMLHLGFFD38DA,坡道平面,200000,29.83,地下二樓
RPXNMLKMLHLGFKD56DA,坡道平面,0,,地下一樓
RPQNMLQLLHLGFID78DA,坡道平面,0,31.61,地下二樓
RPUNMLKMLHLGFID68DA,一樓平面,1000000,14.07,一樓
RPVNMLKMLHLGFID78DA,一樓平面,1000000,14.07,一樓
RPSNMLQLLHLGFID98DA,坡道平面,1530000,31.12,地下二樓
RPUNMLQLLHLGFBD48DA,一樓平面,1400000,,一樓
RPOOMLKKLHLGFID08EA,一樓平面,1000000,14.07,一樓
RPPNMLKMLHLGFCD57DA,坡道平面,0,23.93,地下二樓
RPSNMLRJMHLGFCD38DA,坡道平面,0,,地下一樓
RPRNMLLJMHLGFID28DA,坡道平面,0,,地下一樓
RPRNMLLJMHLGFBD57DA,坡道平面,1500000,31.09,地下一樓
RPTNMLSKLHLGFHD09DA,其他,950000,,一樓
RPQOMLMJMHLGFAD57DA,升降平面,0,,地下二樓
RPRPMLRJMHLGFAD28DA,坡道平面,620000,33.87,地下二樓
RPRNMLTJLHLGFAD18DA,坡道平面,0,38.26,地下三樓
RPRNMLSKLHLGFAD18DA,坡道平面,0,,地下一樓
RPQNMLPLKHLGFKD78DA,坡道平面,0,22.39,地下一樓
RPRNMLQKLHLGFKD98DA,坡道平面,0,,地下二樓
RPQNMLOLLHLGFCD97DA,坡道平面,1670000,26.25,地下一樓
RPRNMLKKLHLGFAD37DA,坡道平面,0,,地下二樓
RPSNMLRKLHLGFAD18DA,坡道機械,1100000,18.54,地下四樓
RPXNMLPLKHLGFAD48DA,坡道平面,0,,地下一樓
RPSOMLQJKHLGFAD97DA,坡道機械,0,,地下一樓
RPQNMLRLLHLGFBD18DA,一樓平面,1650000,13.78,一樓
RPVNMLKMLHLGFCD18DA,坡道平面,0,36.44,地下一樓
RPRNMLKMLHLGFID38DA,一樓平面,1000000,14.07,一樓
RPRNMLKLLHLGFAD47DA,坡道平面,0,30.48,地下二樓
RPRNMLKLLHLGFAD47DA,坡道平面,0,30.48,地下二樓
RPVNMLRLLHLGFID76DA,一樓平面,1000000,21.52,一樓
RPSNMLKMLHLGFID48DA,一樓平面,1000000,14.07,一樓
RPUNMLRKLHLGFKD76DA,坡道機械,0,21.05,地下二樓
RPQNMLKMLHLGFID28DA,一樓平面,1000000,14.07,一樓
RPUNMLLMLHLGFKD98DA,一樓平面,0,,一樓
RPUNMLPLLHLGFFD78DA,一樓平面,1350000,15.76,一樓
RPPOMLKMLHLGFCD67DA,坡道平面,0,23.95,地下一樓
RPQNMLPLLHLGFKD88DA,坡道機械,0,13.14,地下二樓
RPRNMLRLLHLGFBD28DA,一樓平面,1500000,31.27,一樓
RPWNMLQLLHLGFCD78DA,坡道平面,0,,地下二樓
RPRNMLQJMHLGFKD98DA,坡道平面,0,28.28,地下一樓
RPQNMLMJMHLGFHD18DA,坡道平面,0,,地下一樓
RPPNMLPLLHLGFKD78DA,一樓平面,1600000,21.06,一樓
RPXNMLOLLHLGFCD68DA,坡道平面,1770000,26.25,地下一樓
RPPNMLKMLHLGFHD18EA,其他,900000,7.06,一樓
RPTNMLMKKHLGFKD68DA,坡道平面,0,22.39,地下二樓
RPQOMLKMLHLGFBD67DA,坡道平面,0,25.44,地下二樓
RPSOMLQLLHLGFAD28DA,坡道平面,0,28.34,地下一樓
RPWNMLNJLHLGFAD08DA,坡道平面,1000000,,地下三樓
RPVNMLKKLHLGFAD77DA,坡道機械,1100000,18.54,地下四樓
RPRNMLQLLHLGFID88DA,坡道平面,0,,地下一樓
RPUOMLKMLHLGFKD98DA,坡道機械,0,,地下二樓
RPPOMLMJMHLGFAD47DA,坡道平面,0,33.34,地下三樓
RPTNMLRJMHLGFCD48DA,坡道平面,0,31.40,地下二樓
RPUNMLTKLHLGFGD56DA,一樓平面,0,14.99,一樓
RPOOMLQKLHLGFKD78DA,坡道平面,0,,地下二樓
RPQPMLQLLHLGFBD28DA,坡道平面,0,,地下一樓
RPRNMLLKLHLGFKD48DA,坡道平面,0,28.66,地下二樓
RPOPMLRJMHLGFAD97DA,坡道平面,0,30.66,地下二樓
