編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJLHLGFBD57CB,州南段,26.19,都市：住,10000,51,持分移轉,17500000
RPQNMLOJLHLGFBD67CB,州南段,26.19,都市：住,10000,51,持分移轉,17500000
RPQNMLLKLHLGFBD47CB,海東段,33.33,都市：住,100000,2227,持分移轉,00180000
RPPNMLTJLHLGFAD97CB,北元段,17.51,都市：住,39000,261,持分移轉,10130000
RPPNMLTJLHLGFAD97CB,北元段,5.17,都市：住,39000,261,持分移轉,10130001
RPQNMLTJLHLGFAD08CB,北元段,17.57,都市：住,39000,262,持分移轉,10130000
RPQNMLTJLHLGFAD08CB,北元段,5.19,都市：住,39000,262,持分移轉,10130001
RPVNMLTJLHLGFAD58CB,北元段,17.51,都市：住,39000,261,持分移轉,10130000
RPVNMLTJLHLGFAD58CB,北元段,5.17,都市：住,39000,261,持分移轉,10130001
RPSNMLTJLHLGFAD28CB,北元段,17.51,都市：住,39000,261,持分移轉,10130000
RPSNMLTJLHLGFAD28CB,北元段,5.17,都市：住,39000,261,持分移轉,10130001
RPQNMLTJLHLGFCD28CB,竹篙厝段,4.58,都市：住,100000,260,持分移轉,42700000
RPQNMLTJLHLGFCD28CB,竹篙厝段,2.50,都市：住,100000,260,持分移轉,42750000
RPQNMLTJLHLGFCD28CB,竹篙厝段,1.33,都市：住,100000,260,持分移轉,42750001
RPQNMLTJLHLGFCD28CB,竹篙厝段,.62,都市：住,100000,260,持分移轉,42770000
RPQNMLTJLHLGFCD28CB,竹篙厝段,4.31,都市：住,100000,260,持分移轉,42810000
RPQNMLTJLHLGFCD28CB,竹篙厝段,.30,都市：住,100000,260,持分移轉,42820000
RPTNMLTJLHLGFAD38CB,北元段,22.40,都市：住,39000,334,持分移轉,10130000
RPTNMLTJLHLGFAD38CB,北元段,6.62,都市：住,39000,334,持分移轉,10130001
RPPNMLTJLHLGFKD98CB,中興段,10.88,都市：商,100000,293,持分移轉,00320000
RPQNMLTJLHLGFKD09CB,中興段,10.88,都市：商,100000,293,持分移轉,00320000
RPPNMLQJLHLGFID48CB,興安段,17.43,都市：住,100000,429,持分移轉,06910000
RPPNMLPJLHLGFID38CB,民生段,27.79,都市：住,100000,4555,持分移轉,12620009
RPQNMLQJLHLGFID58CB,興安段,26.89,都市：住,100000,662,持分移轉,06910000
RPPNMLMKLHLGFBD47CB,州南段,19.00,都市：住,10000,37,持分移轉,17500000
RPQNMLLKLHLGFKD38CB,自強段,87.48,都市：住,1,1,全筆移轉,02560003
RPQNMLMKLHLGFBD57CB,州南段,17.46,都市：住,10000,34,持分移轉,17500000
RPRNMLNKLHLGFCD87CB,鹽埕段,19.53,都市：住,10000,158,持分移轉,31020002
RPQNMLOKLHLGFBD77CB,國安段,21.25,都市：住,1000000,5624,持分移轉,16320000
RPPNMLQKLHLGFAD77CB,東興段,10.52,都市：住,10000000,20492,持分移轉,09110001
RPPNMLRKLHLGFCD08CB,平實段,10.85,都市：商,100000,123,持分移轉,00020000
RPPNMLRKLHLGFCD08CB,平實段,5.57,都市：住,100000,123,持分移轉,00030000
RPQNMLRKLHLGFCD18CB,平實段,10.85,都市：商,100000,123,持分移轉,00020000
RPQNMLRKLHLGFCD18CB,平實段,5.57,都市：住,100000,123,持分移轉,00030000
RPRNMLRKLHLGFCD28CB,平實段,10.85,都市：商,100000,123,持分移轉,00020000
RPRNMLRKLHLGFCD28CB,平實段,5.57,都市：住,100000,123,持分移轉,00030000
RPPNMLTJLHLGFCD18CB,竹篙厝段,3.79,都市：住,100000,215,持分移轉,42700000
RPPNMLTJLHLGFCD18CB,竹篙厝段,2.07,都市：住,100000,215,持分移轉,42750000
RPPNMLTJLHLGFCD18CB,竹篙厝段,1.10,都市：住,100000,215,持分移轉,42750001
RPQNMLRKLHLGFID78CB,媽祖廟段一小段,34.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2610,持分移轉,10320000
RPPNMLTJLHLGFCD18CB,竹篙厝段,.51,都市：住,100000,215,持分移轉,42770000
RPQNMLRKLHLGFID78CB,媽祖廟段一小段,5.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,347500,3417,持分移轉,10300006
RPPNMLTJLHLGFCD18CB,竹篙厝段,3.57,都市：住,100000,215,持分移轉,42810000
RPPNMLTJLHLGFCD18CB,竹篙厝段,.25,都市：住,100000,215,持分移轉,42820000
RPUNMLTJLHLGFAD48CB,北元段,17.57,都市：住,39000,262,持分移轉,10130000
RPUNMLTJLHLGFAD48CB,北元段,5.19,都市：住,39000,262,持分移轉,10130001
RPSNMLRKLHLGFCD38CB,平實段,5.82,都市：商,100000,66,持分移轉,00020000
RPSNMLRKLHLGFCD38CB,平實段,2.99,都市：住,100000,66,持分移轉,00030000
RPPNMLSKLHLGFKD98CB,大灣段,28.56,都市：住,1000000,30218,持分移轉,04950000
RPPNMLSKLHLGFID78CB,興安段,17.55,都市：住,100000,432,持分移轉,06910000
RPSNMLTKLHLGFDD68CB,育德段,2.24,都市：商,10000,34,持分移轉,00670000
RPSNMLTKLHLGFDD68CB,育德段,21.08,都市：住,10000,34,持分移轉,00680000
RPTNMLTKLHLGFDD78CB,育德段,1.58,都市：商,10000,24,持分移轉,00670000
RPTNMLTKLHLGFDD78CB,育德段,14.88,都市：住,10000,24,持分移轉,00680000
RPWNMLTKLHLGFDD09CB,育德段,1.58,都市：商,10000,24,持分移轉,00670000
RPWNMLTKLHLGFDD09CB,育德段,14.88,都市：住,10000,24,持分移轉,00680000
RPUNMLTKLHLGFDD88CB,育德段,2.57,都市：商,10000,39,持分移轉,00670000
