鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
南區,租賃房屋,臺南市南區南明街４５號,0.0,,,,1150301,土地0建物0車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790827,19.83,3,0,3,有,無,有,7100,358,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPPNMLMJLHLGFCD57CC,分租套房,無,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
北區,租賃房屋,臺南市北區文賢路２１８巷２８弄３之７號,0.0,,,,1150303,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0700608,191.74,4,2,3,有,無,無,23000,120,,0.0,0,,RPTOMLNJLHLGFAD97CC,整棟(戶)出租,無,1150320~1160319,無,,
東區,租賃房屋,臺南市東區勝利路１１５號２樓之６,0.0,,,,1150301,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0700116,29.6,1,1,1,有,無,有,9500,321,,0.0,0,租金總額含網路費；,RPTNMLNJLHLGFCD08CC,獨立套房,無,1150320~1160319,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
東區,租賃房屋,臺南市東區生產路２９７巷１２號,0.0,,,,1150301,土地0建物0車位0,全,2,透天厝,住商用,加強磚造,0680308,25.0,6,4,6,有,無,有,13000,520,,0.0,0,多人共同承租2；租金總額含水費；網路費；含增建或未登記建物；續租案件；,RPVNMLNJLHLGFCD28CC,分租套房,無,1150301~1160228,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
善化區,租賃房屋,臺南市善化區文正路７９巷１８號,0.0,,,,1150303,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1050304,24.88,10,0,10,有,無,有,7000,281,,0.0,0,租金總額含網路費；,RPRNMLNJLHLGFHD38CC,分租套房,無,1150305~1150904,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
仁德區,租賃房屋,臺南市仁德區文賢路二段１５巷１８弄１７號３樓之２,0.0,,,,1150301,土地0建物0車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920910,18.18,5,2,5,有,無,有,11500,633,,0.0,0,文賢306房租金總額含水費；網路費；其他垃圾代收費；租賃建物部分範圍，且未計入共有部分面積；,RPUNMLNJLHLGFID78CC,分租套房,無,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
永康區,租賃房屋,臺南市永康區中華路７巷２０弄１７號,0.0,,,,1150301,土地0建物0車位0,全,4,透天厝,店舖、住宅、防空避難室。,鋼筋混凝土造,0790824,30.88,7,1,7,有,無,有,9000,291,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPRNMLNJLHLGFKD68CC,分租套房,無,1150301~1160228,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區王行路８６６巷１３之２號,105.88,住,,,1150301,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0960608,207.86,4,2,3,有,無,無,32000,154,,0.0,0,,RPXNMLNJLHLGFKD66CC,整棟(戶)出租,無,1150315~1160314,無,冷氣、熱水器,
北區,租賃房屋,臺南市北區東豐路２２７巷２４弄１５號二樓之２５,0.0,,,,1150302,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790518,25.080000000000002,1,0,1,有,有,有,5700,227,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管第5期計畫。,RPPNMLOJLHLGFAD57CC,獨立套房,有,1150310~1160309,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
北區,租賃房屋,臺南市北區和緯路四段９５巷４３號五樓,0.0,,,,1150302,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701017,88.16999999999999,3,2,1,有,無,有,11000,125,,0.0,0,此為台南市社會住宅包租代管第4期計畫。續租案件；,RPSNMLOJLHLGFAD87CC,整棟(戶)出租,無,1150310~1160309,無,冷氣、熱水器、冰箱,社會住宅代管
