編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTOMLNJLHLGFAD97CC,45,191.74,住家用,鋼筋混凝土造,70年6月8日,三層,,
RPRNMLOJLHLGFID58CC,33,324.92,住商用,鋼筋混凝土造,82年3月4日,四層,,
RPUNMLPJLHLGFAD18CC,45,45.04,住家用,鋼筋混凝土造,70年6月4日,五層,,
RPUNMLPJLHLGFAD18CC,45,18.72,共同使用部份,鋼筋混凝土造,70年6月4日,五層,,
RPPNMLOJLHLGFID38CC,22,18.18,住家用,鋼筋混凝土造,92年9月10日,十層,,
RPPNMLOJLHLGFAD57CC,36,25.07,住家用,鋼筋混凝土造,79年5月18日,五層,,
RPPNMLOJLHLGFAD57CC,36,.01,共同使用部份,鋼筋混凝土造,79年5月18日,五層,,
RPRNMLPJLHLGFAD87CC,36,9.91,住家用,鋼筋混凝土造,78年10月2日,十二層,,
RPSNMLOJLHLGFAD87CC,44,76.13,住家用,鋼筋混凝土造,70年10月17日,五層,,
RPSNMLOJLHLGFAD87CC,44,12.04,共同使用部份,鋼筋混凝土造,70年10月17日,五層,,
RPRNMLPJLHLGFAD87CC,36,2.28,共同使用部份,鋼筋混凝土造,78年10月2日,十二層,,
RPUNMLNJLHLGFID78CC,22,18.18,住家用,鋼筋混凝土造,92年9月10日,十層,,
RPTNMLOJLHLGFHD68CC,4,45.41,商務住宅,鋼筋混凝土造,111年1月6日,四層,,
RPRNMLNJLHLGFHD38CC,10,24.88,住家用,鋼筋混凝土造,105年3月4日,四層,,
RPPNMLPJLHLGFID48CC,22,14.88,住家用,鋼筋混凝土造,92年9月10日,十層,,
RPTNMLPJLHLGFBD18CC,5,53.70,集合住宅,鋼筋混凝土造,110年5月26日,十九層,,
RPTNMLPJLHLGFBD18CC,5,55.88,本共有部份之項目有：防空避難室兼停車空間、停車空間、樓梯間、機械房、水箱、管委會使用空間、中繼馬達設備室、門廊、外廊、防災中心、車道、梯間、昇降機間等１３項。,鋼筋混凝土造,110年5月26日,十九層,,
RPPNMLOJLHLGFBD67CC,5,63.09,集合住宅,鋼筋混凝土造,110年5月27日,十層,,
RPPNMLPJLHLGFBD77CC,33,264.37,住家用,鋼筋混凝土造,82年8月25日,三層,,
RPPNMLOJLHLGFBD67CC,5,54.94,本共有部份之項目有：停車空間、自來水機房、消防機房、雨水機房、安全梯兼無障礙樓梯、一般升降機、無障礙電梯、管道間、梯廳、防空避難室兼停車空間、陽台、台電配電場所、發電機室、公共服務空間、管委會使用空間、電信室／空調主機室、安全梯、樓梯間、水錶室、電梯機房、水箱機房、水箱等２２項,鋼筋混凝土造,110年5月27日,十層,,
RPPNMLPJLHLGFHD38CC,18,14.57,住宅，樓梯間,鋼筋混凝土造,96年9月19日,四層,,
RPSNMLPJLHLGFHD68CC,3,163.74,廠房,鋼骨構造,111年12月20日,一層,,
RPXNMLNJLHLGFKD66CC,19,207.86,住家用,鋼筋混凝土造,96年6月8日,四層,,
RPUNMLPJLHLGFKD56CC,12,23.14,停車空間，住宅,鋼筋混凝土構造,103年7月15日,四層,,
RPRNMLPJLHLGFCD08CC,58,84.33,住家用,鋼筋混凝土造,57年1月1日,四層,,
RPWNMLPJLHLGFCD58CC,31,65.95,住家用,鋼筋混凝土造,83年12月16日,十六層,,
RPXNMLPJLHLGFCD68CC,29,57.62,住家用,鋼筋混凝土造,85年10月4日,十六層,,
RPVNMLPJLHLGFCD48CC,41,110.51,住家用,加強磚造,73年11月16日,二層,,
RPWNMLPJLHLGFCD58CC,31,13.41,共同使用部份,鋼筋混凝土造,83年12月16日,十六層,,
RPRNMLNJLHLGFKD68CC,36,30.88,店舖、住宅、防空避難室。,鋼筋混凝土造,79年8月24日,四層,,
RPXNMLPJLHLGFCD68CC,29,4.43,共同使用部份,鋼筋混凝土造,85年10月4日,十六層,,
RPWNMLPJLHLGFCD58CC,31,20.16,共同使用部份,鋼筋混凝土造,83年12月16日,十六層,,
RPXNMLPJLHLGFCD68CC,29,11.42,共同使用部份,鋼筋混凝土造,85年10月4日,十六層,,
RPUNMLPJLHLGFHD88CC,13,17.30,住宅、門廊,鋼筋混凝土造,101年12月5日,四層,,
RPQNMLQJLHLGFAD87CC,33,19.85,住家用,鋼筋混凝土造,81年12月9日,八層,,
RPQNMLQJLHLGFAD87CC,33,2.86,共同使用部份,鋼筋混凝土造,81年12月9日,八層,,
RPQNMLQJLHLGFAD87CC,33,2.89,共同使用部份,鋼筋混凝土造,81年12月9日,八層,,
RPQNMLQJLHLGFAD87CC,33,1.77,共同使用部份,鋼筋混凝土造,81年12月9日,八層,,
RPRNMLPJLHLGFHD58CC,12,19.77,住家用,鋼筋混凝土造,102年11月11日,四層,,
RPPNMLMJLHLGFCD57CC,36,19.83,住家用,鋼筋混凝土造,79年8月27日,六層,,
RPPOMLPJLHLGFKD78CC,6,41.34,住家用,鋼筋混凝土構造,108年10月29日,五層,,
RPPOMLPJLHLGFKD78CC,6,12.93,本共有部分之項目有：停車空間，集合住宅，樓梯間等３項,鋼筋混凝土構造,108年10月29日,五層,,
RPPNMLQJLHLGFAD77CC,27,63.34,住家用,鋼筋混凝土造,87年11月21日,二十層,,
RPPNMLQJLHLGFAD77CC,27,6.30,共同使用部份,鋼筋混凝土造,87年11月21日,二十層,,
RPPNMLQJLHLGFAD77CC,27,11.14,共同使用部份,鋼筋混凝土造,87年11月21日,二十層,,
RPSNMLQJLHLGFAD08CC,28,102.54,住家用,鋼筋混凝土造,86年10月22日,二十四層,,
RPSNMLQJLHLGFAD08CC,28,16.21,共同使用部份,鋼筋混凝土造,86年10月22日,二十四層,,
RPSNMLQJLHLGFAD08CC,28,16.49,共同使用部份,鋼筋混凝土造,86年10月22日,二十四層,,
RPPNMLQJLHLGFCD97CC,8,64.67,集合住宅,鋼筋混凝土構造,107年6月19日,十五層,,
RPPNMLQJLHLGFCD97CC,8,32.37,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、電梯、樓梯間、機械室、水箱、公共服務空間、梯廳、排煙室、安全梯、昇降機、機電設備、環保垃圾貯存室、發電機進風管道、避難通路共十六項。,見其他登記事項,107年6月19日,十五層,,
RPPNMLQJLHLGFHD48CC,3,57.89,集合住宅,鋼筋混凝土造,112年8月23日,十四層,,
RPPNMLQJLHLGFHD48CC,3,32.50,本共有部分之項目有停車空間、梯間、公共服務空間、資源回收區、梯廳、門廊及樓梯間等７項。,鋼筋混凝土造,112年8月23日,十四層,,
RPSNMLQJLHLGFCD28CC,26,101.29,住家用,鋼筋混凝土造,88年10月28日,八層,,
RPSNMLQJLHLGFCD28CC,26,12.92,共同使用部份,鋼筋混凝土造,88年10月28日,八層,,
RPSNMLQJLHLGFCD28CC,26,32.83,共同使用部份,鋼筋混凝土造,88年10月28日,八層,,
RPSNMLQJLHLGFCD28CC,26,14.36,共同使用部份,鋼筋混凝土造,88年10月28日,八層,,
RPSNMLQJLHLGFID88CC,1,74.07,集合住宅,鋼筋混凝土造,114年2月14日,五層,,
RPSNMLQJLHLGFID88CC,1,28.86,本共有部分之項目有停車空間、樓梯間、梯廳、昇降機、機械室、水箱、機電空間等７項,鋼筋混凝土造,114年2月14日,五層,,
RPSNMLQJLHLGFKD09CC,19,8.64,辦公室,鋼筋混凝土造,95年9月18日,八層,,
RPSNMLQJLHLGFKD09CC,19,8.59,共同使用部份,鋼筋混凝土造,95年9月18日,八層,,
RPWNMLQJLHLGFCD68CC,58,84.33,住家用,鋼筋混凝土造,57年1月1日,四層,,
RPVNMLQJLHLGFID56CC,19,23.15,住商用,鋼筋混凝土造,96年4月20日,四層,,
RPTNMLNJLHLGFCD08CC,45,24.48,辦公室,鋼筋混凝土造,70年1月16日,七層,,
RPTNMLNJLHLGFCD08CC,45,5.12,共同使用部份,鋼筋混凝土造,70年1月16日,七層,,
RPUNMLQJLHLGFKD66CC,31,76.94,住家用,鋼筋混凝土造,83年9月22日,十四層,,
RPUNMLQJLHLGFKD66CC,31,12.14,避難室、停車空間。,鋼筋混凝土造,83年9月22日,十四層,,
RPUNMLQJLHLGFKD66CC,31,11.07,共同使用部份,鋼筋混凝土造,83年9月22日,十四層,,
RPRNMLQJLHLGFKD98CC,4,55.29,集合住宅,鋼筋混凝土構造,110年11月10日,五層,,
RPVNMLNJLHLGFCD28CC,47,25.00,住商用,加強磚造,68年3月8日,二層,,
RPRNMLQJLHLGFKD98CC,4,21.52,本共有部分之項目有：電信室、管理維護空間、停車空間、甲＋乙梯＋管道間＋昇降機道、樓梯間、梯廳等９項,鋼筋混凝土構造,110年11月10日,五層,,
RPVNMLQJLHLGFKD76CC,19,8.64,辦公室,鋼筋混凝土造,95年9月18日,八層,,
RPVNMLQJLHLGFKD76CC,19,8.62,共同使用部份,鋼筋混凝土造,95年9月18日,八層,,
RPXOMLQJLHLGFKD07CC,13,19.83,住宅，停車空間,鋼筋混凝土構造,102年8月21日,四層,,
RPSNMLRJLHLGFCD38CC,18,20.14,住家用,鋼筋混凝土造,97年2月29日,十四層,,
RPSNMLRJLHLGFCD38CC,18,5.03,共同使用部份,鋼筋混凝土造,97年2月29日,十四層,,
RPWOMLQJLHLGFKD96CC,1,51.21,集合住宅,鋼筋混凝土造,114年6月5日,十八層,,
RPSNMLRJLHLGFCD38CC,18,6.58,共同使用部份,鋼筋混凝土造,97年2月29日,十四層,,
RPWOMLQJLHLGFKD96CC,1,47.35,本共有部分之項目有：停車空間，防空避難室兼停車空間，公共服務空間，門廊，頂蓋型開放空間，升降機，梯廳，機電設備空間，管委會使用空間，防災中心，車道，緊急升降梯，電樓梯間，機房，水箱等１５項,鋼筋混凝土造,114年6月5日,十八層,,
RPPNMLRJLHLGFAD87CC,44,36.66,住家用,鋼筋混凝土造,70年9月23日,八層,,
RPPNMLRJLHLGFAD87CC,44,11.42,共同使用部份,鋼筋混凝土造,70年9月23日,八層,,
RPRNMLRJLHLGFCD28CC,31,71.34,住家用,鋼筋混凝土造,83年12月16日,十六層,,
RPRNMLRJLHLGFCD28CC,31,17.61,共同使用部份,鋼筋混凝土造,83年12月16日,十六層,,
RPRNMLRJLHLGFCD28CC,31,13.41,共同使用部份,鋼筋混凝土造,83年12月16日,十六層,,
RPTNMLPJLHLGFHD78CC,12,19.44,住家用,鋼筋混凝土造,102年11月11日,四層,,
RPPNMLRJLHLGFBD97CC,44,89.67,集合住宅,鋼筋混凝土造,70年9月7日,四層,,
RPPNMLRJLHLGFBD97CC,44,3.07,避難室,鋼筋混凝土造,70年9月7日,四層,,
RPPNMLRJLHLGFBD97CC,44,8.08,共同使用部份,鋼筋混凝土造,70年9月7日,四層,,
RPTOMLQJLHLGFKD66CC,15,12.00,住商用,鋼筋混凝土構造,100年7月20日,四層,,
RPQNMLSJLHLGFCD28CC,43,156.64,住家用,鋼筋混凝土造,71年12月10日,三層,,
RPPNMLRJLHLGFKD88CC,32,22.30,住家用,鋼筋混凝土造,82年12月30日,九層,,
RPPNMLRJLHLGFKD88CC,32,63.01,共同使用部份,鋼筋混凝土造,82年12月30日,九層,,
RPVNMLSJLHLGFAD58CC,28,53.99,集合住宅,鋼筋混凝土造,87年4月20日,十四層,,
RPVNMLSJLHLGFAD58CC,28,17.71,共同使用部份,鋼筋混凝土造,87年4月20日,十四層,,
RPVNMLSJLHLGFAD58CC,28,7.08,共同使用部份,鋼筋混凝土造,87年4月20日,十四層,,
RPUNMLTJLHLGFAD58CC,35,15.16,住家用,鋼筋混凝土造,80年6月7日,五層,,
RPUNMLTJLHLGFAD58CC,35,9.09,共同使用部份,鋼筋混凝土造,80年6月7日,五層,,
RPOOMLQJLHLGFKD78CC,8,71.21,住家用,鋼筋混凝土構造,107年1月9日,五層,,
RPOOMLQJLHLGFKD78CC,8,26.51,本共有部分之項目有停車空間、管委使用空間、安全梯、管道間、梯廳、電梯、樓梯間等７項,鋼筋混凝土構造,107年1月9日,五層,,
RPWNMLSJLHLGFKD07CC,35,14.78,住家用,鋼筋混凝土造,79年12月3日,七層,,
RPWNMLSJLHLGFKD07CC,35,5.35,共同使用部份,鋼筋混凝土造,79年12月3日,七層,,
RPOOMLTJLHLGFAD08CC,36,33.42,住家用,鋼筋混凝土造,79年6月5日,十一層,,
RPOOMLTJLHLGFAD08CC,36,10.89,共同使用部份,鋼筋混凝土造,79年6月5日,十一層,,
RPSNMLSJLHLGFKD66CC,43,67.76,住家用,鋼筋混凝土造,71年10月12日,五層,,
RPSNMLSJLHLGFKD66CC,43,3.65,共同使用部份,鋼筋混凝土造,71年10月12日,五層,,
RPSNMLSJLHLGFKD66CC,43,3.90,共同使用部份,鋼筋混凝土造,71年10月12日,五層,,
RPWNMLTJLHLGFAD78CC,35,24.69,住家用,鋼筋混凝土造,80年9月3日,六層,,
RPTOMLTJLHLGFAD58CC,11,389.47,店舖、住宅,鋼筋混凝土構造,104年8月27日,五層,,
RPROMLTJLHLGFAD38CC,31,97.07,住家用,鋼筋混凝土造,83年10月19日,十三層,,
RPROMLTJLHLGFAD38CC,31,11.19,共同使用部份,鋼筋混凝土造,83年10月19日,十三層,,
RPWNMLTJLHLGFAD78CC,35,5.99,共同使用部份,鋼筋混凝土造,80年9月3日,六層,,
RPROMLTJLHLGFAD38CC,31,16.15,共同使用部份,鋼筋混凝土造,83年10月19日,十三層,,
RPTNMLQJLHLGFHD88CC,10,22.40,住家用,鋼筋混凝土造,104年11月10日,四層,,
RPWNMLQJLHLGFHD56CC,13,26.52,店舖、停車空間、住宅,鋼筋混凝土造,102年1月15日,四層,,
RPPNMLSJLHLGFHD68CC,18,161.27,住宅，門廊，梯間,鋼筋混凝土造,97年4月11日,三層,,
RPUOMLTJLHLGFAD68CC,40,13.22,住商用,鋼筋混凝土造,75年9月2日,五層,,
RPVNMLQJLHLGFHD09CC,10,16.50,住家用,鋼筋混凝土造,104年11月10日,四層,,
RPUNMLQJLHLGFHD98CC,13,21.89,住宅、門廊,鋼筋混凝土造,101年12月5日,四層,,
RPQNMLRJLHLGFBD08CC,2,58.14,集合住宅,鋼筋混凝土造,112年9月11日,十五層,,
RPTNMLTJLHLGFCD68CC,16,58.65,住家用,鋼筋混凝土造,99年2月3日,十四層,,
RPQNMLRJLHLGFBD08CC,2,60.52,共有部分包括：梯廳、梯間、管委會使用空間、公共服務空間、水錶箱室、電梯機房、水箱、電信室、台電配電室、水景機房、緊急發電機室、雨水機房、停車空間、防空避難室兼停車空間、污水機房、消防機房、垃圾集中室、資源回收中心、外廊、車道、樓梯間、安全梯、無障礙樓梯、機房等２４項。,鋼筋混凝土造,112年9月11日,十五層,,
RPTNMLTJLHLGFCD68CC,16,15.06,本共有部份項目有電樓梯間、水箱、屋頂突出物、機械室等４項,鋼筋混凝土造,99年2月3日,十四層,,
