編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLQJLHLGFCD28CC,坡道平面,2000,14.36,地下二樓
RPWOMLQJLHLGFKD96CC,坡道平面,0,20.07,地下三樓
RPQNMLRJLHLGFBD08CC,坡道平面,0,29.98,地下一樓
RPRNMLTJLHLGFHD98CC,一樓平面,1500,,一樓
RPWNMLTJLHLGFID96CC,坡道平面,0,25.02,地下二樓
RPTNMLTJLHLGFKD86CC,坡道平面,0,24.84,地下一樓
RPTNMLKKLHLGFAD67CC,坡道機械,0,12.50,地下五樓含以下
RPTOMLKKLHLGFCD97CC,坡道平面,0,,地下一樓
RPSNMLKKLHLGFAD57CC,坡道平面,0,25.96,地下二樓
RPRNMLLKLHLGFBD67CC,坡道平面,1000,25.22,地下一樓
RPRNMLLKLHLGFAD57CC,坡道平面,0,,地下一樓
RPTNMLKKLHLGFKD68CC,坡道平面,0,,地下一樓
RPQNMLLKLHLGFBD57CC,坡道平面,0,25.44,地下二樓
RPPNMLLKLHLGFCD57CC,坡道平面,0,26.25,地下一樓
RPTNMLLKLHLGFCD97CC,坡道平面,0,35.67,地下二樓
RPPNMLMKLHLGFAD47CC,坡道平面,0,,地下一樓
RPQNMLKKLHLGFHD08CC,坡道平面,0,22.62,地下一樓
RPUNMLMKLHLGFBD08CC,坡道平面,0,23.75,地下四樓
RPQNMLMKLHLGFBD67CC,坡道平面,0,23.75,地下四樓
RPTNMLMKLHLGFCD08CC,坡道平面,0,26.15,地下二樓
RPPNMLMKLHLGFHD18CC,升降機械,0,11.75,地下一樓
RPRNMLMKLHLGFHD38CC,坡道平面,0,22.51,地下一樓
RPSOMLNKLHLGFAD97CC,坡道機械,0,18.54,地下三樓
RPRNMLNKLHLGFAD77CC,坡道平面,3000,33.34,地下三樓
RPOOMLNKLHLGFKD58CC,坡道機械,1000,,地下一樓
RPPOMLNKLHLGFKD68CC,坡道機械,1000,,地下一樓
RPQNMLPKLHLGFHD58CC,坡道平面,0,,地下一樓
RPSNMLPKLHLGFKD09CC,坡道平面,0,,地下一樓
RPXOMLQKLHLGFAD78CC,坡道機械,0,11.17,地下三樓
RPSOMLRKLHLGFAD38CC,坡道平面,1000,34.26,地下二樓
RPUNMLRKLHLGFKD86CC,坡道機械,1500,13.14,地下二樓
RPPNMLSKLHLGFID88CC,坡道機械,0,12.24,地下二樓
RPRNMLTKLHLGFAD38CC,坡道平面,0,33.38,地下二樓
RPPOMLTKLHLGFAD28CC,坡道平面,0,,地下二樓
RPTOMLTKLHLGFKD07CC,升降機械,0,,地下一樓
RPUOMLTKLHLGFKD17CC,坡道機械,0,,地下一樓
RPPNMLMLLHLGFCD77CC,坡道平面,0,42.99,地下三樓
RPQNMLNLLHLGFAD77CC,坡道機械,0,12.50,地下五樓含以下
RPPNMLNLLHLGFCD87CC,坡道平面,0,27.27,地下三樓
RPPOMLKLLHLGFKD48CC,坡道平面,0,40.45,地下二樓
RPQNMLOLLHLGFKD88CC,坡道平面,0,,地下一樓
RPQNMLLMLHLGFBD77CC,坡道機械,0,21.38,地下三樓
RPSNMLLJMHLGFKD68CC,一樓平面,0,15.00,一樓
RPSNMLOJMHLGFBD08CC,坡道機械,0,20.85,地下三樓
RPVOMLRJMHLGFAD68CC,坡道機械,0,23.19,地下二樓
RPTOMLLMLHLGFCD28CC,一樓平面,0,,一樓
RPSNMLOLLHLGFHD78CC,坡道平面,0,45.62,地下二樓
RPVNMLLJMHLGFKD98CC,坡道平面,0,36.35,地下一樓
