鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大寮區,房地(土地+建物),高雄市大寮區大寮路６８６巷７３號五樓,15.98,住,,,1150401,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831128,99.96000000000001,3,1,2,有,有,2000000,20008,,0.0,0,,RPQNMLLJMHLGFLE58DA,65.51,0.0,14.24,有,
鹽埕區,土地,興仁段525地號,290.0,都市：其他:道路用地,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11201302,38625,,0.0,0,包含公共設施保留地用地；,RPQPMLRJMHLGFAE28DA,0.0,0.0,0.0,無,
內門區,土地,大埔段909地號,1169.89,,山坡地保育區,農牧用地,1150403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,855,,0.0,0,瑕疵物件；,RPPNMLNJMHLGFHE28DA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中東街７０號二樓,27.72,都市：其他:第四種商業區,,,1150304,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100226,256.74,3,2,2,有,有,23000000,89585,坡道平面,42.39,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJLHLGFBE28DA,124.49,2.23,10.44,有,001
新興區,房地(土地+建物),高雄市新興區六合二路３７號４樓之７,2.71,商,,,1150314,土地1建物1車位0,四層，走廊,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830610,33.06,1,1,1,有,有,1750000,52934,,0.0,0,,RPQTMLKMLHLGFBE28DA,22.27,0.0,4.61,有,002
三民區,房地(土地+建物)+車位,高雄市三民區建國一路４３３號四樓,32.07,都市：其他:第二種特定商業專用區,,,1150303,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0790110,217.12,3,1,2,有,有,11000000,50663,升降平面,18.36,0,,RPXQMLQLLHLGFDE76DA,156.37,0.0,3.01,有,
三民區,房地(土地+建物),高雄市三民區寧夏街１巷５０之１號,24.15,住,,,1150312,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671216,55.35,3,2,1,有,無,3050000,55104,,0.0,0,賣方不負擔任何費用,RPOUMLRLLHLGFDE98DA,55.35,0.0,0.0,無,
三民區,房地(土地+建物),高雄市三民區九如一路２１４巷２２弄１１號,36.74,住,,,1150316,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680614,79.14,3,2,2,有,無,7000000,88451,,0.0,0,其他增建；,RPXNMLKMLHLGFDE58DA,79.14,0.0,0.0,無,
永安區,土地,保安段76地號,641.97,,一般農業區,農牧用地,1150320,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,2492,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPRNMLKLLHLGFFE08DA,0.0,0.0,0.0,無,
燕巢區,土地,煙波段157地號,332.42,,山坡地保育區,農牧用地,1150317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,180000,541,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLKLLHLGFFE87DA,0.0,0.0,0.0,無,
橋頭區,土地,建樹段113地號,77.88,都市：其他:道路用地,,,1150320,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4273316,54871,,0.0,0,包含公共設施保留地用地；,RPRRMLRLLHLGFFE56DA,0.0,0.0,0.0,無,003
燕巢區,土地,安招段444地號,30.65,住,,,1150317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,97879,,0.0,0,持分物件買賣。未登記建物；,RPRNMLKMLHLGFFE18DA,0.0,0.0,0.0,無,
