編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOUMLRLLHLGFDE98DA,47,55.35,住家用,鋼筋混凝土造,67年12月16日,五層,二層,全筆移轉
RPXQMLQLLHLGFDE76DA,36,159.38,,鋼筋混凝土造,79年1月10日,七層,四層 陽台,全筆移轉
RPXQMLQLLHLGFDE76DA,36,57.74,,鋼筋混凝土造,79年1月10日,七層,,持分移轉
RPXNMLKMLHLGFDE58DA,47,79.14,公寓,鋼筋混凝土造,68年6月14日,四層,一層,全筆移轉
RPRNMLKMLHLGFGE28DA,27,128.04,住家用,鋼筋混凝土造,88年7月12日,十四層,七層 陽台,全筆移轉
RPRNMLKMLHLGFGE28DA,27,59.84,共有部份,鋼筋混凝土造,88年7月12日,十四層,,持分移轉
RPQTMLKMLHLGFBE28DA,32,26.88,住家用,鋼筋混凝土造,83年6月10日,十二層,四層 陽台 走廊,全筆移轉
RPQTMLKMLHLGFBE28DA,32,6.18,見使用執照,鋼筋混凝土造,83年6月10日,十二層,,持分移轉
RPQNMLKMLHLGFJE48DA,31,103.42,住商用,鋼筋混凝土造,83年12月29日,四層,一層 二層 三層 四層 陽台 屋頂突出物,持分移轉
RPQNMLTJLHLGFBE28DA,5,137.16,集合住宅,鋼筋混凝土,110年2月26日,十五層,二層 陽台 雨遮,全筆移轉
RPQNMLTJLHLGFBE28DA,5,119.58,共有部份,鋼筋混凝土,110年2月26日,十五層,,持分移轉
RPQNMLQKLHLGFBE08DA,42,65.46,集合住宅,鋼筋混凝土造,73年8月10日,五層,二層 陽台,全筆移轉
RPOOMLNLLHLGFAE67DA,7,59.95,本共有部分之項目有停車空間、防空避難室兼停車空間、樓梯間、頂蓋型廣場式開放空間、出入口緩衝空間、管理委員會使用空間、中繼水箱、防災中心、車道、管理員室、公共服務空間、門廊、門廳兼梯廳、機電管道、機械室、水箱等項。,鋼筋混凝土,107年12月13日,二十九層,,持分移轉
RPUNMLQLLHLGFAE48DA,,40.50,住家用,木造,22年12月0日,一層,一層,全筆移轉
RPQNMLNLLHLGFAE77DA,58,72.56,宿舍,鋼筋混凝土造,56年11月30日,四層,三層,全筆移轉
RPRNMLMJMHLGFFE18DA,43,230.00,住商用,鋼筋混凝土造,71年11月14日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPXUMLNLLHLGFDE86DA,1,57.14,集合住宅,鋼筋混凝土,114年2月13日,十五層,七層 陽台,全筆移轉
RPXUMLNLLHLGFDE86DA,1,31.86,本共有部分項目計有防空避難室兼停車空間、門廳、管委會使用空間、車道、停車空間、梯間、樓梯間、機械室、水箱等９項。,鋼筋混凝土,114年2月13日,十五層,,持分移轉
RPSNMLQLLHLGFBE48EA,43,18.42,,鋼筋混凝土造,72年1月18日,五層,,持分移轉
RPSNMLQLLHLGFBE48EA,43,94.04,公寓,鋼筋混凝土造,72年1月18日,五層,五層 陽台,全筆移轉
RPPNMLRLLHLGFBE28EA,32,28.37,住家用,鋼筋混凝土造,83年4月7日,十六層,十層 陽台,持分移轉
RPPNMLRLLHLGFBE28EA,32,13.94,見使用執照,鋼筋混凝土造,83年4月7日,十六層,地下三層,持分移轉
RPPNMLRLLHLGFBE28EA,32,12.44,見使用執照,鋼筋混凝土造,83年4月7日,十六層,,持分移轉
RPPNMLRLLHLGFBE28EA,32,.00,見使用執照,鋼筋混凝土造,83年4月7日,十六層,,
RPPNMLLJMHLGFJE38EA,,28.10,住家用,磚石造,57年1月0日,一層,一層 夾層,全筆移轉
RPSOMLKMLHLGFDE18DA,,82.17,集合住宅,鋼筋混凝土,114年9月12日,十五層,九層 陽台,全筆移轉
RPSOMLKMLHLGFDE18DA,,72.08,本共有部分之項目有停車空間、防空避難室兼停車空間、公共服務空間（一）～（四）、門廊、車道、管委會使用空間（一）、管委會使用空間（二）、樓梯間、梯廳、管委會使用空間（三）（四）、機械室、水箱等項。,鋼筋混凝土,114年9月12日,十五層,,持分移轉
RPRNMLLMLHLGFDE08DA,,13.42,樓梯、電梯間、走廊、機械房,鋼筋混凝土造,,十二層,,持分移轉
RPRNMLLMLHLGFDE08DA,45,49.84,集合住宅,鋼筋混凝土造,70年3月21日,十二層,七層,全筆移轉
RPPNMLRLLHLGFGE78EA,30,.09,商業用,鋼筋混凝土造,85年1月24日,七層,一層 平台 騎樓,持分移轉
RPPNMLRLLHLGFGE78EA,30,.09,商業用,鋼筋混凝土造,85年1月24日,七層,一層 平台 騎樓,持分移轉
RPPNMLRLLHLGFGE78EA,30,91.54,住家用,鋼筋混凝土造,85年1月24日,七層,三層 陽台,全筆移轉
RPPNMLRLLHLGFGE78EA,30,33.17,共有部份,鋼筋混凝土造,85年1月24日,七層,,持分移轉
RPPNMLRLLHLGFGE78EA,30,.03,共有部份,鋼筋混凝土造,85年1月24日,七層,,持分移轉
RPPNMLRLLHLGFGE78EA,30,.03,共有部份,鋼筋混凝土造,85年1月24日,七層,,持分移轉
RPTNMLLMLHLGFFE48DA,35,119.84,住家用,加強磚造,80年9月4日,二層,一層 二層 屋頂突出物,全筆移轉
RPTNMLKMLHLGFEE28DA,19,62.70,住家用,鋼筋混凝土造,95年11月30日,十五層,八層 陽台,全筆移轉
RPTNMLKMLHLGFEE28DA,19,22.86,防空避難室兼停車空間，車道，電樓梯間，管理委員會使用空間，屋頂突出物，門廊,鋼筋混凝土造,95年11月30日,十五層,,持分移轉
RPTNMLLMLHLGFEE38DA,2,74.94,集合住宅,鋼筋混凝土,113年5月1日,十五層,五層 陽台,全筆移轉
RPTNMLLMLHLGFEE38DA,2,59.75,本共有部分之項目包括：防空避難室兼停車空間、公共服務空間、車道、停車空間、梯廳、樓電梯間、樓梯間、機械室、水塔等９項。,見其他登記事項,113年5月1日,十五層,,持分移轉
RPUNMLPLLHLGFCE58DA,20,56.57,住家用,鋼筋混凝土造,95年6月14日,十五層,三層 陽台 雨遮,全筆移轉
RPVNMLSKLHLGFCE88DA,46,114.88,公寓,ＲＣ結構造,69年3月31日,五層,五層 陽台,全筆移轉
RPUNMLPLLHLGFCE58DA,20,40.45,共有部份,鋼筋混凝土造,95年6月14日,十五層,,持分移轉
RPPOMLRLLHLGFCE38DA,12,103.35,住商用,鋼筋混凝土造,102年12月5日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物,持分移轉
RPPNMLOKLHLGFEE08DA,27,30.25,見使用執照,見使用執照,88年4月14日,十三層,,持分移轉
RPQNMLKLLHLGFBE57DA,43,87.97,集合住宅,鋼筋混凝土造,72年6月20日,十二層,四層 陽台,全筆移轉
RPQNMLKLLHLGFBE57DA,43,19.51,,鋼筋混凝土造,72年6月20日,十二層,,持分移轉
RPPNMLRLLHLGFIE98EA,49,42.32,住商用,加強磚造,66年8月18日,二層,一層 二層 騎樓,持分移轉
RPPOMLKMLHLGFDE87DA,3,99.00,集合住宅,鋼筋混凝土,112年7月4日,二十三層,十層 陽台 雨遮,全筆移轉
RPPOMLKMLHLGFDE87DA,3,82.13,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、管委會使用空間、防災中心、車道、中繼水箱、陽台、昇降機間、機械室、水箱等項。,鋼筋混凝土,112年7月4日,二十三層,,持分移轉
RPTQMLOJLHLGFAE28DA,18,270.82,住家用,鋼筋混凝土造,97年1月11日,二十四層,二十四層 陽台 雨遮,全筆移轉
RPTQMLOJLHLGFAE28DA,18,268.83,共有部份,鋼筋混凝土造,97年1月11日,二十四層,,持分移轉
RPVRMLQLLHLGFGE96DA,38,146.79,住商用,鋼筋混凝土造,77年4月10日,四層,一層 二層 三層 四層 陽台 地下層,全筆移轉
RPPNMLLMLHLGFFE18EA,26,198.02,住家用,鋼筋混凝土造,88年11月26日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPWNMLQJLHLGFEE88DA,36,112.08,住家用,鋼筋混凝土造,78年11月14日,四層,四層 陽台 瞭望台,全筆移轉
RPWNMLQJLHLGFEE88DA,36,24.14,見使用執照,鋼筋混凝土造,78年11月14日,四層,,持分移轉
RPPNMLKMLHLGFCE77EA,45,78.41,住家用,鋼筋混凝土造,70年2月16日,五層,五層,全筆移轉
RPOOMLNLLHLGFEE08DA,7,90.93,集合住宅,鋼筋混凝土結構造,108年8月16日,十五層,二層 陽台 雨遮,全筆移轉
RPOOMLNLLHLGFEE08DA,7,51.91,本共有部分之項目有防空避難室兼停車空間、梯間、車道、管理委員會使用空間、門廳、管委會使用空間、樓梯間、機械房、水箱等共１０項。,鋼筋混凝土結構造,108年8月16日,十五層,,持分移轉
RPQNMLMJMHLGFFE08DA,19,160.68,店鋪、集合住宅,鋼筋混凝土造,96年7月20日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLQKLHLGFDE38DA,31,25.64,住家用,鋼筋混凝土造,84年2月14日,十二層,四層 陽台,全筆移轉
RPRNMLQKLHLGFDE38DA,31,6.64,見使用執照,鋼筋混凝土造,84年2月14日,十二層,,持分移轉
RPXQMLLMLHLGFGE66DA,47,93.88,住家用,鋼筋混凝土造,68年5月12日,五層,四層,全筆移轉
RPUNMLLMLHLGFGE68DA,17,59.17,集合住宅,鋼筋混凝土,98年3月31日,十五層,三層 陽台 雨遮,全筆移轉
RPUNMLLMLHLGFGE68DA,17,44.56,防空避難室兼停車空間、樓梯間、公共服務空間、機械室、水箱、供管委會使用空間、頂蓋型廣場式開放空間、停車空間、門廊,鋼筋混凝土,98年3月31日,十五層,,持分移轉
RPOOMLKMLHLGFGE08DA,14,83.48,集合住宅,鋼筋混凝土造,101年8月1日,十二層,十層 陽台 雨遮,全筆移轉
RPOOMLKMLHLGFGE08DA,14,67.13,共有部份,鋼筋混凝土造,101年8月1日,十二層,,持分移轉
RPQNMLLJMHLGFGE08DA,32,91.86,住家用,鋼筋混凝土造,83年3月24日,八層,五層 陽台,全筆移轉
RPQNMLLJMHLGFGE08DA,32,42.68,共有部份,鋼筋混凝土造,83年3月24日,八層,,持分移轉
RPPNMLTLLHLGFHE98DA,51,129.00,住家用,鋼筋混凝土造,64年6月5日,二層,一層 二層 騎樓,全筆移轉
RPSNMLLMLHLGFJE78DA,32,177.90,住家用,鋼筋混凝土造,82年11月22日,三層,一層 二層 三層 陽台 平台 屋頂突出物 騎樓,全筆移轉
RPWNMLRKLHLGFGE66DA,30,76.37,住家用,鋼筋混凝土造,85年1月5日,二十一層,七層 陽台,全筆移轉
RPWNMLRKLHLGFGE66DA,30,39.94,共有部份,鋼筋混凝土造,85年1月5日,二十一層,,持分移轉
RPSNMLQKLHLGFLE66DA,1,158.39,集合住宅,鋼筋混凝土造,114年5月15日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSNMLQKLHLGFLE66DA,1,.74,管理員室,鋼筋混凝土造,114年5月15日,一層,,持分移轉
RPQNMLLJMHLGFLE58DA,31,79.75,住家用,鋼筋混凝土造,83年11月28日,七層,五層 陽台,全筆移轉
RPQNMLLJMHLGFLE58DA,31,20.21,共有部份,鋼筋混凝土造,83年11月28日,七層,,持分移轉
RPPNMLLMLHLGFLE68DA,56,153.68,住商用,加強磚造,59年3月1日,二層,一層 二層,全筆移轉
RPPNMLNLLHLGFLE78DA,32,165.75,住家用,鋼筋混凝土造,83年2月1日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPUNMLQLLHLGFLE96DA,32,206.52,住家用,鋼筋混凝土造,83年1月25日,四層,一層 二層 三層 四層 陽台 平台 花台 雨遮,全筆移轉
RPPPMLLJMHLGFBE67DA,34,42.08,住家用,鋼筋混凝土造,80年9月26日,十二層,七層 陽台,全筆移轉
RPTNMLKLLHLGFBE87DA,26,31.95,住家用,鋼筋混凝土造,88年12月23日,十四層,十三層 陽台,全筆移轉
RPPPMLLJMHLGFBE67DA,34,10.08,見使用執照,鋼筋混凝土造,80年9月26日,十二層,,持分移轉
RPTNMLKLLHLGFBE87DA,26,14.81,停車空間，防空避難室，樓梯間，梯廳，水箱,鋼筋混凝土造,88年12月23日,十四層,,持分移轉
RPPNMLLJMHLGFFE97EA,42,110.98,住商用,鋼筋混凝土造,73年6月28日,二層,一層 二層,全筆移轉
RPSTMLLJMHLGFAE28DA,8,42.38,集合住宅,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,107年9月4日,二十八層,十一層 陽台,全筆移轉
RPSTMLLJMHLGFAE28DA,8,22.67,本共有部分之項目有防空避難室兼停車空間、專用出入口緩衝空間、停車空間、車道、管委會使用空間、管道間、大廳兼梯廳、門廊、樓梯間、防災中心、梯廳、中繼機械室、機械室、水箱、機械設備區、陽台、雨遮等１７項。,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,107年9月4日,二十八層,,持分移轉
RPVNMLNLLHLGFCE48DA,20,60.92,住家用,鋼筋混凝土造,95年5月10日,十四層,九層 陽台 雨遮,全筆移轉
RPVNMLNLLHLGFCE48DA,20,45.00,共有部份,鋼筋混凝土造,95年5月10日,十四層,,持分移轉
RPVOMLLJMHLGFCE28DA,2,61.09,集合住宅,鋼筋混凝土,113年3月30日,二十九層,十九層 陽台,全筆移轉
RPVOMLLJMHLGFCE28DA,2,.90,共有部份,鋼筋混凝土,113年3月30日,二十九層,,持分移轉
