編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOUMLRLLHLGFDE98DA,大港段,24.15,都市：其他:第五種住宅區,1464,18,持分移轉,35920000
RPXQMLQLLHLGFDE76DA,大港段五小段,32.07,都市：其他:第二種特定商業專用區,10000,624,持分移轉,08310000
RPXNMLKMLHLGFDE58DA,水源段,36.74,都市：其他:第四種住宅區,16,1,持分移轉,01810000
RPRNMLKMLHLGFFE18DA,安招段,30.65,都市：其他:住宅區,2,1,持分移轉,04440000
RPRRMLRLLHLGFFE56DA,建樹段,72.78,都市：其他:道路用地,104000,26000,持分移轉,01130000
RPRRMLRLLHLGFFE56DA,建樹段,4.86,都市：其他:人行步道,16,4,持分移轉,01130001
RPRRMLRLLHLGFFE56DA,建樹段,.13,都市：其他:道路用地,16,4,持分移轉,01130003
RPRRMLRLLHLGFFE56DA,建樹段,.10,都市：其他:道路用地,16,4,持分移轉,01130004
RPQNMLKLLHLGFIE28DA,大安段,60.00,都市：其他:商業區,767,60,持分移轉,12640003
RPOOMLKLLHLGFFE87DA,煙波段,332.42,非都市：山坡地保育區 ; 非都市編定：農牧用地,18000,213,持分移轉,01570000
RPUNMLKMLHLGFGE58DA,大樹保安段,18.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,2,持分移轉,10600000
RPTNMLKMLHLGFGE48DA,大樹保安段,9.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,10600000
RPSNMLKMLHLGFGE38DA,大樹保安段,9.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,10600000
RPRNMLKMLHLGFGE28DA,新甲段,14.77,都市：其他:第三之一種住宅區,10000,46,持分移轉,10310006
RPRNMLLMLHLGFJE68DA,草仔寮段,181.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,00690000
RPRNMLLMLHLGFJE68DA,草仔寮段,66.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,00700000
RPQTMLKMLHLGFBE28DA,新興段四小段,2.71,都市：其他:第四種商業區,10000,57,持分移轉,15110000
RPRNMLKLLHLGFFE08DA,保安段,541.91,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,00760000
RPRNMLKLLHLGFFE08DA,保安段,100.06,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,00770000
