編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXQMLQLLHLGFDE76DA,升降平面,0,18.36,地下二樓
RPRNMLKMLHLGFGE28DA,坡道平面,0,,地下一樓
RPQNMLTJLHLGFBE28DA,坡道平面,0,42.39,地下二樓
RPOOMLNLLHLGFAE67DA,坡道平面,0,18.33,地下三樓
RPOOMLNLLHLGFAE67DA,坡道平面,0,20.81,地下一樓
RPOOMLNLLHLGFAE67DA,坡道平面,0,20.81,地下一樓
RPXUMLNLLHLGFDE86DA,一樓平面,1700000,,一樓
RPPNMLRLLHLGFBE28EA,升降機械,0,13.94,地下三樓
RPSOMLKMLHLGFDE18DA,坡道平面,2450000,27.72,地下三樓
RPTNMLLMLHLGFEE38DA,坡道平面,0,13.70,地下一樓
RPTNMLLMLHLGFEE38DA,升降機械,0,5.71,地下二樓
RPUNMLPLLHLGFCE58DA,坡道機械,0,18.33,地下三樓
RPPNMLOKLHLGFEE08DA,坡道平面,1330000,30.25,地下二樓
RPPOMLKMLHLGFDE87DA,坡道平面,0,26.91,地下四樓
RPTQMLOJLHLGFAE28DA,坡道平面,0,32.21,地下一樓
RPTQMLOJLHLGFAE28DA,坡道平面,0,32.21,地下一樓
RPTQMLOJLHLGFAE28DA,坡道平面,0,32.21,地下一樓
RPTQMLOJLHLGFAE28DA,坡道平面,0,32.21,地下一樓
RPOOMLNLLHLGFEE08DA,坡道平面,0,16.14,地下一樓
RPUNMLLMLHLGFGE68DA,坡道機械,1500000,13.29,地下二樓
RPOOMLKMLHLGFGE08DA,坡道平面,0,26.67,地下一樓
RPQNMLLJMHLGFGE08DA,坡道平面,0,,地下一樓
RPWNMLRKLHLGFGE66DA,坡道機械,0,,地下一樓
RPVNMLNLLHLGFCE48DA,坡道平面,0,18.89,地下二樓
RPPNMLQKLHLGFDE18DA,坡道平面,0,,地下一樓
RPPNMLSLLHLGFCE38DA,坡道平面,0,,地下四樓
