鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
前鎮區,房地(土地+建物),高雄市前鎮區衙慶一街VS衙慶一街10巷,23.36,住,,,1150303,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.9,2,1,2,有,無,8400000,112150,,0.0,0,,RPQNMLPJLHLGFCE97CB,築?,B3棟3號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區衛武段658、661地號建國一路、正義路口,15.76,住,,,1150304,土地2建物1車位1,十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.61,3,2,2,有,無,17830000,120303,坡道平面,28.35,2400000,,RPPNMLQJLHLGFBE87CB,京城舞極,D6棟19號,
新興區,房地(土地+建物),高雄市新興區中山一路,3.49,商,,,1150302,土地16建物1車位0,三十三層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,86.59,1,1,1,有,無,14560000,168149,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLSJLHLGFBE08CB,中山鉑?,A棟3號,
大社區,房地(土地+建物),高雄市大社區文化路24巷,17.9,住,,,1150303,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.4,2,2,2,有,無,7330000,99864,,0.0,0,,RPQNMLSJLHLGFIE88CB,皇家旺博市10期A棟華廈,A8棟5號,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區馬卡道路,37.48,住,,,1150301,土地1建物1車位3,二十八層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,516.1,4,2,4,有,無,114800000,244245,坡道平面,89.07,10500000,雨遮不計價亦不列入銷售面積,RPPNMLTJLHLGFAE08CB,御皇苑,A1棟28號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多二路廣東二街,11.94,商,,,1150302,土地2建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.07,2,1,2,有,無,26500000,141911,坡道平面,22.54,2300000,,RPPNMLTJLHLGFBE18CB,新文化城安,A棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區明誠一路鼎山街202巷口,18.9,住,,,1150308,土地2建物1車位1,十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.49,3,2,2,有,無,26420000,155214,坡道平面,29.38,2500000,,RPVNMLTJLHLGFDE98CB,國泰明誠,A1棟10號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路,21.78,商,,,1150307,土地1建物1車位2,二十一層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,252.0,3,2,2,有,無,34300000,143043,坡道平面,44.02,4550000,,RPPNMLKKLHLGFBE37CB,知道明,A2棟21號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路,20.26,商,,,1150307,土地1建物1車位1,十三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.38,3,2,2,有,無,28930000,142167,坡道平面,22.01,2150000,,RPQNMLKKLHLGFBE47CB,知道明,A3棟13號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,3.61,商,,,1150310,土地16建物1車位1,十五層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,95.38,1,1,1,有,無,16090000,162762,坡道機械,5.74,1500000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPRNMLKKLHLGFBE57CB,中山鉑?,A棟19號,
大社區,房地(土地+建物),高雄市大社區翠屏路84巷,24.95,住,,,1150304,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.36,2,2,2,有,無,8960000,114344,,0.0,0,,RPPNMLKKLHLGFIE08CB,春陽逸居,B6棟0號,
大寮區,房地(土地+建物)+車位,高雄市大寮區開封段144地號,24.91,住,,,1150306,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.19,3,1,2,有,無,10450000,86965,一樓平面,20.55,1350000,,RPPNMLKKLHLGFLE38CB,大橘新加坡5,A棟1號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,36.58,住,,,1150305,土地1建物1車位1,一層,20,店面(店鋪),商業用,鋼筋混凝土造,,219.98,0,0,1,有,無,26630000,126056,坡道平面,24.67,2010000,,RPPNMLLKLHLGFEE77CB,遠雄一靚,S06棟F01號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,33.77,住,,,1150307,土地1建物1車位1,一層,20,店面(店鋪),商業用,鋼筋混凝土造,,205.21,0,0,1,有,無,25290000,129500,坡道平面,24.67,1910000,,RPQNMLLKLHLGFEE87CB,遠雄一靚,S05棟F01號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,15.68,住,,,1150308,土地1建物1車位2,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.05,2,2,2,有,無,14510000,124119,坡道平面,49.34,4120000,,RPRNMLLKLHLGFEE97CB,遠雄一靚,A12棟F02號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,14.88,住,,,1150308,土地1建物1車位2,十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.82,2,2,2,有,無,15610000,144565,坡道平面,49.34,4120000,,RPSNMLLKLHLGFEE08CB,遠雄一靚,A02棟F10號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十三街及二十六街口,15.68,住,,,1150308,土地1建物1車位1,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.65,2,2,2,有,無,12200000,118516,坡道平面,24.67,2010000,,RPTNMLLKLHLGFEE18CB,遠雄一靚,D05棟F02號,
三民區,房地(土地+建物)+車位,高雄市三民區皓東路與澄明街,18.77,住,,,1150307,土地3建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.2,3,2,2,有,無,21180000,118313,坡道平面,24.2,2250000,,RPPNMLMKLHLGFDE77CB,無雙,A5棟8號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區後勁北路、後勁東路,15.28,住,,,1150310,土地1建物1車位1,十七層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.69,1,2,2,有,無,20880000,136407,坡道平面,19.58,2450000,,RPQNMLMKLHLGFEE97CB,白隅,A棟2號,
大寮區,房地(土地+建物)+車位,高雄市大寮區鳳林三路,30.6,住,,,1150306,土地2建物1車位1,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,178.91,0,0,0,無,無,18660000,110950,坡道平面,27.4,1850000,,RPPNMLMKLHLGFLE58CB,上學境,S1棟01號,
大寮區,房地(土地+建物)+車位,高雄市大寮區鳳林三路,14.78,住,,,1150304,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.41,2,1,1,有,無,7910000,84975,坡道平面,26.33,1700000,,RPRNMLMKLHLGFLE78CB,上學境,A6棟8號,
大寮區,房地(土地+建物)+車位,高雄市大寮區鳳林三路,14.78,住,,,1150309,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.48,2,1,1,有,無,8000000,85523,坡道平面,27.4,1750000,,RPTNMLMKLHLGFLE98CB,上學境,A6棟09號,
