編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJLHLGFAE08CB,青海段,37.48,都市：住,100000,508,持分移轉,03560000
RPTNMLLKLHLGFEE18CB,藍田西段,15.68,都市：住,100000,195,持分移轉,00220000
RPQNMLLKLHLGFEE87CB,藍田西段,33.77,都市：住,100000,420,持分移轉,00220000
RPRNMLLKLHLGFEE97CB,藍田西段,15.68,都市：住,100000,195,持分移轉,00220000
RPSNMLLKLHLGFEE08CB,藍田西段,14.88,都市：住,100000,185,持分移轉,00220000
RPQNMLMKLHLGFEE97CB,後勁段一小段,15.28,都市：住,10000,67,持分移轉,02980003
RPPNMLKKLHLGFIE08CB,興農段,24.95,都市：住,100000,867,持分移轉,06400000
RPQNMLPJLHLGFCE97CB,仁愛段,23.36,都市：住,100000,4056,持分移轉,01740000
RPPNMLTJLHLGFBE18CB,林興段,8.09,都市：商,100000,1047,持分移轉,00190000
RPPNMLTJLHLGFBE18CB,林興段,3.84,都市：住,100000,1047,持分移轉,00370000
RPPNMLLKLHLGFEE77CB,藍田西段,36.58,都市：住,100000,455,持分移轉,00220000
RPPNMLKKLHLGFBE37CB,五塊厝段,21.78,都市：商,10000,100,持分移轉,24780000
RPRNMLKKLHLGFBE57CB,新興段三小段,.21,都市：商,100000,176,持分移轉,17550000
RPQNMLSJLHLGFIE88CB,中里段,17.90,都市：住,10000,162,持分移轉,10070000
RPRNMLKKLHLGFBE57CB,新興段三小段,.00,都市：商,100000,176,持分移轉,17550002
RPRNMLKKLHLGFBE57CB,新興段三小段,.19,都市：商,100000,176,持分移轉,17560000
RPRNMLKKLHLGFBE57CB,新興段三小段,.18,都市：商,100000,176,持分移轉,17570000
RPRNMLKKLHLGFBE57CB,新興段三小段,.34,都市：商,100000,176,持分移轉,17580000
RPRNMLKKLHLGFBE57CB,新興段三小段,.38,都市：商,100000,176,持分移轉,17590000
RPRNMLKKLHLGFBE57CB,新興段三小段,.73,都市：商,100000,176,持分移轉,17600000
RPRNMLKKLHLGFBE57CB,新興段三小段,.38,都市：商,100000,176,持分移轉,17780000
RPRNMLKKLHLGFBE57CB,新興段三小段,.15,都市：商,100000,176,持分移轉,17790000
RPPNMLSJLHLGFBE08CB,新興段三小段,.20,都市：商,100000,170,持分移轉,17550000
RPRNMLKKLHLGFBE57CB,新興段三小段,.04,都市：商,100000,176,持分移轉,17800000
RPRNMLKKLHLGFBE57CB,新興段三小段,.04,都市：商,100000,176,持分移轉,17810000
RPPNMLSJLHLGFBE08CB,新興段三小段,.00,都市：商,100000,170,持分移轉,17550002
RPRNMLKKLHLGFBE57CB,新興段三小段,.17,都市：商,100000,176,持分移轉,17820000
RPPNMLSJLHLGFBE08CB,新興段三小段,.18,都市：商,100000,170,持分移轉,17560000
RPRNMLKKLHLGFBE57CB,新興段三小段,.33,都市：商,100000,176,持分移轉,17830000
RPPNMLSJLHLGFBE08CB,新興段三小段,.18,都市：商,100000,170,持分移轉,17570000
RPRNMLKKLHLGFBE57CB,新興段三小段,.15,都市：商,100000,176,持分移轉,17850000
RPPNMLSJLHLGFBE08CB,新興段三小段,.33,都市：商,100000,170,持分移轉,17580000
RPRNMLKKLHLGFBE57CB,新興段三小段,.15,都市：商,100000,176,持分移轉,17860000
RPPNMLSJLHLGFBE08CB,新興段三小段,.37,都市：商,100000,170,持分移轉,17590000
RPRNMLKKLHLGFBE57CB,新興段三小段,.17,都市：商,100000,176,持分移轉,17870000
RPPNMLSJLHLGFBE08CB,新興段三小段,.70,都市：商,100000,170,持分移轉,17600000
RPPNMLSJLHLGFBE08CB,新興段三小段,.37,都市：商,100000,170,持分移轉,17780000
RPPNMLSJLHLGFBE08CB,新興段三小段,.15,都市：商,100000,170,持分移轉,17790000
RPPNMLSJLHLGFBE08CB,新興段三小段,.04,都市：商,100000,170,持分移轉,17800000
RPPNMLSJLHLGFBE08CB,新興段三小段,.04,都市：商,100000,170,持分移轉,17810000
RPPNMLSJLHLGFBE08CB,新興段三小段,.17,都市：商,100000,170,持分移轉,17820000
RPPNMLSJLHLGFBE08CB,新興段三小段,.31,都市：商,100000,170,持分移轉,17830000
