鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
苓雅區,租賃房屋,高雄市苓雅區四維三路２６３號９樓之E室,0.0,,,,1150302,土地0建物1車位0,九層,12,辦公商業大樓,辦公室,鋼筋混凝土造,0781109,25.79,0,0,0,無,有,無,7000,271,,0.0,0,9樓為整層屋主自行隔間出租租金總額含稅；水費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPPNMLMJLHLGFBE57CC,,有,1150401~1160331,有,冷氣,
小港區,租賃房屋,高雄市小港區南北路４號,63.28,住,,,1150302,土地1建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0770923,204.0,0,0,3,有,無,無,53000,260,,0.0,0,,RPTNMLMJLHLGFCE08CC,,無,1150401~1180331,無,,
岡山區,租賃房屋+車位,高雄市岡山區勵志二路５８號二樓,35.13,住,,,1150301,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,173.73,3,2,2,有,有,有,23000,132,坡道平面,0.0,0,租金總額含管理費；,RPPNMLMJLHLGFFE97CC,整棟(戶)出租,有,1150315~1170314,有,冷氣、熱水器、電視機、瓦斯或天然氣,
鳳山區,租賃房屋,高雄市鳳山區公園三街６３巷１９號,48.9,住,,,1150301,土地1建物1車位0,全,4,透天厝,停車空間、集合住宅、樓梯間,鋼筋混凝土,0930803,163.53,4,2,4,有,無,有,27000,165,,0.0,0,,RPXNMLMJLHLGFGE88CC,整棟(戶)出租,無,1150312~1170311,無,冷氣、熱水器、洗衣機、冰箱,
苓雅區,租賃房屋,高雄市苓雅區自強三路７９巷５號,0.0,,,,1150302,土地0建物0車位0,全,4,透天厝,住宅,鋼筋混凝土造,0760319,21.0,8,8,8,有,無,有,15000,714,,0.0,0,水費、網路費由包租業者負擔,RPVNMLNJLHLGFBE28CC,分租套房,無,1150315~1160430,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
苓雅區,租賃房屋,高雄市苓雅區林泉街１６之９號,0.0,,,,1150301,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),,鋼筋混凝土造,0680310,70.89,2,1,1,有,有,有,14200,200,,0.0,0,,RPOPMLNJLHLGFBE77CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、冰箱,社會住宅代管
前鎮區,租賃房屋,高雄市前鎮區一心一路３６６號,0.0,,,,1150303,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0761114,51.6,0,0,0,無,無,無,18000,349,,0.0,0,,RPUNMLNJLHLGFCE28CC,,無,1150401~1200331,無,,
前鎮區,租賃房屋,高雄市前鎮區一心一路３６６號,0.0,,,,1150303,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0761114,37.56,0,0,0,無,無,無,13000,346,,0.0,0,,RPVNMLNJLHLGFCE38CC,,無,1150401~1200331,無,,
三民區,租賃房屋,高雄市三民區陽明路１０２號,0.0,,,,1150302,土地0建物1車位0,全,5,透天厝,,鋼筋混凝土造,0730130,74.81,0,0,0,無,無,無,33000,441,,0.0,0,1.總租賃面積為74.81平方公尺包含以下層次一層41.07地下層18.8騎樓14.94,RPQNMLNJLHLGFDE97CC,,無,1150401~1170331,無,,
左營區,租賃房屋,高雄市左營區保靖街５３號５樓之１,0.0,,,,1150302,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031104,91.62,2,2,1,有,有,有,23606,258,,0.0,0,,RPSPMLNJLHLGFEE48CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
鳳山區,租賃房屋,高雄市鳳山區明昌街１８巷１７號５樓,0.0,,,,1150301,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770606,102.35,3,2,2,有,有,有,16000,156,,0.0,0,多人共同承租2；,RPUNMLNJLHLGFGE68CC,整棟(戶)出租,有,1150308~1160307,無,冷氣、熱水器、電視機、冰箱,
鼓山區,租賃房屋+車位,高雄市鼓山區美術東四路４３號１４樓之１,0.0,,,,1150301,土地0建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1130514,108.18,2,1,1,有,有,有,33000,305,坡道平面,33.1,0,租金總額含管理費；,RPPOMLOJLHLGFAE77CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
鼓山區,租賃房屋,高雄市鼓山區美術北三路２１２號二樓,0.0,,,,1150304,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1041007,71.25999999999999,2,1,1,有,有,有,17500,246,,0.0,0,社會住宅管理費2500元，水電費 瓦斯費 由承租人負擔,RPTOMLOJLHLGFAE18CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
苓雅區,租賃房屋+車位,高雄市苓雅區四維三路８０號７樓之２,0.0,,,,1150302,土地0建物1車位1,七層,12,辦公商業大樓,辦公室,鋼筋混凝土造,0800124,220.67000000000002,0,0,0,無,有,無,35000,159,坡道平面,0.0,0,管理費由承租人負擔，房屋每月7424元整。停車位每月300元整。自115/3/3-3/31出租人免費提供承租人供籌備之用，三月份管理費由承租人負責繳納。租金總額含稅；,RPQNMLOJLHLGFBE87CC,,有,1150401~1180331,有,,
新興區,租賃房屋,高雄市新興區河南一路６１之１號一樓,0.0,,,,1150301,土地0建物1車位0,全,2,透天厝,住宅,加強磚造,0590811,29.02,0,1,1,有,無,無,15000,517,,0.0,0,僅租一樓作為工作室使用,RPVNMLOJLHLGFBE38CC,,無,1150410~1180409,無,冷氣,
苓雅區,租賃房屋,高雄市苓雅區永康街６０巷６號,0.0,,,,1150301,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,1020110,16.52,22,0,22,有,無,有,6700,406,,0.0,0,租金總額含水費；其他租金含第四台；續租案件；,RPVOMLOJLHLGFBE48CC,分租套房,無,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
小港區,租賃房屋,高雄市小港區松崗路１８巷１４號,0.0,,,,1150302,土地0建物0車位0,全,2,透天厝,住商用,鋼筋混凝土造,0671226,29.76,3,0,3,有,無,有,7000,235,,0.0,0,只出租二樓一間套房,RPQNMLOJLHLGFCE97CC,分租套房,無,1150302~1160301,無,冷氣、熱水器、洗衣機、電視機、冰箱,
三民區,租賃房屋,高雄市三民區綏遠二街６４號,0.0,,,,1150303,土地0建物0車位0,全,2,透天厝,,加強磚造,0631028,16.52,28,0,28,有,無,有,7000,424,,0.0,0,租金總額含水費；其他租金含第四台；,RPWNMLOJLHLGFDE68CC,分租套房,無,1150303~1150831,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般代管
三民區,租賃房屋,高雄市三民區覺民路２８５巷３７號十四樓,0.0,,,,1150303,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040813,74.44,2,1,1,有,有,有,17000,228,,0.0,0,社會住宅，管理費1500元，水電費由承租人負擔多人共同承租2；,RPUOMLOJLHLGFDE58CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
三民區,租賃房屋,高雄市三民區九如一路４５６號６樓,0.0,,,,1150302,土地0建物1車位0,六層,18,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0790927,173.69,3,2,2,有,有,無,16000,92,,0.0,0,多人共同承租2；,RPWOMLOJLHLGFDE78CC,整棟(戶)出租,有,1150303~1180305,有,,
三民區,租賃房屋,高雄市三民區十全三路６號１５樓之７,0.0,,,,1150304,土地0建物1車位0,十五層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100726,128.23,3,2,2,有,有,有,27500,214,,0.0,0,租金總額含管理費；,RPXOMLOJLHLGFDE88CC,整棟(戶)出租,有,1150401~1160331,有,冷氣、熱水器、洗衣機、電視機、冰箱,
