編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLNJLHLGFGE68CC,38,92.52,住家用,鋼筋混凝土造,77年6月6日,五層,,
RPXNMLMJLHLGFGE88CC,22,163.53,停車空間、集合住宅、樓梯間,鋼筋混凝土,93年8月3日,四層,,
RPUNMLNJLHLGFGE68CC,38,9.83,共有部份,鋼筋混凝土造,77年6月6日,五層,,
RPPOMLOJLHLGFAE77CC,2,48.44,集合住宅,鋼筋混凝土,113年5月14日,十五層,,
RPPOMLOJLHLGFAE77CC,2,59.74,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、供管委會使用空間、機械室、水箱等６項。,鋼筋混凝土,113年5月14日,十五層,,
RPTOMLOJLHLGFAE18CC,10,44.66,集合住宅,鋼筋混凝土,104年10月7日,十五層,,
RPTOMLOJLHLGFAE18CC,10,26.60,本共有部分之項目有防空避難室、停車空間、樓梯間、機械室、水箱、垃圾暫存空間、管委會使用空間、門廳等８項,鋼筋混凝土,104年10月7日,十五層,,
RPPNMLMJLHLGFBE57CC,36,25.79,辦公室,鋼筋混凝土造,78年11月9日,十二層,,
RPOPMLNJLHLGFBE77CC,47,70.89,,鋼筋混凝土造,68年3月10日,十層,,
RPVNMLNJLHLGFBE28CC,39,21.00,住宅,鋼筋混凝土造,76年3月19日,四層,,
RPVOMLOJLHLGFBE48CC,13,16.52,住家用,鋼筋混凝土造,102年1月10日,五層,,
RPVNMLOJLHLGFBE38CC,56,29.02,住宅,加強磚造,59年8月11日,二層,,
RPQNMLOJLHLGFBE87CC,35,157.11,辦公室,鋼筋混凝土造,80年1月24日,十二層,,
RPQNMLOJLHLGFBE87CC,35,63.56,,鋼筋混凝土造,80年1月24日,十二層,,
RPUOMLOJLHLGFDE58CC,11,48.41,住家用,鋼筋混凝土造,104年8月13日,十五層,,
RPWOMLOJLHLGFDE78CC,35,111.74,集合住宅,鋼筋混凝土造,79年9月27日,十八層,,
