編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLOJLHLGFAE77CC,坡道平面,0,33.10,地下五樓含以下
RPQNMLOJLHLGFBE87CC,坡道平面,0,,地下二樓
RPSNMLPJLHLGFBE18CC,坡道平面,0,22.98,地下一樓
RPROMLPJLHLGFDE38CC,坡道機械,0,29.11,地下五樓含以下
RPQNMLOJLHLGFFE28CC,坡道平面,0,25.14,地下三樓
RPPNMLMJLHLGFFE97CC,坡道平面,0,,地下一樓
RPSNMLPJLHLGFFE58CC,坡道平面,0,6.14,地下三樓
RPTOMLQJLHLGFDE68CC,坡道平面,0,32.33,地下一樓
RPTOMLQJLHLGFDE68CC,坡道平面,0,30.27,地下一樓
RPVOMLQJLHLGFDE88CC,坡道平面,0,27.58,地下二樓
RPXOMLOJLHLGFEE98CC,坡道平面,0,13.44,地下一樓
RPVNMLQJLHLGFGE09CC,坡道機械,0,10.91,地下三樓
RPUNMLPJLHLGFEE68CC,坡道機械,0,,地下二樓
RPUNMLRJLHLGFBE58CC,坡道機械,0,25.91,地下五樓含以下
RPSNMLRJLHLGFBE38CC,坡道平面,2500,14.65,地下一樓
RPTNMLRJLHLGFBE48CC,坡道平面,2200,13.32,地下三樓
RPTOMLQJLHLGFEE78CC,坡道平面,0,28.04,地下二樓
RPXOMLQJLHLGFEE56CC,坡道平面,0,24.80,地下四樓
RPUOMLQJLHLGFEE88CC,坡道平面,0,33.47,地下三樓
RPPNMLRJLHLGFAE97CC,坡道平面,0,46.17,地下五樓含以下
RPPNMLTJLHLGFIE98CC,坡道平面,0,27.38,地下三樓
RPQNMLTJLHLGFIE09CC,坡道平面,0,26.58,地下一樓
RPPNMLTJLHLGFLE66CC,一樓平面,0,,一樓
RPQNMLTJLHLGFLE76CC,一樓平面,0,,一樓
RPXNMLKKLHLGFAE18CC,坡道平面,0,28.78,地下三樓
RPUNMLKKLHLGFCE08CC,坡道平面,0,,地下一樓
RPOOMLKKLHLGFDE67CC,坡道平面,0,27.97,地下四樓
RPQOMLKKLHLGFDE87CC,坡道平面,0,,地下一樓
RPOPMLTJLHLGFEE68CC,坡道平面,0,15.03,地下二樓
RPQNMLKKLHLGFEE87CC,坡道平面,0,20.84,地下一樓
RPXNMLTJLHLGFEE76CC,坡道平面,0,,地下二樓
RPVPMLTJLHLGFEE76CC,坡道機械,0,7.16,地下二樓
RPUOMLKKLHLGFEE38CC,坡道機械,0,10.85,地下三樓
RPTNMLLKLHLGFAE87CC,坡道平面,0,13.17,地下五樓含以下
RPVNMLLKLHLGFAE08CC,坡道平面,0,16.56,地下二樓
RPWNMLLKLHLGFAE18CC,坡道機械,0,5.64,地下一樓
RPWNMLLKLHLGFBE28CC,坡道平面,0,14.26,地下二樓
RPPOMLLKLHLGFBE67CC,坡道平面,0,16.54,地下三樓
RPSNMLLKLHLGFCE97CC,坡道平面,0,23.17,地下五樓含以下
RPTNMLLKLHLGFCE08CC,坡道平面,0,32.17,地下三樓
RPPQMLKKLHLGFEE08CC,坡道機械,0,15.81,地下四樓
RPOPMLKKLHLGFEE87CC,坡道平面,0,27.31,地下二樓
RPQNMLLKLHLGFFE08CC,坡道平面,0,26.80,地下一樓
RPTNMLLKLHLGFIE68CC,坡道平面,0,,地下一樓
RPQNMLLKLHLGFLE68CC,一樓平面,0,,一樓
RPQOMLLKLHLGFEE08CC,坡道平面,0,24.84,地下一樓
RPUNMLMKLHLGFEE48CC,坡道平面,0,18.00,地下一樓
RPQNMLMKLHLGFFE18CC,坡道平面,1200,34.57,地下二樓
RPWNMLMKLHLGFGE88CC,坡道平面,1000,33.05,地下二樓
RPQNMLNKLHLGFAE77CC,坡道機械,0,9.95,地下二樓
RPVNMLMKLHLGFDE48CC,坡道平面,0,44.15,地下三樓
RPTOMLMKLHLGFDE38CC,坡道平面,0,15.64,地下二樓
RPWNMLNKLHLGFEE78CC,坡道平面,0,31.97,地下二樓
RPROMLMKLHLGFEE28CC,坡道機械,0,16.53,地下一樓
RPTNMLNKLHLGFGE68CC,坡道平面,0,25.30,地下三樓
RPSNMLNKLHLGFIE78CC,坡道平面,0,,地下一樓
RPOOMLNKLHLGFFE18CC,坡道平面,0,26.02,地下三樓
RPPOMLQKLHLGFAE08CC,坡道平面,0,22.73,地下二樓
RPQNMLQKLHLGFBE18CC,坡道平面,0,13.99,地下三樓
RPUNMLQKLHLGFCE68CC,坡道平面,0,34.53,地下一樓
RPOPMLQKLHLGFCE28CC,坡道平面,0,,地下二樓
RPRNMLQKLHLGFGE78CC,其他,0,16.56,一樓
RPTNMLQKLHLGFIE56CC,升降機械,0,9.62,地下二樓
RPSNMLRKLHLGFCE58CC,坡道平面,0,26.32,地下二樓
RPPOMLRKLHLGFDE48CC,坡道機械,0,19.75,地下四樓
RPSOMLRKLHLGFDE78CC,坡道平面,0,23.10,地下一樓
RPOPMLNKLHLGFEE18CC,坡道平面,0,13.79,地下三樓
RPPNMLRKLHLGFFE58CC,一樓平面,0,13.70,一樓
RPTNMLRKLHLGFGE09CC,坡道平面,0,27.84,地下二樓
RPUNMLSKLHLGFAE68CC,坡道平面,0,21.33,地下二樓
RPQNMLSKLHLGFCE48CC,坡道平面,0,24.65,地下三樓
RPSNMLSKLHLGFDE78CC,坡道平面,0,16.59,地下二樓
RPTNMLOKLHLGFEE58CC,坡道機械,2500,12.99,地下三樓
RPQNMLSKLHLGFEE68CC,坡道機械,0,5.46,地下五樓含以下
RPOOMLQKLHLGFEE38CC,坡道平面,0,27.91,地下一樓
RPVOMLRKLHLGFEE56CC,坡道平面,0,23.25,地下一樓
RPPNMLSKLHLGFGE78CC,坡道平面,0,30.87,地下一樓
RPSNMLTKLHLGFAE58CC,坡道平面,0,21.33,地下三樓
RPRNMLSKLHLGFGE98CC,坡道平面,0,30.87,地下一樓
RPOOMLKLLHLGFAE47CC,坡道平面,0,15.82,地下一樓
RPUNMLTKLHLGFGE76CC,坡道平面,0,25.44,地下二樓
RPOOMLTKLHLGFGE88CC,坡道平面,0,23.72,地下三樓
RPUNMLKLLHLGFBE08CC,塔式車位,2500,11.15,
RPWOMLKLLHLGFBE38CC,坡道平面,0,33.10,地下四樓
RPWNMLKLLHLGFCE38CC,坡道平面,0,15.13,地下一樓
RPRNMLKLLHLGFDE97CC,坡道平面,0,30.12,地下三樓
RPWNMLKLLHLGFGE78CC,坡道平面,0,25.72,地下二樓
RPPPMLKLLHLGFEE08CC,坡道平面,0,22.62,地下一樓
RPWNMLKLLHLGFEE58CC,坡道平面,0,32.49,地下二樓
RPSOMLTKLHLGFEE09CC,坡道平面,0,19.46,地下一樓
RPQOMLOLLHLGFAE08CC,坡道平面,0,22.02,地下五樓含以下
RPQOMLOLLHLGFAE08CC,坡道平面,0,22.02,地下五樓含以下
RPWNMLNLLHLGFGE09CC,坡道平面,0,25.31,地下三樓
RPPNMLMLLHLGFFE18CC,坡道平面,0,20.17,地下二樓
RPRNMLNLLHLGFAE97CC,坡道平面,0,19.67,地下一樓
RPWNMLOLLHLGFEE98CC,坡道平面,0,5.51,地下二樓
RPQOMLOLLHLGFEE48CC,坡道機械,0,,地下五樓含以下
RPVNMLOLLHLGFEE88CC,坡道平面,0,24.32,地下三樓
RPWPMLTKLHLGFEE96CC,坡道平面,0,,地下三樓
RPPNMLMLLHLGFEE08CC,坡道平面,0,23.45,地下二樓
RPPOMLPLLHLGFFE58CC,坡道機械,0,18.37,地下四樓
RPOQMLTKLHLGFEE88CC,坡道機械,0,,地下一樓
RPWNMLQLLHLGFAE78CC,坡道平面,0,19.34,地下二樓
RPSPMLOLLHLGFEE78CC,坡道機械,0,20.52,地下五樓含以下
RPXPMLPLLHLGFEE76CC,坡道平面,4000,20.52,地下二樓
RPWNMLRLLHLGFEE66CC,坡道平面,0,39.83,地下四樓
RPVOMLRLLHLGFEE66CC,坡道平面,0,30.70,地下二樓
RPXOMLRLLHLGFEE86CC,坡道平面,0,30.26,地下二樓
RPRNMLKMLHLGFBE87CC,坡道平面,4000,22.27,地下三樓
RPPOMLKMLHLGFBE77CC,坡道平面,0,18.64,地下四樓
RPTNMLKMLHLGFGE58CC,坡道平面,0,24.32,地下二樓
RPQNMLLMLHLGFJE68CC,坡道平面,0,,地下一樓
RPUOMLLJMHLGFBE18CC,坡道機械,0,18.70,地下三樓
RPVNMLMJMHLGFAE18CC,坡道平面,0,27.83,地下三樓
RPXOMLMJMHLGFDE78CC,坡道平面,0,28.67,地下三樓
RPPNMLNJMHLGFCE87CC,坡道平面,0,23.20,地下四樓
RPUNMLSJMHLGFAE68CC,坡道機械,0,24.82,地下五樓含以下
RPQNMLSJMHLGFAE28CC,坡道平面,0,26.88,地下二樓
RPOPMLRLLHLGFEE68CC,坡道平面,0,25.01,地下五樓含以下
RPPPMLRLLHLGFEE78CC,坡道平面,0,22.62,地下一樓
