鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
土城區,房地(土地+建物),新北市土城區延和路１０５巷５弄６號,22.09,住,,,1150316,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830415,103.53999999999999,3,1,1,有,有,12800000,123624,,0.0,0,,RPRPMLOLLHLGFAF28DA,74.95,9.01,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路３１７號六樓,19.12,住,,,1150316,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140428,142.56,3,2,2,有,有,29380000,206089,坡道平面,24.0,0,,RPWNMLQLLHLGFAF78DA,72.82,0.0,6.27,有,
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道四段１７９號九樓之六,21.16,商,,,1150307,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1020415,207.92,4,1,2,有,有,34000000,163517,坡道平面,17.31,0,其他增建；,RPROMLMKLHLGFBF97DA,106.09,14.73,9.72,有,001
新莊區,房地(土地+建物),新北市新莊區萬安街３號十四樓之十八,5.26,住,,,1150312,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970418,45.72,2,1,1,有,有,7200000,157480,,0.0,0,夾層；,RPUPMLQKLHLGFBF78DA,24.23,0.0,5.19,有,002
新莊區,房地(土地+建物),新北市新莊區民安西路３７６號地下一樓之七,5.33,住,,,1150309,土地1建物1車位0,地下一層,二十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0850311,28.1,0,0,0,無,有,400000,14235,,0.0,0,,RPOOMLRLLHLGFBF28DA,12.73,0.0,0.0,有,
新莊區,房地(土地+建物),新北市新莊區自強街３７巷１４弄８號三樓,15.89,住,,,1150304,土地2建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650210,61.32,2,2,1,有,無,6000000,97847,,0.0,0,其他增建為陽台外移其他增建；,RPWNMLKMLHLGFBF38DA,61.32,0.0,0.0,無,
新店區,房地(土地+建物),新北市新店區光華街３８巷８號,91.81,住,,,1150307,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0680622,111.13,5,2,2,有,無,18000000,161972,,0.0,0,頂樓加蓋；其他增建；,RPUOMLQLLHLGFCF88DA,111.13,0.0,0.0,無,
汐止區,房地(土地+建物),新北市汐止區樟樹一路１１９巷３號２樓,31.49,住,,,1150309,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701231,97.4,3,2,2,有,無,10500000,107803,,0.0,0,,RPPNMLSLLHLGFDF58DA,87.09,0.0,10.31,無,003
淡水區,土地,中和段1089地號,21.95,,特定農業區,甲種建築用地,1150311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,255800,11654,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLKLLHLGFEF68DA,0.0,0.0,0.0,無,004
