編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLNKLHLGFFF58DA,,106.57,住家用,加強磚造,,三層,一層 騎樓,全筆移轉
RPOOMLRLLHLGFBF28DA,30,12.73,辦公室,鋼筋混凝土造,85年3月11日,二十一層,地下一層,全筆移轉
RPOOMLRLLHLGFBF28DA,30,11.80,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPOOMLRLLHLGFBF28DA,30,.90,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPOOMLRLLHLGFBF28DA,30,2.67,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPWNMLKMLHLGFBF38DA,50,61.32,住家用,加強磚造,65年2月10日,四層,三層 陽台,全筆移轉
RPSNMLTLLHLGFEF09DA,29,3.62,共有部分,鋼筋混凝土造,86年5月2日,十層,,持分移轉
RPTNMLTLLHLGFEF56DA,29,7.24,共有部分,鋼筋混凝土造,86年5月2日,十層,,持分移轉
RPROMLKMLHLGFEF28DA,46,75.95,商業用,鋼筋混凝土造,68年12月26日,三層,一層 平台,全筆移轉
RPRNMLTLLHLGFEF98DA,29,3.62,共有部分,鋼筋混凝土造,86年5月2日,十層,,持分移轉
RPPNMLTLLHLGFEF78DA,29,7.24,共有部分,鋼筋混凝土造,86年5月2日,十層,,持分移轉
RPUPMLQKLHLGFBF78DA,18,29.42,住家用,鋼筋混凝土造,97年4月18日,十四層,十四層 陽台,全筆移轉
RPUPMLQKLHLGFBF78DA,18,4.16,共有部分,鋼筋混凝土造,97年4月18日,十四層,,持分移轉
RPUPMLQKLHLGFBF78DA,18,4.04,共有部分,鋼筋混凝土造,97年4月18日,十四層,,持分移轉
RPUPMLQKLHLGFBF78DA,18,3.55,共有部分,鋼筋混凝土造,97年4月18日,十四層,,持分移轉
RPUPMLQKLHLGFBF78DA,18,4.55,共有部分,鋼筋混凝土造,97年4月18日,十四層,,持分移轉
RPRPMLOLLHLGFAF28DA,32,83.96,住商用,鋼筋混凝土造,83年4月15日,七層,一層 平台,全筆移轉
RPRPMLOLLHLGFAF28DA,32,19.58,共有部分,鋼筋混凝土造,83年4月15日,七層,,持分移轉
RPROMLMKLHLGFBF97DA,13,2.43,商場,鋼筋混凝土造,102年4月15日,十九層,一層 二層,持分移轉
RPROMLMKLHLGFBF97DA,13,128.11,辦公室,鋼筋混凝土造,102年4月15日,十九層,九層 陽台 雨遮,全筆移轉
RPROMLMKLHLGFBF97DA,13,1.12,本共有部分之項目有頂蓋型廣場式開放空間、門廳、梯廳、梯間、管理中心、自行車停車區、公共門廳、頂蓋型沿街式開放空間、汽車坡道、陽台、男性專用〈冷，熱水池，烤箱，蒸氣室，廁所〉、女性專用〈冷，熱水池，烤箱，蒸氣室，廁所〉、發電機室、排風管道、電信機房、水箱〈Ａ，Ｂ，Ｃ〉、公設水箱、垃圾儲藏空間〈Ａ，Ｂ，Ｃ〉、台電配電場所〈一，二〉、排煙室、防災中心、機房、消防中繼機房、中繼水箱、消防機房、消防泵浦室、電梯機房、水箱等二十八項。,鋼筋混凝土造,102年4月15日,十九層,,持分移轉
RPROMLMKLHLGFBF97DA,13,76.26,本共有部分之項目有頂蓋型廣場式開放空間、門廳、梯廳、梯間、管理中心、自行車停車區、公共門廳、頂蓋型沿街式開放空間、汽車坡道、陽台、男性專用〈冷，熱水池，烤箱，蒸氣室，廁所〉、女性專用〈冷，熱水池，烤箱，蒸氣室，廁所〉、發電機室、排風管道、電信機房、水箱〈Ａ，Ｂ，Ｃ〉、公設水箱、垃圾儲藏空間〈Ａ，Ｂ，Ｃ〉、台電配電場所〈一，二〉、排煙室、防災中心、機房、消防中繼機房、中繼水箱、消防機房、消防泵浦室、電梯機房、水箱等二十八項。,鋼筋混凝土造,102年4月15日,十九層,,持分移轉
RPWNMLQLLHLGFAF78DA,1,79.09,集合住宅,鋼筋混凝土造,114年4月28日,十五層,六層 陽台,全筆移轉
RPWNMLQLLHLGFAF78DA,1,63.47,本共有部分之項目有甲１戶外安全梯（無障礙樓梯）、甲２戶外安全梯、甲１無障礙昇降機、甲２緊急昇降機、甲排煙室、管委員會使用空間（一）、管委員會使用空間（二）、管委員會使用空間、梯廳（一）、乙排煙室、乙１戶外安全梯（無障礙樓梯）、乙２戶外安全梯、乙１無障礙昇降機、乙２緊急昇降機、管委員會使用空間（三）、管委員會使用空間（四）、梯廳（二）、丙排煙室、丙１戶外安全梯（無障礙樓梯）、丙２戶外安全梯、丙１無障礙昇降機、丙２緊急昇降機、甲梯廳、乙梯廳、丙梯廳、甲４安全梯、機電設備空間（水錶區）、甲梯間、乙４安全梯、乙梯間、丙４安全梯、丙梯間、甲３安全梯、消防水塔、水箱ａ３、乙３安全梯、水箱ｂ２、丙３安全梯、水箱ｃ２、甲機械室、乙機械室、丙機械室、台電配電場所（一）、排煙、進風、停車空間、機電設備空間（垃圾儲藏室）、機電設備空間（發電機房）、排風、乙３安全梯（無障礙樓梯）、台電配電場所（二）、水箱ｃ１、機電設備空間（電信機房）、機電設備空間（智能機房）、水箱ａ２、水箱ａ１、機電設備空間（消防泵浦機房）、防空避難室兼停車空間、機電設備空間（污水／雨水回收／噴灌機房）、水箱ｂ１、垃圾車位（裝卸車位）等６１項。,鋼筋混凝土造,114年4月28日,十五層,,持分移轉
RPUOMLQLLHLGFCF88DA,47,111.13,住家用,加強磚造,68年6月22日,二層,一層 二層,全筆移轉
RPRNMLOLLHLGFFF58DA,,105.95,住家用,鋼筋混凝土造,,三層,三層 陽台,全筆移轉
RPPNMLSLLHLGFDF58DA,44,97.40,住家用,鋼筋混凝土造,70年12月31日,五層,二層 陽台,全筆移轉
RPTNMLLMLHLGFEF48DA,29,42.46,住家用,鋼筋混凝土造,86年6月11日,十一層,七層 陽台,全筆移轉
RPTNMLLMLHLGFEF48DA,29,15.67,共有部分,鋼筋混凝土造,86年6月11日,十一層,,持分移轉
RPQNMLLKLHLGFIF38DA,,49.94,住家用,加強磚造,,三層,一層,全筆移轉
RPOUMLKLLHLGFGF68DA,46,61.00,住家用,鋼筋混凝土造,68年9月20日,四層,三層 陽台,全筆移轉
RPRTMLKLLHLGFGF88DA,29,59.05,住家用,鋼筋混凝土造,86年1月31日,七層,二層 陽台,持分移轉
RPRTMLKLLHLGFGF88DA,29,16.99,共有部分,鋼筋混凝土造,86年1月31日,七層,,持分移轉
RPPNMLQLLHLGFIF88DA,47,110.00,住家用,加強磚造,67年10月1日,二層,一層 二層,全筆移轉
RPSNMLRLLHLGFGF09DA,10,90.24,集合住宅,鋼筋混凝土造,105年7月26日,十五層,十一層 陽台,全筆移轉
RPSNMLRLLHLGFGF09DA,10,24.16,本共有部分項目有：梯廳、樓梯間及機械室等３項。,鋼筋混凝土造,105年7月26日,十五層,,持分移轉
RPSNMLRLLHLGFGF09DA,10,51.46,本共有部分項目有：供公眾使用停車空間及停車空間、供公眾使用停車空間、停車空間、梯廳、門廊、戶外樓電梯、防災中心、管委會使用空間及陽台等９項。,鋼骨構造、鋼筋混凝土構造,105年7月26日,二十六層,,持分移轉
RPTNMLRLLHLGFCF88EA,42,113.77,住家用,鋼筋混凝土造,73年8月20日,三層,一層 二層 三層 陽台 平台 浴廁,全筆移轉
RPXNMLQLLHLGFEF76EA,1,102.63,集合住宅,鋼筋混凝土造,114年8月28日,十五層,十二層 陽台,全筆移轉
RPTNMLKMLHLGFEF48EA,45,118.88,住家用,鋼筋混凝土造,70年2月13日,四層,四層 陽台,全筆移轉
RPROMLKMLHLGFHF58DA,48,92.80,住家用,鋼筋混凝土造,67年6月22日,四層,二層 陽台,全筆移轉
RPPNMLSLLHLGFHF98DA,15,63.31,集合住宅,鋼骨鋼筋混凝土構造,100年4月15日,十九層,七層 陽台 雨遮,全筆移轉
