編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNKLHLGFFF58DA,爪峰段,33.13,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,1,持分移轉,11910000
RPTNMLNKLHLGFFF58DA,爪峰段,20.79,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,1,持分移轉,11920000
RPOOMLRLLHLGFBF28DA,光華段,5.33,都市：其他:住宅區,100000,41,持分移轉,02270000
RPWNMLKMLHLGFBF38DA,自立段,5.60,都市：其他:住宅區,4,1,持分移轉,05930000
RPSOMLKLLHLGFEF28DA,中和段,55.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,115200,4473,持分移轉,10890000
RPWNMLKMLHLGFBF38DA,自立段,10.29,都市：其他:住宅區,4,1,持分移轉,05970000
RPSNMLTLLHLGFEF09DA,大湖段,.74,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,10,持分移轉,02250000
RPTNMLTLLHLGFEF56DA,大湖段,1.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,20,持分移轉,02250000
RPROMLKMLHLGFEF28DA,埔坪段,5.26,都市：其他:住宅區,3,1,持分移轉,04000000
RPXNMLKLLHLGFEF68DA,中和段,21.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,38400,591,持分移轉,10890000
RPROMLKMLHLGFEF28DA,埔坪段,30.21,都市：其他:住宅區,3,1,持分移轉,04010000
RPRNMLTLLHLGFEF98DA,大湖段,.74,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,10,持分移轉,02250000
RPPNMLTLLHLGFEF78DA,大湖段,1.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,20,持分移轉,02250000
RPPNMLTLLHLGFEF78DA,大湖段,1.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,20,持分移轉,02250000
SPXNMLKLLHLGFEF78DA,中和段,101.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,19200,1363,持分移轉,10890000
RPUPMLQKLHLGFBF78DA,富國段,5.26,都市：其他:住宅區,10000,18,持分移轉,05570000
RPRPMLOLLHLGFAF28DA,安和段,22.09,都市：其他:第一種住宅區,20000,106,持分移轉,07350000
RPROMLMKLHLGFBF97DA,副都心段一小段,21.16,都市：其他:第二種商業區,100000,330,持分移轉,03990000
RPWNMLQLLHLGFAF78DA,明德段,19.12,都市：其他:第二種住宅區,1000000,3700,持分移轉,00650000
RPUOMLQLLHLGFCF88DA,安和段,55.93,都市：其他:第三種住宅區。,1,1,全筆移轉,07970000
RPUOMLQLLHLGFCF88DA,安和段,35.88,都市：其他:第三種住宅區。,1,1,全筆移轉,07980000
RPRNMLOLLHLGFFF58DA,爪峰段,42.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,07090000
RPPNMLSLLHLGFDF58DA,厚德段,28.09,都市：其他:第二種住宅區,5,1,持分移轉,05960000
RPPNMLSLLHLGFDF58DA,厚德段,3.40,都市：其他:第二種住宅區,10000,47,持分移轉,05980000
RPTNMLLMLHLGFEF48DA,大湖段,4.99,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,222,持分移轉,02120000
