編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLTLLHLGFEF09DA,坡道機械,140000,3.62,地下二樓
RPTNMLTLLHLGFEF56DA,坡道機械,280000,7.24,地下二樓
RPRNMLTLLHLGFEF98DA,坡道機械,140000,3.62,地下二樓
RPPNMLTLLHLGFEF78DA,坡道機械,280000,7.24,地下二樓
RPROMLMKLHLGFBF97DA,坡道平面,0,17.31,地下一樓
RPWNMLQLLHLGFAF78DA,坡道平面,0,24.00,地下二樓
RPSNMLRLLHLGFGF09DA,坡道平面,0,31.05,地下三樓
RPXNMLQLLHLGFEF76EA,坡道平面,1700000,27.41,地下二樓
RPWNMLKMLHLGFHF98DA,坡道平面,3060000,25.72,地下三樓
RPUOMLLKLHLGFBF18DA,坡道平面,3000000,43.12,地下三樓
RPSNMLKLLHLGFBF87DA,坡道平面,2300000,21.14,地下三樓
RPQNMLKLLHLGFBF67DA,坡道平面,2550000,21.14,地下二樓
RPRNMLKLLHLGFBF77DA,坡道平面,2550000,21.14,地下二樓
RPXNMLQKLHLGFCF98DA,坡道機械,0,3.57,地下一樓
RPOOMLQLLHLGFBF18DA,坡道平面,2000000,34.71,地下一樓
RPUNMLKMLHLGFGF78EA,坡道平面,0,18.53,地下二樓
RPXNMLQKLHLGFEF56DA,坡道平面,1500000,39.46,地下一樓
RPXNMLKMLHLGFCF58DA,坡道平面,2750000,26.86,地下三樓
RPXNMLKMLHLGFCF58DA,坡道平面,2750000,26.86,地下三樓
RPVNMLLKLHLGFEF48DA,坡道平面,0,37.77,地下二樓
RPVNMLNLLHLGFGF98DA,坡道平面,2150000,49.37,地下二樓
RPVNMLNLLHLGFGF98DA,坡道平面,2150000,49.37,地下二樓
RPVNMLOLLHLGFEF98EA,坡道平面,1500000,40.92,地下三樓
RPRNMLLMLHLGFBF08EA,坡道機械,0,25.34,地下四樓
RPUOMLTKLHLGFBF98DA,坡道平面,2000000,,地下二樓
RPSOMLKMLHLGFEF38DA,坡道平面,0,32.74,地下二樓
RPXNMLNLLHLGFDF88DA,坡道機械,0,28.85,地下二樓
RPOQMLLJMHLGFAF67DA,坡道平面,2500000,32.26,地下三樓
RPQNMLQLLHLGFEF58DA,坡道平面,1500000,30.10,地下二樓
