鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新莊區,房地(土地+建物)+車位,新北市新莊區中港一街,12.02,住,,,1150301,土地4建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.15,2,2,1,有,無,20550000,237721,坡道平面,29.8,2400000,,RPSNMLMJLHLGFBF87CB,富都新玉-富都區,B棟B8-12F號,
樹林區,房地(土地+建物),新北市樹林區柑園街一段77號邊工地,28.82,,,,1150301,土地2建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.65,2,2,1,有,無,11213000,129406,,0.0,0,,RPQNMLMJLHLGFIF38CB,荷蘊煦,A3棟5號,
新莊區,房地(土地+建物)+車位,新北市新莊區福美街62巷,25.49,住,,,1150301,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.87,3,2,2,有,無,29260000,228091,坡道平面,42.11,2400000,,RPWNMLOJLHLGFBF48CB,福美富琚,C棟10F號,
三重區,房地(土地+建物),新北市三重區大同南路172巷,14.64,住,,,1150303,土地5建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.88,2,2,1,有,無,17080000,240971,,0.0,0,,RPPNMLOJLHLGFGF28CB,圓富ONE,A5棟06號,
三重區,房地(土地+建物),新北市三重區大同南路172巷,14.64,住,,,1150303,土地5建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.88,2,2,1,有,無,17130000,241676,,0.0,0,,RPQNMLOJLHLGFGF38CB,圓富ONE,A5棟07號,
三重區,房地(土地+建物),新北市三重區大同南路172巷,14.64,住,,,1150303,土地5建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.88,2,2,1,有,無,17080000,240971,,0.0,0,,RPRNMLOJLHLGFGF48CB,圓富ONE,A6棟06號,
三重區,房地(土地+建物)+車位,新北市三重區大同南路172巷,17.31,住,,,1150303,土地5建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.65,2,2,2,有,無,22400000,239846,坡道平面,30.68,2500000,,RPSNMLOJLHLGFGF58CB,圓富ONE,A2棟09號,
三重區,房地(土地+建物)+車位,新北市三重區大同南路172巷,22.96,住,,,1150303,土地5建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.9,3,2,2,有,無,28900000,236584,坡道平面,35.58,2800000,,RPTNMLOJLHLGFGF68CB,圓富ONE,A7棟08號,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段45號旁,26.81,住,,,1150304,土地7建物1車位2,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.25,3,1,2,有,無,26880000,156170,坡道平面,58.62,3200000,,RPPNMLOJLHLGFEF18DB,水美慕河,C棟9號,
