編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLOJLHLGFGF48CB,大同南段,13.23,都市：住,1000000,8814,持分移轉,13850000
RPRNMLOJLHLGFGF48CB,大同南段,.31,都市：住,1000000,8814,持分移轉,13860000
RPRNMLOJLHLGFGF48CB,大同南段,.50,都市：住,1000000,8814,持分移轉,13870000
RPRNMLOJLHLGFGF48CB,大同南段,.54,都市：住,1000000,8814,持分移轉,13880000
RPRNMLOJLHLGFGF48CB,大同南段,.06,都市：住,1000000,8814,持分移轉,14690001
RPSNMLSJLHLGFBF48CB,新工段二小段,12.46,非都市：工業區 ; 非都市編定：丁種建築用地,33000,541,持分移轉,00460000
RPPNMLPJLHLGFDF08CB,保安段,97.47,都市：其他:乙種工業區,100000,1630,持分移轉,05090003
RPRNMLTJLHLGFBF48CB,中泰段,10.87,都市：住,100000,1331,持分移轉,04710000
RPRNMLTJLHLGFBF48CB,中泰段,.70,都市：住,100000,1331,持分移轉,04770001
RPTNMLOJLHLGFGF68CB,大同南段,20.74,都市：住,1000000,13818,持分移轉,13850000
RPTNMLOJLHLGFGF68CB,大同南段,.49,都市：住,1000000,13818,持分移轉,13860000
RPTNMLOJLHLGFGF68CB,大同南段,.79,都市：住,1000000,13818,持分移轉,13870000
RPTNMLOJLHLGFGF68CB,大同南段,.85,都市：住,1000000,13818,持分移轉,13880000
RPTNMLOJLHLGFGF68CB,大同南段,.09,都市：住,1000000,13818,持分移轉,14690001
RPUNMLTJLHLGFBF78CB,泰林段,2.59,都市：住,100000,700,持分移轉,02710000
RPUNMLTJLHLGFBF78CB,泰林段,.01,都市：住,100000,700,持分移轉,02710001
RPUNMLTJLHLGFBF78CB,泰林段,.50,都市：住,100000,700,持分移轉,02720000
RPUNMLTJLHLGFBF78CB,泰林段,.11,都市：住,100000,700,持分移轉,02730000
RPUNMLTJLHLGFBF78CB,泰林段,.84,都市：住,100000,700,持分移轉,02740000
RPUNMLTJLHLGFBF78CB,泰林段,.11,都市：住,100000,700,持分移轉,02750000
RPUNMLTJLHLGFBF78CB,泰林段,.16,都市：住,100000,700,持分移轉,02760000
RPUNMLTJLHLGFBF78CB,泰林段,.49,都市：住,100000,700,持分移轉,02770000
RPUNMLTJLHLGFBF78CB,泰林段,.10,都市：商,100000,700,持分移轉,02780000
RPUNMLTJLHLGFBF78CB,泰林段,1.96,都市：商,100000,700,持分移轉,02790000
RPQNMLMJLHLGFIF38CB,東園段,27.19,,100000,5760,持分移轉,02030000
RPUNMLTJLHLGFBF78CB,泰林段,.75,都市：商,100000,700,持分移轉,02820000
RPQNMLMJLHLGFIF38CB,東園段,1.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5760,持分移轉,02020000
RPUNMLTJLHLGFBF78CB,泰林段,.67,都市：商,100000,700,持分移轉,02830000
RPUNMLTJLHLGFBF78CB,泰林段,.96,都市：商,100000,700,持分移轉,02840000
RPUNMLTJLHLGFBF78CB,泰林段,1.59,都市：商,100000,700,持分移轉,02850000
RPUNMLTJLHLGFBF78CB,泰林段,1.60,都市：商,100000,700,持分移轉,02860000
RPUNMLTJLHLGFBF78CB,泰林段,.06,都市：商,100000,700,持分移轉,03710000
RPUNMLTJLHLGFBF78CB,泰林段,2.18,都市：商,100000,700,持分移轉,03780000
RPUNMLTJLHLGFBF78CB,泰林段,3.24,都市：住,100000,700,持分移轉,03810000
RPUNMLTJLHLGFBF78CB,泰林段,.03,都市：住,100000,700,持分移轉,03810001
RPWNMLOJLHLGFBF48CB,中原段,25.49,都市：住,100000,1264,持分移轉,01560000
RPSNMLMJLHLGFBF87CB,中泰段,2.25,都市：住,100000,581,持分移轉,04820000
RPSNMLMJLHLGFBF87CB,中泰段,1.50,都市：住,100000,581,持分移轉,04830000
RPSNMLMJLHLGFBF87CB,中泰段,4.09,都市：住,100000,581,持分移轉,04840000
RPSNMLMJLHLGFBF87CB,中泰段,4.18,都市：住,100000,581,持分移轉,04850000
RPSNMLOJLHLGFGF58CB,大同南段,15.64,都市：住,1000000,10417,持分移轉,13850000
RPSNMLOJLHLGFGF58CB,大同南段,.37,都市：住,1000000,10417,持分移轉,13860000
RPSNMLOJLHLGFGF58CB,大同南段,.59,都市：住,1000000,10417,持分移轉,13870000
RPSNMLOJLHLGFGF58CB,大同南段,.64,都市：住,1000000,10417,持分移轉,13880000
RPSNMLOJLHLGFGF58CB,大同南段,.07,都市：住,1000000,10417,持分移轉,14690001
RPTNMLTJLHLGFBF68CB,中泰段,2.25,都市：住,100000,581,持分移轉,04820000
RPTNMLTJLHLGFBF68CB,中泰段,1.50,都市：住,100000,581,持分移轉,04830000
RPTNMLTJLHLGFBF68CB,中泰段,4.09,都市：住,100000,581,持分移轉,04840000
RPTNMLTJLHLGFBF68CB,中泰段,4.18,都市：住,100000,581,持分移轉,04850000
