編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLSJLHLGFBF48CB,坡道機械,1200000,6.94,地下一樓
RPPNMLPJLHLGFDF08CB,坡道平面,1600000,24.28,地下一樓
RPPNMLPJLHLGFDF08CB,坡道平面,1600000,24.28,地下一樓
RPTNMLOJLHLGFGF68CB,坡道平面,2800000,35.58,地下二樓
RPUNMLTJLHLGFBF78CB,坡道平面,2450000,38.52,地下三樓
RPWNMLOJLHLGFBF48CB,坡道平面,2400000,42.11,地下三樓
RPSNMLMJLHLGFBF87CB,坡道平面,2400000,29.80,地下四樓
RPSNMLOJLHLGFGF58CB,坡道平面,2500000,30.68,地下三樓
RPPNMLTJLHLGFEF58CB,坡道平面,1850000,27.41,地下二樓
RPTNMLTJLHLGFEF98CB,坡道平面,1480000,23.19,地下二樓
RPRNMLTJLHLGFEF78CB,坡道平面,2300000,37.91,地下二樓
RPSNMLTJLHLGFEF88CB,坡道平面,1400000,23.19,地下三樓
RPUNMLTJLHLGFEF09CB,坡道平面,1540000,23.19,地下三樓
RPPNMLTJLHLGFHF88CB,坡道平面,2850000,31.87,地下二樓
RPSNMLTJLHLGFAF48CB,坡道平面,2900000,30.00,地下二樓
RPRNMLTJLHLGFAF38CB,坡道平面,2400000,30.00,地下四樓
RPQNMLTJLHLGFAF28CB,坡道平面,2550000,30.00,地下五樓含以下
RPPNMLTJLHLGFAF18CB,坡道平面,2900000,18.48,地下二樓
RPRNMLKKLHLGFAF57CB,坡道平面,2800000,26.30,地下一樓
RPRNMLKKLHLGFAF57CB,坡道平面,2650000,26.30,地下一樓
RPRNMLKKLHLGFAF57CB,坡道平面,2250000,26.30,地下三樓
RPRNMLKKLHLGFAF57CB,坡道平面,2250000,26.30,地下三樓
RPRNMLKKLHLGFAF57CB,坡道平面,2250000,26.30,地下三樓
RPRNMLKKLHLGFAF57CB,坡道平面,2250000,26.30,地下三樓
RPRNMLTJLHLGFHF09CB,坡道平面,2650000,31.87,地下四樓
RPSNMLTJLHLGFHF56CB,坡道平面,2450000,31.87,地下四樓
RPQNMLTJLHLGFHF98CB,坡道平面,2100000,31.87,地下五樓含以下
RPPNMLKKLHLGFBF47CB,坡道平面,2550000,32.99,地下四樓
RPQNMLKKLHLGFBF57CB,坡道平面,2550000,32.99,地下四樓
RPUNMLKKLHLGFAF87CB,坡道平面,2000000,28.95,地下四樓
RPVNMLKKLHLGFAF97CB,坡道平面,2000000,28.95,地下四樓
RPVNMLKKLHLGFAF97CB,坡道平面,1850000,28.95,地下五樓含以下
RPRNMLKKLHLGFBF67CB,坡道平面,2450000,26.89,地下四樓
RPPOMLTJLHLGFCF48CB,坡道平面,2100000,26.34,地下五樓含以下
RPOOMLTJLHLGFCF38CB,坡道平面,2100000,26.34,地下五樓含以下
RPQOMLTJLHLGFCF58CB,坡道平面,2600000,26.34,地下四樓
RPTNMLTJLHLGFCF78CB,坡道平面,2650000,26.34,地下三樓
RPWNMLTJLHLGFCF09CB,坡道平面,2500000,26.34,地下四樓
RPQNMLKKLHLGFCF67CB,坡道平面,2700000,27.73,地下五樓含以下
RPPNMLKKLHLGFIF18CB,坡道平面,2180000,34.51,地下四樓
RPVNMLTJLHLGFCF98CB,坡道平面,2900000,26.34,地下二樓
RPPNMLLKLHLGFCF67CB,坡道平面,2900000,21.47,地下二樓
RPRNMLLKLHLGFEF08CB,坡道平面,2200000,33.05,地下一樓
RPUNMLLKLHLGFEF38CB,坡道平面,2250000,31.57,地下三樓
RPRNMLMKLHLGFHF48CB,升降機械,1800000,5.29,地下二樓
RPTNMLTJLHLGFHF66CB,坡道平面,2400000,28.30,地下五樓含以下
RPTNMLNKLHLGFBF18CB,坡道平面,2010000,31.89,地下二樓
RPPNMLLKLHLGFHF18CB,坡道平面,3000000,25.31,地下四樓
RPPNMLNKLHLGFBF77CB,坡道機械,1300000,20.42,地下五樓含以下
RPUNMLTJLHLGFHF76CB,坡道平面,2500000,28.30,地下五樓含以下
RPTNMLNKLHLGFEF48CB,坡道平面,1550000,24.94,地下二樓
RPQNMLPKLHLGFBF08CB,坡道平面,2900000,16.72,地下二樓
RPSNMLNKLHLGFEF38CB,坡道平面,2050000,42.75,地下二樓
RPVNMLQKLHLGFBF68CB,坡道機械,1250000,6.94,地下一樓
RPRNMLQKLHLGFBF28CB,坡道機械,1400000,6.94,地下一樓
RPQNMLQKLHLGFCF28CB,坡道平面,2200000,26.34,地下五樓含以下
RPPNMLNKLHLGFHF38CB,坡道平面,3000000,25.31,地下四樓
RPTNMLQKLHLGFBF48CB,坡道機械,1650000,6.94,地下一樓
RPRNMLQKLHLGFDF48CB,坡道平面,2450000,28.22,地下三樓
RPSNMLQKLHLGFDF58CB,坡道平面,2200000,28.22,地下四樓
RPSNMLQKLHLGFHF98CB,坡道平面,3000000,34.85,地下三樓
RPPNMLSKLHLGFAF18CB,坡道平面,3250000,27.55,地下三樓
RPRNMLQKLHLGFHF88CB,坡道平面,3100000,30.00,地下三樓
RPSNMLTKLHLGFBF68CB,坡道平面,2100000,26.24,地下五樓含以下
RPTNMLSKLHLGFAF58CB,坡道平面,3250000,27.55,地下三樓
RPTNMLTKLHLGFBF78CB,坡道平面,2400000,26.24,地下四樓
RPXNMLTKLHLGFBF56CB,坡道平面,2200000,25.76,地下二樓
RPQNMLLLLHLGFEF08CB,坡道平面,1650000,31.48,地下三樓
RPSNMLTKLHLGFEF98CB,坡道平面,2200000,32.67,地下四樓
