鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
淡水區,租賃房屋,新北市淡水區鄧公路３１巷２２號,0.0,,,,1150301,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780707,98.28,3,1,2,有,無,無,12000,122,,0.0,0,水電費 瓦斯費 由承租人負擔,RPRNMLLJLHLGFEF08CC,整棟(戶)出租,無,1150301~1160228,無,熱水器,社會住宅代管
板橋區,租賃房屋+車位,新北市板橋區合宜路１號１９樓之２,0.0,,,,1150301,土地0建物1車位1,十九層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070104,183.54000000000002,3,2,2,有,有,無,34000,185,坡道平面,31.65,0,,RPPNMLMJLHLGFAF57CC,整棟(戶)出租,有,1150309~1160308,有,冷氣、熱水器、瓦斯或天然氣,
新莊區,租賃房屋,新北市新莊區建安街９２巷２１號三樓,0.0,,,,1150302,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810826,90.0,3,1,1,有,有,無,22000,244,,0.0,0,,RPWNMLMJLHLGFBF38CC,整棟(戶)出租,有,1150409~1160408,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新店區,租賃房屋,新北市新店區永平街４號,0.0,,,,1150301,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0681022,86.31,0,0,0,無,無,無,29000,336,,0.0,0,租賃期間有約定不同租金115年03月10日至115年3月31日為免租裝修期，115年04月01日至117年03月31日每月租金為29000元實拿，?此期間已扣除租賃所得稅3300元，二代健保696元。；,RPQNMLMJLHLGFCF87CC,,無,1150310~1170331,無,,
汐止區,租賃房屋,新北市汐止區樟樹一路１巷２號１１樓,0.0,,,,1150301,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870418,67.97999999999999,3,2,1,有,有,有,26000,382,,0.0,0,多人共同承租2；租金總額含管理費；,RPUNMLMJLHLGFDF38CC,整棟(戶)出租,有,1150310~1160309,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
淡水區,租賃房屋,新北市淡水區學府路１２８巷６號４樓之１,0.0,,,,1150301,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800314,31.21,1,0,1,有,有,有,9000,288,,0.0,0,租金總額含管理費；,RPXOMLMJLHLGFEF88CC,獨立套房,有,1150310~1160309,無,冷氣、熱水器、洗衣機、電視機、冰箱,
土城區,租賃房屋,新北市土城區學府路一段２５６巷４弄９號四樓,0.0,,,,1150302,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741016,80.79,3,2,1,有,無,有,15000,186,,0.0,0,,RPOOMLNJLHLGFAF67CC,整棟(戶)出租,無,1150331~1180330,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
新莊區,租賃房屋,新北市新莊區新莊路２２９號１２樓,0.0,,,,1150301,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870615,72.64,1,1,1,有,有,有,21000,289,,0.0,0,管理費：2000元，租金不含管理費，承租人負擔。,RPROMLNJLHLGFBF08CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
新莊區,租賃房屋,新北市新莊區天祥街４７巷２８號４樓,0.0,,,,1150301,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,24.72,3,2,2,有,無,有,18600,752,,0.0,0,,RPVPMLNJLHLGFBF58CC,分租套房,無,1150310~1151009,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
