編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLNJLHLGFAF67CC,40,80.79,住家用,鋼筋混凝土造,74年10月16日,五層,,
RPPNMLMJLHLGFAF57CC,8,106.95,集合住宅,鋼筋混凝土造,107年1月4日,二十二層,,
RPPNMLMJLHLGFAF57CC,8,44.94,本共有部分之項目有：泵浦室、水箱、機房、電樓梯間、排煙室、儲藏室、廁所、消防泵浦室、污水機房、電錶室、停車空間、機房機坑、電梯間、台電配電室（Ａ、Ｂ、Ｃ、Ｄ、Ｅ、Ｆ、Ｇ、Ｈ、Ｉ）、電氣室、緊急發電機室、儲槽專用室、資源回收室、垃圾車暫停區、防災中心、電信機房、訪客臨停區、防空避難室、女廁、男廁、管理室、梯廳、管委會、梯間、機車車道、警衛室、門廊、管委會使用空間、陽台、雨遮、中繼水箱、水錶室、樓梯間、電梯機房、受電箱室等４０項。,鋼筋混凝土造,107年1月4日,二十四層,,
RPPNMLMJLHLGFAF57CC,8,31.65,本共有部分項目有：防空避難室兼停車空間、停車空間、汽車車道等３項。,鋼筋混凝土造,107年1月4日,二十四層,,
RPXOMLNJLHLGFEF98CC,13,46.24,住家用,鋼筋混凝土造,101年11月21日,十四層,,
RPXOMLNJLHLGFEF98CC,13,23.73,本建物共有項目有：梯廳、機房、樓梯、防空避難室兼停車空間垃圾車暫停車位、水箱、污水機房、發電機房、消房機房、電信機房、緊急升降機間、景觀設施機房，防空避難室兼停車空間及供公眾使用停車空間，機車停車空間，垃圾儲存空間、台電配電場所、受電箱、社區中心、走廊、管理員室、大廳、停車空間、停獎專用梯、機械室、屋頂水箱、電梯機房等２６項,鋼筋混凝土造,101年11月21日,十四層,,
RPRNMLLJLHLGFEF08CC,37,86.08,住家用,鋼筋混凝土造,78年7月7日,五層,,
RPRNMLLJLHLGFEF08CC,37,12.20,共有部分,鋼筋混凝土造,78年7月7日,,,
RPTNMLNJLHLGFDF38CC,34,42.08,住家用,鋼筋混凝土造,81年7月3日,十層,,
RPVNMLNJLHLGFDF58CC,30,24.83,住家用,鋼骨鋼筋混凝土造,85年7月10日,二十四層,,
RPVNMLNJLHLGFDF58CC,30,4.80,配電室、停車空間、停車空間兼防空避難室、開放空間、門廳、電樓梯間、中繼水箱、消防水池、水錶室、屋頂突出物,鋼骨鋼筋混凝土造,85年7月10日,二十四層,,
RPQNMLMJLHLGFCF87CC,46,86.31,商業用,鋼筋混凝土造,68年10月22日,四層,,
RPTNMLNJLHLGFHF78CC,28,67.13,住家用,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPTNMLNJLHLGFDF38CC,34,4.71,共有部分,鋼筋混凝土造,81年7月3日,十層,,
RPTNMLNJLHLGFHF78CC,28,2.38,共有部分,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPTNMLNJLHLGFDF38CC,34,5.98,共有部分,鋼筋混凝土造,81年7月3日,十層,,
RPTNMLNJLHLGFHF78CC,28,16.02,共有部分,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPTNMLNJLHLGFHF78CC,28,.84,共有部分,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPWNMLNJLHLGFGF98CC,48,15.00,住家用,鋼筋混凝土造,67年1月7日,四層,,
RPXNMLNJLHLGFIF66CC,4,51.56,集合住宅,鋼筋混凝土造,111年8月2日,十二層,,
