編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMJLHLGFAF57CC,坡道平面,0,31.65,地下二樓
RPTNMLNJLHLGFGF68CC,坡道平面,3000,37.81,地下二樓
RPSNMLOJLHLGFEF48CC,坡道平面,0,30.46,地下三樓
RPPNMLOJLHLGFEF18CC,坡道平面,0,25.44,地下一樓
RPQPMLOJLHLGFEF48CC,坡道平面,0,41.27,地下四樓
RPTOMLPJLHLGFBF48CC,坡道平面,3000,28.32,地下一樓
RPSOMLQJLHLGFBF48CC,坡道平面,300,27.05,地下二樓
RPWNMLOJLHLGFBF58CC,坡道平面,3000,34.60,地下二樓
RPQOMLQJLHLGFGF78CC,坡道平面,2000,31.67,地下二樓
RPPNMLRJLHLGFBF18CC,坡道平面,3500,25.34,地下三樓
RPSOMLQJLHLGFGF98CC,坡道平面,2000,31.67,地下二樓
RPQOMLRJLHLGFBF38CC,坡道平面,3000,19.29,地下一樓
RPRNMLSJLHLGFBF48CC,坡道平面,0,48.24,地下三樓
RPQNMLRJLHLGFEF58CC,坡道平面,0,34.83,地下二樓
RPSNMLRJLHLGFEF78CC,坡道平面,0,30.46,地下三樓
RPUNMLRJLHLGFEF98CC,坡道平面,3000,30.80,地下三樓
RPSNMLSJLHLGFBF58CC,坡道平面,0,25.65,地下三樓
RPSNMLSJLHLGFBF58CC,坡道平面,0,25.65,地下三樓
RPWNMLTJLHLGFAF98CC,坡道平面,4000,17.68,地下三樓
RPQNMLTJLHLGFBF48CC,坡道平面,3000,34.72,地下一樓
RPUNMLTJLHLGFDF09CC,坡道平面,0,,地下二樓
RPVNMLTJLHLGFDF56CC,坡道平面,0,27.87,地下三樓
RPXNMLTJLHLGFBF56CC,坡道平面,3000,24.18,地下二樓
RPRNMLTJLHLGFGF09CC,坡道平面,0,31.00,地下五樓含以下
RPWOMLTJLHLGFEF86CC,坡道平面,1000,30.10,地下二樓
RPXNMLTJLHLGFIF27CC,坡道平面,0,36.82,地下三樓
RPOOMLTJLHLGFIF09CC,坡道平面,3000,44.31,地下二樓
RPUNMLKKLHLGFBF08CC,坡道平面,0,20.64,地下五樓含以下
RPROMLKKLHLGFBF87CC,坡道平面,0,29.99,地下一樓
RPROMLKKLHLGFBF87CC,坡道平面,0,29.99,地下一樓
RPROMLKKLHLGFBF87CC,坡道平面,0,29.99,地下一樓
RPWOMLKKLHLGFBF38CC,坡道平面,0,,地下一樓
RPSOMLKKLHLGFBF97CC,坡道平面,0,29.99,地下二樓
RPSOMLKKLHLGFBF97CC,坡道平面,0,29.99,地下二樓
RPSOMLKKLHLGFBF97CC,坡道平面,0,29.99,地下二樓
RPRNMLKKLHLGFEF08CC,坡道平面,0,32.39,地下二樓
RPTNMLKKLHLGFEF28CC,坡道平面,3000,,地下二樓
RPVNMLKKLHLGFEF48CC,坡道平面,0,36.51,地下三樓
RPQNMLKKLHLGFGF18CC,升降機械,3000,4.83,地下四樓
RPROMLKKLHLGFIF58CC,坡道平面,2500,29.73,地下三樓
RPTNMLLKLHLGFBF08CC,坡道平面,3000,37.97,地下三樓
RPXOMLLKLHLGFBF58CC,升降機械,0,11.90,地下二樓
RPTNMLLKLHLGFDF28CC,坡道平面,3000,23.03,地下五樓含以下
RPRNMLLKLHLGFEF18CC,坡道平面,0,25.47,地下三樓
RPXNMLLKLHLGFDF68CC,坡道平面,0,37.13,地下四樓
RPVNMLLKLHLGFEF58CC,坡道機械,0,24.21,地下三樓
RPSOMLLKLHLGFEF38CC,坡道平面,0,32.65,地下三樓
RPVOMLLKLHLGFGF88CC,坡道平面,4000,19.91,地下二樓
RPROMLLKLHLGFEF28CC,坡道平面,0,28.14,地下二樓
RPXNMLLKLHLGFIF56CC,坡道機械,2950,,地下二樓
RPQNMLLKLHLGFIF48CC,坡道機械,2000,10.79,地下二樓
RPOOMLMKLHLGFBF77CC,坡道平面,3000,,地下四樓
RPUNMLMKLHLGFCF38CC,坡道平面,0,,地下一樓
RPSNMLMKLHLGFEF38CC,升降機械,0,,地下二樓
RPTNMLNKLHLGFAF18CC,坡道平面,0,38.31,地下二樓
RPUNMLNKLHLGFAF28CC,坡道平面,0,38.31,地下二樓
RPRPMLNKLHLGFBF28CC,坡道平面,3000,25.50,地下一樓
RPOPMLNKLHLGFBF97CC,坡道平面,5000,28.56,地下三樓
RPTNMLNKLHLGFDF48CC,坡道平面,0,47.26,地下一樓
RPXNMLNKLHLGFGF56CC,坡道平面,0,31.67,地下二樓
RPVNMLNKLHLGFGF98CC,坡道平面,0,31.67,地下二樓
RPPOMLNKLHLGFGF48CC,坡道平面,3500,35.68,地下二樓
RPQOMLNKLHLGFGF58CC,坡道平面,0,26.99,地下二樓
RPQNMLPKLHLGFEF48CC,坡道平面,0,31.91,地下二樓
