鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三星鄉,土地,集慶段31-1地號,61.84,工,,,1150317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,21022,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPXNMLPLLHLGFAG88DA,0.0,0.0,0.0,無,
頭城鎮,土地,更新段943地號,6.79,都市：其他:景觀保護區,,,1150319,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,58910,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLRLLHLGFBG88DA,0.0,0.0,0.0,無,001
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路１８７號六樓之九,6.77,住,,,1150321,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880709,42.97,1,0,1,有,有,2500000,58180,,0.0,0,,RPUOMLRLLHLGFBG98DA,21.41,0.0,2.6,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉公園路１１５號三樓之六,13.18,住,,,1150317,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020611,69.14,1,1,1,有,有,6300000,91119,,0.0,0,,RPPNMLTLLHLGFBG58DA,36.94,0.84,2.46,有,002
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉和平路４０巷２２之２號六樓,10.06,住,,,1150309,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860513,46.19,1,1,1,有,有,2800000,60619,,0.0,0,其他增建:陽台加窗陽台外推；其他增建；,RPQNMLTLLHLGFBG68DA,28.55,0.0,5.27,有,
頭城鎮,土地,新福成段393-3地號,172.29,,特定農業區,甲種建築用地,1150322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2370000,13756,,0.0,0,親友關係為堂兄弟間之交易親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLLMLHLGFBG18DA,0.0,0.0,0.0,無,
三星鄉,房地(土地+建物),宜蘭縣三星鄉義德二路１９９號四樓之３,41.3,住,,,1150308,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土（ＲＣ）,1140616,87.28999999999999,2,2,2,有,有,5500000,63008,,0.0,0,,RPPOMLPLLHLGFAG18DA,60.84,0.0,5.1,有,
南澳鄉,土地,伊柚段671地號,9990.89,,山坡地保育區,林業用地,1150309,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,630000,63,,0.0,0,原住民保留地南澳鄉伊柚段135149671地號,RPXNMLQLLHLGFAG98DA,0.0,0.0,0.0,無,
羅東鎮,土地,公正段1459-1地號,23.0,都市：其他:道路用地,,,1150309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,195652,,0.0,0,,RPQNMLLMLHLGFAG87DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市健康路二段４９巷２號,69.62,商,,,1150314,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0640317,80.96,5,0,2,有,無,7200000,88933,,0.0,0,,RPPNMLOKLHLGFBG97DA,80.96,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東津路１０５巷７號,117.07,,特定農業區,甲種建築用地,1150303,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830517,174.3,5,2,3,有,無,8800000,50488,,0.0,0,增建部分:頂樓、一樓增建沿著加蓋其他增建；,RPQNMLQLLHLGFBG38DA,138.63,20.36,15.31,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉奇立丹路１９５巷２弄１６號三樓,10.01,,特定農業區,甲種建築用地,1150312,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840413,46.99,1,1,1,有,有,2000000,42562,,0.0,0,,RPQNMLLMLHLGFBG97DA,27.29,0.0,3.9,有,003
員山鄉,土地,外員段521地號,467.46,農,,,1150327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1410000,3016,,0.0,0,,RPPNMLLJMHLGFBG67DA,0.0,0.0,0.0,無,
五結鄉,土地,福興段445地號,1729.61,,特定農業區,農牧用地,1150319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15000000,8672,,0.0,0,,RPPNMLLMLHLGFAG87EA,0.0,0.0,0.0,無,
頭城鎮,土地,石城段80-4地號,18.32,住,,,1150317,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,235561,12858,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLMLHLGFBG97EA,0.0,0.0,0.0,無,004
蘇澳鎮,土地,慶安段310-5地號,965.5,住,,,1150302,土地14建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11098000,11495,,0.0,0,具重建或重劃、都更等效益；,RPRNMLLMLHLGFAG08EA,0.0,0.0,0.0,無,
五結鄉,房地(土地+建物),宜蘭縣五結鄉協福路５８號八樓,32.18,,特定農業區,甲種建築用地,1150316,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840215,94.39,2,2,2,有,有,3500000,37080,,0.0,0,,RPPNMLRKLHLGFAG18DA,59.99,5.91,0.0,有,
五結鄉,房地(土地+建物),宜蘭縣五結鄉中正路二段３１巷２之１號四樓,16.35,住,,,1150310,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840327,36.9,1,1,1,有,無,2400000,65041,,0.0,0,陽台外推；其他增建；,RPQNMLKMLHLGFAG77DA,28.28,0.0,4.4,無,005
五結鄉,房地(土地+建物),宜蘭縣五結鄉舊街一路５３巷１７號,88.6,住,,,1150316,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0730118,110.91,5,2,2,有,無,5500000,49590,,0.0,0,其他增建；,RPXNMLLMLHLGFAG58DA,110.91,0.0,0.0,無,
壯圍鄉,房地(土地+建物)+車位,宜蘭縣壯圍鄉大福路三段３３８巷２８弄１３號四樓之二,101.3,,特定農業區,農牧用地,1150302,土地2建物1車位1,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141013,63.31999999999999,2,1,1,有,有,5750000,90809,坡道平面,0.0,0,,RPQNMLNJLHLGFBG87DA,40.38,0.0,3.85,有,006
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路１７４號二樓之四,7.36,住,,,1150317,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820330,36.97,1,0,1,有,有,2350000,63565,,0.0,0,增建：鐵鋁窗增設其他增建；,RPSOMLOLLHLGFBG48DA,21.13,0.0,1.88,有,
員山鄉,房地(土地+建物),宜蘭縣員山鄉金泰路２９９巷８弄１５號,93.74,住,,,1150304,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000831,171.76,4,2,3,有,無,12600000,73358,,0.0,0,增建範圍：一樓空地。,RPUOMLLMLHLGFBG48DA,160.31,0.0,11.45,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權新路１巷７之３號,37.52,住,,,1150311,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690206,94.98,3,2,2,有,無,4550000,47905,,0.0,0,,RPTNMLLJMHLGFBG08DA,94.98,0.0,0.0,無,007
