編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTLLHLGFBG58DA,13,40.24,集合住宅,鋼筋混凝土造,102年6月11日,七層,三層 陽台 雨遮,全筆移轉
RPPNMLTLLHLGFBG58DA,13,28.90,本共有部分之項目有：停車空間、公共服務空間、樓梯間、水箱、機房等五項。,鋼筋混凝土造,102年6月11日,七層,,持分移轉
RPQNMLNJLHLGFBG87DA,,44.23,集合住宅,鋼筋混凝土造,114年10月13日,四層,四層 陽台,全筆移轉
RPQNMLNJLHLGFBG87DA,,19.09,本共有部分之項目有：停車空間、樓梯、電梯間等３項,鋼筋混凝土造,114年10月13日,四層,,持分移轉
RPPNMLOKLHLGFBG97DA,51,80.96,住家用,鋼筋混凝土加強磚造,64年3月17日,二層,一層 二層,全筆移轉
RPUOMLRLLHLGFBG98DA,27,24.01,住家用,鋼筋混凝土造,88年7月9日,八層,六層 陽台,全筆移轉
RPUOMLRLLHLGFBG98DA,27,11.04,共有部份,鋼筋混凝土造,88年7月9日,八層,,持分移轉
RPUOMLRLLHLGFBG98DA,27,7.92,共有部份,鋼筋混凝土造,88年7月9日,八層,,持分移轉
RPQNMLLMLHLGFBG97DA,31,31.19,住家用,鋼筋混凝土造,84年4月13日,六層,三層 陽台,全筆移轉
RPQNMLLMLHLGFBG97DA,31,7.97,共有部份,鋼筋混凝土造,84年4月13日,六層,,持分移轉
RPQNMLLMLHLGFBG97DA,31,7.82,共有部份,鋼筋混凝土造,84年4月13日,六層,,持分移轉
RPQNMLQLLHLGFBG38DA,32,174.30,住家用,鋼筋混凝土造,83年5月17日,三層,一層 二層 三層 陽台 平台 見其他登記事項,全筆移轉
RPPNMLMJMHLGFBG87EA,24,96.33,住家用,鋼筋混凝土造,91年4月11日,四層,一層 二層 三層 四層 陽台 雨遮,持分移轉
RPSOMLOLLHLGFBG48DA,33,23.01,住家用,鋼筋混凝土造,82年3月30日,七層,二層 陽台,全筆移轉
RPSOMLOLLHLGFBG48DA,33,13.96,共有部份,鋼筋混凝土造,82年3月30日,七層,,持分移轉
RPRNMLMJMHLGFBG08EA,31,25.20,共有部份,鋼筋混凝土造,83年12月17日,八層,,持分移轉
RPRNMLMJMHLGFBG08EA,31,31.33,住家用,鋼筋混凝土造,83年12月17日,八層,二層,全筆移轉
RPTNMLLJMHLGFBG08DA,46,94.98,住家用,鋼筋混凝土造,69年2月6日,四層,四層,全筆移轉
RPSNMLLJMHLGFBG97DA,49,112.08,住商用,鋼筋混凝土加強磚造,65年12月8日,二層,一層 二層,全筆移轉
RPUOMLLMLHLGFBG48DA,15,171.76,住宅、樓梯間,鋼筋混凝土造,100年8月31日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQQMLLJMHLGFBG08DA,,30.74,住家用,木造,,一層,一層,全筆移轉
RPSNMLMJMHLGFBG08DA,9,123.33,集合住宅,鋼筋混凝土造,106年7月24日,九層,八層 陽台 雨遮,全筆移轉
RPSNMLMJMHLGFBG08DA,9,156.20,本共有部分之項目有：附屬防空難室兼停車空間、附屬機電設備及樓電梯空間、附屬停車空間、附屬機電設備空間、附屬門廳、管委會使用空間、附屬樓梯間、消防水箱、附屬水箱、電梯機械室、梯廳及外廊等１３項,鋼筋混凝土造,106年7月24日,九層,,持分移轉
RPQNMLTLLHLGFBG68DA,29,33.82,住家用,鋼筋混凝土造,86年5月13日,六層,六層 陽台,全筆移轉
RPQNMLTLLHLGFBG68DA,29,6.67,共有部份,鋼筋混凝土造,86年5月13日,六層,,持分移轉
RPQNMLTLLHLGFBG68DA,29,5.70,共有部份,鋼筋混凝土造,86年5月13日,六層,,持分移轉
RPPNMLRKLHLGFAG18DA,31,65.90,鄉村住宅,鋼筋混凝土造,84年2月15日,八層,八層 雨遮,全筆移轉
RPPNMLRKLHLGFAG18DA,31,28.49,防空避難室．樓梯間．通道．大廳．水箱．共同使用部份,鋼筋混凝土造,84年2月15日,八層,,持分移轉
RPUNMLMJLHLGFAG08DA,1,68.23,集合住宅,鋼筋混凝土（ＲＣ）,113年10月11日,四層,二層 陽台,全筆移轉
