編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTLLHLGFBG58DA,玉石段,13.18,都市：其他:住宅區,10000,56,持分移轉,05740000
RPPNMLLMLHLGFBG97EA,石城段,7.37,都市：其他:甲種住宅區,48,4,持分移轉,00800004
RPPNMLLMLHLGFBG97EA,石城段,3.61,都市：其他:甲種住宅區,12,1,持分移轉,00800005
RPPNMLLMLHLGFBG97EA,石城段,4.05,都市：其他:甲種住宅區,48,4,持分移轉,00800008
RPPNMLLMLHLGFBG97EA,石城段,3.29,都市：其他:甲種住宅區,48,4,持分移轉,00800009
RPQNMLNJLHLGFBG87DA,五美段,76.96,非都市：特定農業區 ; 非都市編定：農牧用地,210900,7696,持分移轉,03740000
RPQNMLNJLHLGFBG87DA,五美段,24.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,65000,2434,持分移轉,03750000
RPPNMLOKLHLGFBG97DA,金六結五段,69.62,都市：其他:商業區,1,1,全筆移轉,08030000
RPUNMLRLLHLGFBG88DA,更新段,1.71,都市：其他:景觀保護區,288,8,持分移轉,09390000
RPUNMLRLLHLGFBG88DA,更新段,5.08,都市：其他:甲種住宅區,288,8,持分移轉,09430000
RPUOMLRLLHLGFBG98DA,忠義段,6.77,都市：其他:住宅區,10000,132,持分移轉,07800001
RPSNMLLMLHLGFBG18DA,新福成段,172.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03930003
RPQNMLLMLHLGFBG97DA,德陽段,10.01,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,258,持分移轉,04000001
RPQNMLQLLHLGFBG38DA,凱旋一段,90.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07180000
RPQNMLQLLHLGFBG38DA,凱旋一段,26.32,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,07240000
RPPNMLLJMHLGFBG77EA,新二圍段,12.01,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06330000
RPPNMLMJMHLGFBG87EA,宜商段,43.49,都市：其他:住宅區,2,1,持分移轉,04080009
RPPNMLMJMHLGFBG87EA,宜商段,9.81,都市：其他:住宅區,56,1,持分移轉,04080017
RPPNMLMJMHLGFBG87EA,宜商段,2.50,都市：其他:住宅區,56,1,持分移轉,04080018
RPSOMLOLLHLGFBG48DA,五峰段,7.36,都市：其他:住宅區,30000,306,持分移轉,13200000
RPRNMLMJMHLGFBG08EA,五峰段,9.56,都市：其他:住宅區,206387,856,持分移轉,03450000
RPTNMLLJMHLGFBG08DA,坤門二段,6.33,都市：其他:住宅區,288,21,持分移轉,02420000
RPTNMLLJMHLGFBG08DA,坤門二段,1.68,都市：其他:住宅區,72,1,持分移轉,02460000
RPTNMLLJMHLGFBG08DA,坤門二段,24.07,都市：其他:住宅區,12,3,持分移轉,02480000
RPTNMLLJMHLGFBG08DA,坤門二段,2.71,都市：其他:住宅區,12,3,持分移轉,02490000
RPTNMLLJMHLGFBG08DA,坤門二段,2.73,都市：其他:住宅區,4,1,持分移轉,02530000
