編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNJLHLGFBG87DA,坡道平面,0,,一樓
RPSNMLMJMHLGFBG08DA,坡道平面,0,42.93,地下一樓
RPSNMLMJMHLGFBG08DA,坡道平面,0,42.93,地下一樓
RPUNMLMJLHLGFAG08DA,一樓平面,650000,8.25,一樓
RPVOMLLMLHLGFBG58DA,坡道平面,0,24.88,地下二樓
RPPPMLMJMHLGFAG87DA,一樓平面,0,,一樓
RPUOMLTKLHLGFAG98DA,一樓平面,0,,一樓
RPSOMLTKLHLGFAG78DA,一樓平面,0,,一樓
RPPNMLMJLHLGFBG67DA,一樓平面,0,,一樓
RPTNMLLJMHLGFAG97DA,一樓平面,0,,一樓
RPXNMLSJMHLGFBG56DA,坡道機械,0,,地下一樓
RPSNMLLJMHLGFAG87DA,一樓平面,0,,一樓
RPTOMLMJMHLGFAG18DA,一樓平面,0,,一樓
RPPNMLRJLHLGFAG08DA,坡道平面,0,,一樓
RPWOMLNKLHLGFAG58DA,一樓平面,1000000,24.66,一樓
RPTNMLRKLHLGFAG58DA,坡道平面,2250000,34.20,地下一樓
RPPPMLKKLHLGFAG67DA,坡道平面,900000,21.19,地下一樓
RPUNMLRKLHLGFAG68DA,坡道平面,1800000,31.43,地下三樓
RPROMLKKLHLGFAG77DA,坡道平面,900000,21.19,地下一樓
RPUOMLKKLHLGFAG08DA,坡道平面,850000,21.19,地下一樓
RPTOMLKKLHLGFAG97DA,坡道平面,900000,21.19,地下一樓
RPXOMLKKLHLGFAG38DA,坡道平面,900000,21.19,地下一樓
RPVOMLKKLHLGFAG18DA,坡道平面,900000,21.19,地下一樓
RPTNMLTKLHLGFAG78DA,坡道平面,1450000,14.88,一樓
RPUOMLQLLHLGFBG88DA,一樓平面,0,13.68,一樓
RPUOMLTJLHLGFAG88DA,坡道平面,850000,21.19,地下一樓
RPVOMLPJJHLGFAG38DA,坡道機械,0,,地下一樓
RPXOMLTJLHLGFAG56DA,坡道平面,950000,21.19,地下一樓
RPVOMLTJLHLGFAG98DA,坡道平面,850000,21.19,地下一樓
RPSNMLKKLHLGFAG77DA,坡道平面,850000,21.19,地下一樓
RPRPMLQKLHLGFBG58DA,一樓平面,0,13.68,一樓
RPPRMLQLLHLGFAG58DA,一樓平面,0,16.00,一樓
RPPQMLQLLHLGFAG48DA,一樓平面,0,16.00,一樓
RPWPMLQKLHLGFBG09DA,一樓平面,0,13.68,一樓
RPPPMLTKLHLGFAG58DA,坡道平面,1450000,14.88,一樓
RPPOMLSKLHLGFAG38DA,坡道平面,1350000,14.88,一樓
RPROMLTKLHLGFAG68DA,坡道平面,1350000,14.88,一樓
RPORMLQLLHLGFAG48DA,一樓平面,0,16.00,一樓
RPQPMLTKLHLGFAG68DA,坡道平面,1450000,14.88,一樓
RPQOMLKMLHLGFBG97DA,一樓平面,650000,10.33,一樓
RPUNMLTKLHLGFAG88DA,坡道平面,1350000,14.88,一樓
RPSOMLKMLHLGFBG18DA,一樓平面,650000,10.33,一樓
RPVNMLTKLHLGFAG98DA,坡道平面,1450000,14.88,一樓
RPSPMLKMLHLGFBG28DA,一樓平面,650000,10.33,一樓
RPTPMLKMLHLGFBG38DA,一樓平面,650000,10.33,一樓
RPQQMLKMLHLGFBG18DA,一樓平面,650000,10.33,一樓
RPSNMLRLLHLGFAG58DA,一樓平面,0,16.00,一樓
RPXNMLLMLHLGFBG68DA,一樓平面,650000,10.33,一樓
RPVOMLKMLHLGFBG48DA,一樓平面,650000,10.33,一樓
RPQPMLKMLHLGFBG08DA,一樓平面,650000,10.33,一樓
RPPPMLKMLHLGFBG97DA,一樓平面,650000,10.33,一樓
RPOPMLKMLHLGFBG87DA,一樓平面,650000,10.33,一樓
RPTNMLRLLHLGFAG68DA,一樓平面,0,16.00,一樓
RPXOMLKMLHLGFBG68DA,一樓平面,650000,10.33,一樓
RPOOMLTJLHLGFAG28DA,一樓平面,0,32.87,一樓
RPRNMLRLLHLGFAG48DA,一樓平面,0,16.00,一樓
RPVQMLOJLHLGFBG78DA,坡道平面,1350000,31.75,地下一樓
RPQRMLOJLHLGFBG38DA,坡道平面,1350000,31.75,地下一樓
RPXNMLNKLHLGFAG58DA,一樓平面,0,16.00,一樓
RPPQMLKMLHLGFBG08DA,一樓平面,650000,10.33,一樓
RPPOMLKMLHLGFBG87DA,一樓平面,650000,10.33,一樓
RPQRMLQLLHLGFAG68DA,一樓平面,0,16.00,一樓
RPXPMLKMLHLGFBG78DA,一樓平面,650000,10.33,一樓
RPWOMLOJLHLGFBG68DA,坡道平面,1350000,31.75,地下一樓
RPXOMLOJLHLGFBG78DA,一樓平面,1250000,31.75,一樓
