鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市聖後街66巷,26.68,住,,,1150301,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.32,2,2,2,有,無,12350000,143576,一樓平面,13.84,1800000,,RPPNMLNJLHLGFBG77CB,麗璟.東門風華2,1棟5C號,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉二結路,51.0,住,,,1150303,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.38,3,2,2,有,無,10600000,88221,一樓平面,19.83,1200000,,RPQNMLOJLHLGFAG87CB,夢想家園第五期,5F-A2號,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉珍珠三路,29.53,,特定農業區,甲種建築用地,1150305,土地1建物1車位1,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.0,2,2,2,有,無,6150000,80921,一樓平面,0.0,0,車位位於法定空地上面積13.75平方公尺,RPPNMLQJLHLGFAG97CB,博愛日日春,A棟1號,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉珍珠三路,33.04,,特定農業區,甲種建築用地,1150308,土地1建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.06,2,2,2,有,無,6160000,72419,,0.0,0,,RPPNMLTJLHLGFAG28CB,博愛日日春,A棟3a號,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉光明路,191.48,農,,,1150308,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.59,3,2,2,有,無,16180000,103327,,0.0,0,交易總價含義成二段301地號持分1/11新台幣參拾柒萬元整及義成二段299-4地號持分1/1新台幣肆拾壹萬元整,RPQNMLTJLHLGFAG38CB,旭川3,A棟2號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,83.31,,特定農業區,甲種建築用地,1150306,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,125.95,4,2,3,有,無,8750000,69472,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPUNMLTJLHLGFBG88CB,宗硯大砌系列18-透天,A棟1號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,80.31,,特定農業區,甲種建築用地,1150304,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.4,4,2,3,有,無,8680000,63636,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPQOMLTJLHLGFBG58CB,宗硯大砌系列18-透天,B棟2號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,81.31,,特定農業區,甲種建築用地,1150304,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.4,4,2,3,有,無,8680000,63636,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPROMLTJLHLGFBG68CB,宗硯大砌系列18-透天,B棟3號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,115.31,,特定農業區,甲種建築用地,1150306,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,132.14,4,2,3,有,無,8480000,64174,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPWOMLTJLHLGFBG56CB,宗硯大砌系列18-透天,C棟7號,
三星鄉,房地(土地+建物)+車位,宜蘭縣三星鄉大德中路,35.3,,特定農業區,甲種建築用地,1150307,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.21,2,2,2,有,無,6780000,71111,一樓平面,14.71,700000,,RPPNMLKKLHLGFAG47CB,丰野?哲隱五期,C棟1-3F號,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大洲二路,37.68,,特定農業區,甲種建築用地,1150305,土地3建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.5,2,2,2,有,無,6580000,78802,,0.0,0,大洲二段934、935、936地號等三筆土地於114年合併，合併後又進行分割。,RPQNMLKKLHLGFAG57CB,青豐,B棟B1-4F號,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮下埔路,93.64,,鄉村區,乙種建築用地,1150307,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.29,4,2,3,有,無,9980000,73226,,0.0,0,,RPPNMLKKLHLGFBG57CB,享享生活,A棟5號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,97.31,,特定農業區,甲種建築用地,1150301,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,132.74,4,2,3,有,無,8580000,64638,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPQNMLKKLHLGFBG67CB,宗硯大砌系列18-透天,D棟7號,
