編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLTJLHLGFBG68CB,壯志段,64.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200152
RPROMLTJLHLGFBG68CB,壯志段,12.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200153
RPROMLTJLHLGFBG68CB,壯志段,5.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,49,1,持分移轉,00200144
RPQNMLOJLHLGFAG87CB,鎮安段,51.00,都市：住,100000,6331,持分移轉,09760000
RPWOMLTJLHLGFBG56CB,壯志段,99.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200096
RPWOMLTJLHLGFBG56CB,壯志段,11.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200095
RPWOMLTJLHLGFBG56CB,壯志段,5.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,49,1,持分移轉,00200144
RPPNMLQJLHLGFAG97CB,珍珠一段,29.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2179,持分移轉,04770000
RPUOMLKKLHLGFBG18CB,新二圍段,25.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,628,持分移轉,08410000
RPUOMLKKLHLGFBG18CB,新二圍段,5.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,628,持分移轉,08410001
RPUOMLKKLHLGFBG18CB,新二圍段,.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,628,持分移轉,08410002
RPPNMLKKLHLGFBG57CB,下埔段,61.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11280005
RPPNMLKKLHLGFBG57CB,下埔段,32.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11280024
RPQNMLKKLHLGFBG67CB,壯志段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200121
RPQNMLKKLHLGFBG67CB,壯志段,16.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200122
RPQNMLKKLHLGFBG67CB,壯志段,5.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,49,1,持分移轉,00200144
RPQNMLTJLHLGFAG38CB,義成二段,61.42,都市：農,1,1,全筆移轉,03000021
RPQNMLTJLHLGFAG38CB,義成二段,28.66,都市：農,1,1,全筆移轉,03000014
RPPNMLKKLHLGFAG47CB,大洲二段,35.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,26294,持分移轉,10820000
RPQNMLTJLHLGFAG38CB,義成二段,58.64,都市：農,11,1,持分移轉,03010000
RPQNMLTJLHLGFAG38CB,義成二段,42.76,都市：農,1,1,全筆移轉,02990004
RPPNMLTJLHLGFAG28CB,珍珠一段,33.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2438,持分移轉,04770000
RPQOMLTJLHLGFBG58CB,壯志段,63.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200155
RPQOMLTJLHLGFBG58CB,壯志段,12.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200154
RPQOMLTJLHLGFBG58CB,壯志段,5.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,49,1,持分移轉,00200144
RPUNMLKKLHLGFBG08CB,壯志段,63.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200129
