鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
礁溪鄉,租賃房屋,宜蘭縣礁溪鄉礁溪路四段１７５巷５號２樓,0.0,,,,1150302,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710804,59.39,2,1,1,有,無,有,13000,219,,0.0,0,續租案件；,RPPNMLMJLHLGFBG77CC,整棟(戶)出租,無,1150306~1160305,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
礁溪鄉,租賃房屋,宜蘭縣礁溪鄉龍泉路３０４巷２２號一樓之二,0.0,,,,1150302,土地0建物1車位0,一層,4,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110530,81.62,2,1,2,有,有,無,12500,153,,0.0,0,多人共同承租2；,RPRNMLOJLHLGFBG18CC,整棟(戶)出租,無,1150306~1160305,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
宜蘭市,租賃房屋,宜蘭縣宜蘭市泰山路１００之２號,0.0,,,,1150302,土地0建物1車位0,見其他登記事項,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871102,154.63,0,0,2,有,無,無,20000,129,,0.0,0,,RPQNMLQJLHLGFBG28CC,,有,1150305~1200205,有,冷氣,
羅東鎮,租賃房屋,宜蘭縣羅東鎮純精路一段７７巷２號,90.0,住,,,1150308,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690602,104.96,4,1,2,有,無,有,15000,143,,0.0,0,其他水電費依台水台電帳單實支實付；含增建或未登記建物；,RPPNMLTJLHLGFAG38CC,整棟(戶)出租,無,1150312~1160311,無,冷氣,
頭城鎮,租賃房屋,宜蘭縣頭城鎮大坑路１９８號５樓之３,0.0,,,,1150305,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1021211,113.91,1,0,1,有,有,無,13500,119,,0.0,0,租金總額含管理費；,RPPNMLTJLHLGFBG48CC,獨立套房,有,1150315~1160314,有,冷氣、洗衣機、冰箱,
宜蘭市,租賃房屋,宜蘭縣宜蘭市陽明路３２５號二樓,0.0,,,,1150309,土地0建物0車位0,全,4,透天厝,住宅、樓梯間,鋼筋混凝土造,1050615,26.44,5,0,5,有,無,有,8000,303,,0.0,0,,RPRNMLTJLHLGFBG68CC,分租套房,無,1150309~1160308,有,冷氣、熱水器、電視機、冰箱,一般代管
五結鄉,租賃房屋,宜蘭縣五結鄉中正路一段１９６巷１２號,0.0,,,,1150306,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0590510,109.54,3,2,2,有,無,有,12000,110,,0.0,0,,RPQNMLKKLHLGFAG67CC,整棟(戶)出租,無,1150315~1160314,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
羅東鎮,租賃房屋,宜蘭縣羅東鎮南門路５９號九樓,0.0,,,,1150303,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891124,155.79000000000002,3,2,2,有,有,有,16300,105,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPRNMLKKLHLGFAG77CC,整棟(戶)出租,有,1150306~1160305,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
羅東鎮,租賃房屋,宜蘭縣羅東鎮公正路３２９之１號二樓,0.0,,,,1150310,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0990527,230.38,9,0,9,有,無,有,48000,208,,0.0,0,,RPSNMLKKLHLGFAG87CC,分層出租,無,1150310~1200331,無,冷氣、熱水器、電視機,
三星鄉,租賃房屋,宜蘭縣三星鄉大埔五路１８８號,0.0,,,,1150309,土地0建物1車位0,見其他登記事項,2,農舍,農舍,鋼骨造、鋼筋混凝土造,0980727,132.23,2,2,3,有,無,有,16000,,,0.0,0,租賃建物是三星鄉大埔五路188號的增建部份無保存登記建坪約40坪,RPUNMLKKLHLGFAG08CC,整棟(戶)出租,無,1150401~1160331,無,冷氣、熱水器、洗衣機、電視機,
宜蘭市,租賃房屋,宜蘭縣宜蘭市泰山路８６巷４弄３４號,0.0,,,,1150303,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0691213,96.86,5,2,2,有,無,無,15000,155,,0.0,0,,RPPNMLKKLHLGFBG67CC,整棟(戶)出租,無,1150305~1160304,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
宜蘭市,租賃房屋,宜蘭縣宜蘭市嵐峰路三段３２巷２號二樓之二,0.0,,,,1150306,土地0建物1車位0,二層,4,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1001223,34.230000000000004,1,0,1,有,有,有,5800,169,,0.0,0,管理費500元由出租人負擔續租案件；,RPQNMLKKLHLGFBG77CC,獨立套房,無,1150311~1160310,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
宜蘭市,租賃房屋,宜蘭縣宜蘭市嵐峰路三段３２巷２號四樓之一,0.0,,,,1150306,土地0建物1車位0,四層,4,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1001223,37.25,1,0,1,有,有,有,5800,156,,0.0,0,管理費500元由出租人負擔續租案件；,RPRNMLKKLHLGFBG87CC,獨立套房,無,1150321~1160320,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
宜蘭市,租賃房屋,宜蘭縣宜蘭市校舍一路８３巷８號六樓,0.0,,,,1150304,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830419,135.28,3,1,2,有,有,有,11000,81,,0.0,0,管理費1000元由出租人負擔續租案件；,RPSNMLKKLHLGFBG97CC,整棟(戶)出租,有,1150319~1160318,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
宜蘭市,租賃房屋,宜蘭縣宜蘭市中興路３１６巷７號五樓,0.0,,,,1150306,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830319,107.95,3,1,2,有,無,有,11000,102,,0.0,0,續租案件；,RPTNMLKKLHLGFBG08CC,整棟(戶)出租,無,1150310~1160309,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
宜蘭市,租賃房屋,宜蘭縣宜蘭市新興路２１１號,0.0,,,,1150308,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880329,58.38,0,0,0,無,無,無,12000,206,,0.0,0,,RPWNMLKKLHLGFBG38CC,,無,1150401~1170331,有,冷氣、熱水器、洗衣機、電視機、冰箱,
宜蘭市,租賃房屋,宜蘭縣宜蘭市舊城南路４０號,0.0,,,,1150307,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0941007,43.38,5,1,5,有,無,有,10000,231,,0.0,0,租金總額含網路費；續租案件；,RPXNMLKKLHLGFBG48CC,分層出租,無,1150315~1160314,無,冷氣、熱水器、洗衣機、冰箱、網路,一般代管
