鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中壢區,房地(土地+建物),桃園市中壢區後興路二段１６０巷２５０號,80.42,住,,,1150301,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0871028,185.11,4,2,4,有,無,15000000,81033,,0.0,0,未登記建物；,RPOSMLPJLHLGFBH48DA,169.8,4.15,11.16,無,
楊梅區,房地(土地+建物),桃園市楊梅區光裕北街４１號,284.0,,山坡地保育區,丙種建築用地,1150302,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0710818,229.21,6,3,3,有,無,22500000,98163,,0.0,0,陽台外推；其他增建；,RPXRMLNJLHLGFDH66DA,180.88,30.25,18.08,無,001
楊梅區,土地,高上段940地號,17.86,,特定農業區,甲種建築用地,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,243000,13606,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPLLHLGFDH58DA,0.0,0.0,0.0,無,002
楊梅區,土地,高上段940地號,17.86,,特定農業區,甲種建築用地,1150308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,243000,13606,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLPLLHLGFDH88DA,0.0,0.0,0.0,無,002
楊梅區,土地,高上段940地號,11.91,,特定農業區,甲種建築用地,1150307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,162000,13602,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPLLHLGFDH09DA,0.0,0.0,0.0,無,002
楊梅區,土地,高上段940地號,17.86,,特定農業區,甲種建築用地,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,243000,13606,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLPLLHLGFDH48DA,0.0,0.0,0.0,無,002
楊梅區,土地,高上段940地號,17.86,,特定農業區,甲種建築用地,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,243000,13606,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLPLLHLGFDH68DA,0.0,0.0,0.0,無,002
楊梅區,房地(土地+建物),桃園市楊梅區民富路一段３６６巷２６弄５３號,55.75,,特定農業區,甲種建築用地,1150313,土地1建物1車位0,全,二層,透天厝,其他,加強磚造,0700203,79.0,4,2,2,有,無,4430000,56076,,0.0,0,頂樓增建鐵皮防火巷增建廚房後推增建前院外推增建其他增建；,RPXNMLQLLHLGFDH76DA,79.0,0.0,0.0,無,
新屋區,房地(土地+建物),桃園市新屋區中華南路一段１３８巷５８弄１６號,95.56,,特定農業區,甲種建築用地,1150310,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1131210,179.42,4,2,4,有,有,12380000,69000,,0.0,0,,RPUTMLRLLHLGFDH17DA,175.12,0.0,3.77,無,
大園區,房地(土地+建物)+車位,桃園市大園區海方路１６７號二樓之５,57.92,住,,,1150309,土地2建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140702,197.89,3,2,2,有,有,12000000,64252,坡道平面,34.47,1500000,,RPOPMLKKLHLGFEH08DA,96.16,0.0,12.96,有,007
大園區,土地,艋舺段524地號,1269.61,,一般農業區,農牧用地,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4600000,3623,,0.0,0,,RPRNMLQLLHLGFEH88DA,0.0,0.0,0.0,無,
大園區,土地,大園段194-8地號,234.0,住,,,1150304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11010000,47051,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLRLLHLGFEH96DA,0.0,0.0,0.0,無,008
蘆竹區,車位,桃園市蘆竹區長興路一段２０５巷２０號等,0.0,,,,1150325,土地0建物1車位2,,,其他,,,,52.11,0,0,0,無,有,2800000,,坡道平面,52.1,2800000,建物坐落地號：公埔段487地號；僅車位交易；,RPSPMLRLLHLGFEH66DA,0.0,0.0,0.0,有,
八德區,房地(土地+建物)+車位,桃園市八德區公園路１３８號十六樓,20.24,住,,,1150308,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100622,161.59,2,2,2,有,有,20680000,127978,坡道平面,30.73,0,,RPVNMLQLLHLGFFH76DA,81.58,4.74,4.12,有,009
平鎮區,房地(土地+建物),桃園市平鎮區延平路二段４３０巷７４號,106.45,住,,,1150311,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0820429,132.65,7,2,3,有,無,6000000,45232,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPRNMLLKLHLGFGH48DA,132.65,0.0,0.0,無,
平鎮區,房地(土地+建物),桃園市平鎮區南東路４８９巷２２號,75.4,,一般農業區,甲種建築用地,1150305,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0920319,185.53,4,3,4,有,無,12000000,64680,,0.0,0,,RPTNMLOLLHLGFGH09DA,168.26,0.46,16.81,無,010
平鎮區,房地(土地+建物),桃園市平鎮區自強街３７巷５３弄６號,54.31,住,,,1150310,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0660603,85.5,2,2,1,有,無,2740000,32047,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPUNMLKMLHLGFGH88DA,85.5,0.0,0.0,無,
龜山區,房地(土地+建物)+車位,桃園市龜山區陸光路８５號十樓之１,37.75,住,,,1150304,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940205,187.3,3,2,2,有,有,14030000,74907,坡道平面,0.0,0,,RPWNMLSKLHLGFHH17DA,99.81,0.0,11.37,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路８０８號十樓,62.5,住,,,1150313,土地1建物1車位3,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造、鋼筋混凝土造,1111213,480.12,3,2,4,有,有,62800000,143450,坡道平面,79.98,5400000,,RPRNMLRLLHLGFAH68EA,239.06,0.0,25.17,有,011
新屋區,土地,後庄段931地號,894.8,,特定農業區,農牧用地,1150317,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,559,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKMLHLGFDH18EA,0.0,0.0,0.0,無,
八德區,房地(土地+建物),桃園市八德區前程街２號十二樓之５,7.64,住,,,1150315,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840418,70.23,2,1,1,有,有,5450000,77602,,0.0,0,,RPPNMLKMLHLGFFH38EA,43.52,0.0,7.07,有,
平鎮區,房地(土地+建物),桃園市平鎮區上海路６１號,19.41,住,,,1150323,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0861202,54.04,5,2,4,有,無,4000000,74019,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRLLHLGFGH09EA,45.05,4.57,4.42,無,
桃園區,房地(土地+建物),桃園市桃園區南豐街２２８之３號,17.0,住,,,1150321,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710611,88.37,4,4,4,有,無,3500000,39606,,0.0,0,,RPPNMLRLLHLGFAH38DA,78.11,0.0,5.72,無,
中壢區,房地(土地+建物),桃園市中壢區立德西街５８巷６號五樓,26.93,住,,,1150302,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700827,92.9,3,0,3,有,無,6380000,68676,,0.0,0,,RPVOMLMKLHLGFBH58DA,80.22,0.0,12.68,無,012
中壢區,房地(土地+建物),桃園市中壢區五光一街７９號,64.0,住,,,1150311,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0691020,143.94,5,2,3,有,無,18000000,125052,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLQKLHLGFBH38DA,143.94,0.0,0.0,無,
中壢區,房地(土地+建物),桃園市中壢區莊敬路８７１號,44.6,住,,,1150311,土地2建物1車位0,全,一層,透天厝,住家用,加強磚造,0620510,10.84,5,2,3,有,無,5000000,461255,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；未登記建物；,RPSOMLRLLHLGFBH88DA,10.84,0.0,0.0,無,
中壢區,車位,桃園市中壢區中正路５０３號等樓,0.0,,,,1150318,土地0建物1車位1,,,其他,,,,30.55,0,0,0,無,無,950000,,升降平面,0.0,950000,建物坐落地號：三座屋段舊社小段177-93地號；僅車位交易；,RPTQMLKMLHLGFBH58DA,0.0,0.0,0.0,無,
楊梅區,土地,永福段1214-2地號,147.91,,,,1150309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,5071,,0.0,0,包含公共設施保留地用地；,RPUNMLSKLHLGFDH56DA,0.0,0.0,0.0,無,
新屋區,土地,富九段876地號,1052.49,,特定農業區,農牧用地,1150312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5088000,4834,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOLLHLGFDH78DA,0.0,0.0,0.0,無,013
