編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXRMLNJLHLGFDH66DA,44,229.21,住宅,鋼筋混凝土造,71年8月18日,二層,一層 二層 陽台 平台 露台 見其他登記事項,全筆移轉
RPRNMLLKLHLGFGH48DA,33,132.65,住家用,鋼筋混凝土造,82年4月29日,二層,一層 二層 屋頂突出物,全筆移轉
RPUNMLKMLHLGFGH88DA,49,85.50,住家用,加強磚造,66年6月3日,二層,一層 二層,全筆移轉
RPTNMLOLLHLGFGH09DA,23,185.53,住宅、停車空間,鋼筋混凝土造,92年3月19日,四層,一層 二層 三層 四層 陽台 雨遮,全筆移轉
RPRNMLRLLHLGFAH68EA,3,264.23,住家用,鋼骨造、鋼筋混凝土造,111年12月13日,二十四層,十層 陽台,全筆移轉
RPRNMLRLLHLGFAH68EA,3,163.11,本共有部分之項目有：停車空間兼防空避難室、停車空間、集合住宅（附屬車道、管委會使用空間、機電空間、附屬防災中心、游泳池）等項。,鋼骨造、鋼筋混凝土造,111年12月13日,二十四層,,持分移轉
RPRNMLRLLHLGFAH68EA,3,52.78,見其他登記事項,本共有部分之項目有：梯廳、排煙室、機房、水箱、電梯機房等項。,111年12月13日,二十四層,,持分移轉
RPVOMLMKLHLGFBH58DA,45,92.90,住家用,鋼筋混凝土造,70年8月27日,五層,五層 陽台,全筆移轉
RPPNMLKMLHLGFFH38EA,31,50.59,住家用,鋼筋混凝土造,84年4月18日,十六層,十二層 陽台,全筆移轉
RPPNMLKMLHLGFFH38EA,31,9.52,共有部份,鋼筋混凝土造,84年4月18日,十六層,,持分移轉
RPPNMLKMLHLGFFH38EA,31,1.97,共有部份,鋼筋混凝土造,84年4月18日,十六層,,持分移轉
RPPNMLKMLHLGFFH38EA,31,8.15,共有部份,鋼筋混凝土造,84年4月18日,十六層,,持分移轉
RPPNMLRLLHLGFAH38DA,44,83.83,住家用,鋼筋混凝土造,71年6月11日,五層,四層 陽台,全筆移轉
RPPNMLRLLHLGFAH38DA,44,4.54,共有部份,鋼筋混凝土造,71年6月11日,五層,,持分移轉
RPOPMLKKLHLGFEH08DA,1,109.12,集合住宅,鋼筋混凝土造,114年7月2日,七層,二層 陽台,全筆移轉
RPOPMLKKLHLGFEH08DA,1,88.77,共有部份,鋼筋混凝土造,114年7月2日,七層,,持分移轉
RPWNMLSKLHLGFHH17DA,21,111.18,住家用,鋼骨鋼筋混凝土造,94年2月5日,十四層,十層 陽台,全筆移轉
RPWNMLSKLHLGFHH17DA,21,76.12,共有部份,鋼骨鋼筋混凝土造,94年2月5日,十四層,,持分移轉
RPSPMLRLLHLGFEH66DA,3,52.11,共有部份,鋼筋混凝土造,111年10月7日,八層,,持分移轉
RPVNMLQLLHLGFFH76DA,5,90.44,集合住宅,鋼筋混凝土造,110年6月22日,二十四層,十六層 陽台 雨遮,全筆移轉
RPVNMLQLLHLGFFH76DA,5,71.15,集合住宅（附屬供管委會使用空間、公共服務空間）、（附屬樓電梯間、水箱、機房）、（附屬停車空間、防空避難室兼停車空間、蓄水池）等８項。,鋼筋混凝土造,110年6月22日,二十四層,,持分移轉
RPPNMLRLLHLGFGH09EA,28,54.04,店舖．梯間．集合住宅,鋼筋混凝土造,86年12月2日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓 露台 雨遮,持分移轉
RPSOMLRLLHLGFBH88DA,53,10.84,住家用,加強磚造,62年5月10日,一層,一層,持分移轉
RPPOMLQKLHLGFBH38DA,45,143.94,住商用,鋼筋混凝土造,69年10月20日,三層,一層 二層 三層 騎樓,全筆移轉
RPPPMLPLLHLGFDH68DA,34,91.42,工業用,鋼筋混凝土造,81年5月12日,五層,一層 陽台,全筆移轉
RPPPMLPLLHLGFDH68DA,34,23.46,見其他登記事項,鋼筋混凝土造,81年5月12日,五層,,持分移轉
RPXNMLQLLHLGFDH76DA,45,79.00,見其他登記事項,加強磚造,70年2月3日,二層,一層 二層,全筆移轉
RPPPMLPLLHLGFDH68DA,34,12.82,公共設施,鋼筋混凝土造,81年5月12日,五層,,持分移轉
RPPPMLPLLHLGFDH68DA,34,.17,見其他登記事項,鋼筋混凝土造,81年5月12日,五層,,持分移轉
RPOSMLPJLHLGFBH48DA,27,185.11,車庫、住宅,鋼筋混凝土造,87年10月28日,四層,一層 二層 三層 四層 陽台 雨遮,全筆移轉
RPQNMLRLLHLGFDH88EA,1,82.82,集合住宅,鋼筋混凝土造,114年9月8日,七層,六層 陽台,全筆移轉
RPQNMLRLLHLGFDH88EA,1,68.87,本共有部分之項目有：集合住宅（附屬管委會空間、樓梯間）、樓梯間、水箱空間、防空避難室兼停車空間、停車空間等６項,鋼筋混凝土造,114年9月8日,七層,,持分移轉
RPRNMLTKLHLGFHH76DA,49,44.38,住家用,鋼筋混凝土造,66年5月6日,四層,二層,全筆移轉
RPPOMLKMLHLGFBH97DA,6,89.20,集合住宅,鋼筋混凝土造,109年4月9日,十三層,十一層 陽台 雨遮,全筆移轉
RPPOMLKMLHLGFBH97DA,6,105.39,本共有部分之項目有：停車空間、防空避難室兼停車空間、樓梯間、水箱、機械室、梯廳、蓄水池、消防泵浦室、垃圾暫存空間（附冷藏設備）、台電配電室、電信機房、發電機室、公共服務空間、管委會使用空間、車道及水錶區等十六項。,鋼筋混凝土造,109年4月9日,十三層,,持分移轉
RPUOMLRLLHLGFBH09DA,4,63.39,集合住宅,鋼筋混凝土造,111年9月7日,十四層,九層 陽台,全筆移轉
RPUOMLRLLHLGFBH09DA,4,64.12,共有部分之項目有：防空避難室兼停車空間、停車空間、集合住宅（附屬管委會空間）、梯廳、排煙室、梯間、水箱、機械室、電信室、發電機室、垃圾集中處理室、水景機房、台電配電場所、機房、消防設備室、汙水機房、雨水機房等十七項。,鋼筋混凝土造,111年9月7日,十四層,,持分移轉
RPSOMLKLLHLGFBH18DA,10,63.02,集合住宅,鋼筋混凝土造,104年10月12日,十四層,十四層 陽台,全筆移轉
RPSOMLKLLHLGFBH18DA,10,72.22,共有部分之項目：集合住宅（附屬防空避難室兼停車空間、消防泵浦室、污水機房、蓄水池、梯間、附屬停車空間、發電機房、電信室、台電配電場所、冷藏式垃圾儲藏室、附屬公共服務管理空間、附屬梯間、機械室、水箱）。,鋼筋混凝土造,104年10月12日,十四層,,持分移轉
RPWNMLPLLHLGFEH66DA,1,97.18,集合住宅,鋼筋混凝土造,114年7月2日,七層,四層 陽台,全筆移轉
RPWNMLPLLHLGFEH66DA,1,82.82,共有部份,鋼筋混凝土造,114年7月2日,七層,,持分移轉
RPXNMLQKLHLGFBH09DA,4,67.51,集合住宅,鋼筋混凝土造,111年3月29日,十五層,十五層 陽台 雨遮,全筆移轉
RPXNMLQKLHLGFBH09DA,4,69.39,本共有部分之項目有：防空避難室兼停車空間、機房、停車空間、樓梯間、排煙室、消防水塔、水箱、垃圾集中室、台電管道間、蓄水池、車道、消防泵浦室、發電機室、梯廳、消防水箱及電梯機房等十六項,鋼筋混凝土造,111年3月29日,十五層,,持分移轉
RPWPMLNKLHLGFEH56DA,48,56.26,住家用,加強磚造,67年3月10日,二層,一層 二層 騎樓,持分移轉
RPPNMLLJMHLGFFH18DA,44,111.32,住家用,加強磚造,71年2月27日,二層,一層 二層 陽台 平台 騎樓,全筆移轉
RPVRMLQLLHLGFEH07DA,10,65.15,住家用,鋼筋混凝土造,105年3月18日,十四層,十層 陽台,全筆移轉
RPVRMLQLLHLGFEH07DA,10,17.27,共有部份,鋼筋混凝土造,105年3月18日,十四層,,持分移轉
RPVRMLQLLHLGFEH07DA,10,43.72,共有部份,鋼筋混凝土造,105年3月18日,十四層,,持分移轉
RPPNMLRKLHLGFHH98DA,33,25.54,共有部份,鋼筋混凝土造,82年8月24日,二十二層,,持分移轉
RPPNMLRKLHLGFHH98DA,33,136.82,辦公室﹐集合住宅,鋼筋混凝土造,82年8月24日,二十二層,八層 陽台,全筆移轉
RPPNMLRKLHLGFHH98DA,33,20.23,共有部份,鋼筋混凝土造,82年8月24日,二十二層,,持分移轉
RPTQMLKMLHLGFBH58DA,29,30.55,共有部份,鋼筋混凝土造,86年6月27日,七層,,持分移轉
RPXNMLRLLHLGFHH27DA,20,18.47,住家用,鋼筋混凝土造,94年12月24日,六層,四層 陽台 雨遮,全筆移轉
RPXNMLRLLHLGFHH27DA,20,12.52,共有部份,鋼筋混凝土造,94年12月24日,六層,,持分移轉
RPPNMLKMLHLGFBH97EA,32,98.15,住家用,鋼筋混凝土造,83年5月26日,十二層,六層 陽台 花台,全筆移轉
RPPNMLKMLHLGFBH97EA,32,19.69,共有部份,鋼筋混凝土造,83年5月26日,十一層,,持分移轉
RPRNMLQLLHLGFHH56DA,44,101.20,住家用,鋼筋混凝土造,71年2月27日,四層,四層 陽台,全筆移轉
RPPNMLKLLHLGFCH87DA,45,66.00,住家用,鋼筋混凝土造,70年2月3日,四層,二層,全筆移轉
RPPNMLLMLHLGFAH97EA,30,39.89,共有部份,鋼筋混凝土造,85年7月13日,十五層,,持分移轉
RPTNMLLJMHLGFGH68DA,46,35.64,住家用,加強磚造,68年12月26日,一層,一層 騎樓,全筆移轉
RPWNMLLMLHLGFHH66DA,33,19.48,共有部份,鋼筋混凝土造,82年1月18日,八層,,持分移轉
RPWNMLLMLHLGFHH66DA,33,39.79,共有部份,鋼筋混凝土造,82年1月18日,八層,,持分移轉
RPWNMLLMLHLGFHH66DA,33,95.98,廠房,鋼筋混凝土造,82年1月18日,八層,四層 陽台 花台,全筆移轉
RPQQMLLMLHLGFBH38DA,28,65.38,住家用,鋼筋混凝土造,86年12月4日,五層,一層 平台,全筆移轉
RPQQMLLMLHLGFBH38DA,28,5.95,共有部份,鋼筋混凝土造,86年12月4日,五層,,持分移轉
RPQQMLLMLHLGFBH38DA,28,30.03,共有部份,鋼筋混凝土造,86年12月4日,五層,,持分移轉
RPROMLPLLHLGFAH48DA,27,74.28,集合住宅,鋼筋混凝土造,88年5月27日,九層,七層 陽台,全筆移轉
RPROMLPLLHLGFAH48DA,27,11.05,共有部份,鋼筋混凝土造,88年5月27日,九層,,持分移轉
RPROMLPLLHLGFAH48DA,27,14.51,共有部份,鋼筋混凝土造,88年5月27日,九層,,持分移轉
RPRQMLTKLHLGFAH98DA,1,60.07,住家用,鋼筋混凝土造,114年5月29日,十五層,十一層 陽台,全筆移轉
RPRQMLTKLHLGFAH98DA,1,16.08,本建物共有部分項目：集合住宅（附屬管委會使用空間）、梯間、機械室、水箱等項。,鋼筋混凝土造,114年5月29日,十五層,,持分移轉
RPRQMLTKLHLGFAH98DA,1,44.46,本建物共有部分項目：防空避難室兼停車空間、停車空間等項。,鋼筋混凝土造,114年5月29日,十五層,,持分移轉
RPUTMLRLLHLGFDH17DA,1,178.89,集合住宅、樓梯間,鋼筋混凝土造,113年12月10日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPUTMLRLLHLGFDH17DA,1,.53,本建物共有部分項目：電信室等１項,鋼筋混凝土造,113年12月10日,一層,,持分移轉
RPQNMLLJMHLGFBH97EA,30,26.16,住家用,鋼筋混凝土造,84年12月15日,十二層,十二層 陽台,全筆移轉
RPQNMLLJMHLGFBH97EA,30,.55,共有部份,鋼筋混凝土造,84年12月15日,十二層,,持分移轉
RPQNMLLJMHLGFBH97EA,30,2.37,共有部份,鋼筋混凝土造,84年12月15日,十二層,,持分移轉
RPQNMLLJMHLGFBH97EA,30,2.26,共有部份,鋼筋混凝土造,84年12月15日,十二層,,持分移轉
RPUPMLOKLHLGFEH09DA,30,71.08,住家用,鋼筋混凝土造,85年5月28日,十六層,四層 陽台 花台,全筆移轉
RPRNMLLJMHLGFBH08EA,35,187.86,住家用,鋼筋混凝土造,79年12月24日,四層,一層 二層 三層 四層 陽台 平台 雨遮,全筆移轉
RPUPMLOKLHLGFEH09DA,30,29.68,共有部份,鋼筋混凝土造,85年5月28日,十六層,,持分移轉
RPRNMLLJMHLGFBH08EA,35,20.63,停車場、防空避難室,鋼筋混凝土造,79年12月24日,四層,地下層,持分移轉
RPUPMLOKLHLGFEH09DA,30,14.47,共有部份,鋼筋混凝土造,85年5月28日,十六層,,持分移轉
RPUPMLOKLHLGFEH09DA,30,3.14,共有部份,鋼筋混凝土造,85年5月28日,十六層,,持分移轉
RPROMLRLLHLGFAH68DA,23,46.67,住家用,鋼筋混凝土造,92年7月28日,十四層,十二層 陽台 雨遮,全筆移轉
RPROMLRLLHLGFAH68DA,23,38.40,共有部份,鋼筋混凝土造,92年7月28日,十四層,,持分移轉
RPROMLRLLHLGFAH68DA,23,10.02,共有部份,鋼筋混凝土造,92年7月28日,十四層,,持分移轉
RPQNMLNKLHLGFBH08DA,14,118.76,集合住宅,鋼筋混凝土造,100年12月15日,十五層,三層 陽台 雨遮,全筆移轉
RPQNMLNKLHLGFBH08DA,14,75.14,本共有部分項目為：停車空間及供公眾停車空間、防空避難室、緊急發電機房、台電配電場所、車道、電信機房、門廳〈１至３〉、警衛室、梯間及排煙室、水箱、機房〈１至３〉、消防機房、污水機房、梯間等共１４項。,鋼筋混凝土造,100年12月15日,十五層,,持分移轉
RPVQMLQLLHLGFBH66DA,35,33.26,停車場、防空避難室,鋼筋混凝土造,80年5月16日,十五層,地下二層,持分移轉
RPVQMLQLLHLGFBH66DA,35,.64,共有部份,鋼筋混凝土造,80年5月16日,十五層,,持分移轉
RPQOMLKMLHLGFAH97DA,,109.87,集合住宅,鋼筋混凝土造,114年12月8日,十五層,五層 陽台,全筆移轉
RPQOMLKMLHLGFAH97DA,,83.00,本建物共有部分項目：集合住宅（附屬梯間、車道、管理委員會使用空間、室內游泳池）、梯間、水箱、機房、停車空間、發電機室、垃圾處理室、台電配電室、電信室、泳池機房、蓄水池、防空避難室兼停車空間、消防泵浦室、雨水機房等項。,鋼筋混凝土造,114年12月8日,十五層,,持分移轉
RPRPMLLJMHLGFBH18DA,23,63.15,住家用,鋼筋混凝土造,91年10月7日,十層,九層 陽台,全筆移轉
RPRPMLLJMHLGFBH18DA,23,11.65,共有部份,鋼筋混凝土造,91年10月7日,十層,,持分移轉
RPRPMLLJMHLGFBH18DA,23,12.10,共有部份,鋼筋混凝土造,91年10月7日,十層,,持分移轉
RPUOMLLMLHLGFAH48DA,16,173.84,住家用,鋼筋混凝土造,98年10月30日,十一層,四層 陽台 雨遮,全筆移轉
RPUOMLLMLHLGFAH48DA,16,116.96,本共有部分之項目有：防空避難室兼停車空間、開放空間、公共服務空間、管理員室、樓梯間、機械室、水箱。,鋼筋混凝土造,98年10月30日,十二層,,持分移轉
RPPQMLRJMHLGFBH68DA,1,184.99,集合住宅、集合住宅（附屬停車空間）,鋼筋混凝土造,113年12月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPQMLRJMHLGFBH68DA,1,.36,本共有部分項目為：集合住宅（附屬電信機房）一項,鋼筋混凝土造,113年12月6日,四層,,持分移轉
RPPOMLMJMHLGFBH97DA,1,62.68,集合住宅,鋼筋混凝土造,114年2月26日,十一層,十層 陽台,全筆移轉
RPPOMLMJMHLGFBH97DA,1,18.66,本共有部分之項目有：集合住宅（附屬管委會使用空間）、梯間、水箱及機械室等四項。,鋼筋混凝土造,114年2月26日,十一層,,持分移轉
RPPOMLMJMHLGFBH97DA,1,45.72,本共有部分之項目有：防空避難室兼停車空間、停車空間等二項。,鋼筋混凝土造,114年2月26日,十一層,,持分移轉
RPTNMLLKLHLGFCH28DA,44,128.60,住家用,加強磚造,70年11月3日,二層,一層 二層 騎樓,全筆移轉
RPQNMLKLLHLGFCH97DA,4,77.29,一般服務業,鋼筋混凝土造,111年6月14日,十五層,八層 陽台 雨遮,全筆移轉
RPQNMLKLLHLGFCH97DA,4,67.34,共有部分：管理委員會使用空間、梯間、機械室、消防水箱、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土造,111年6月14日,十五層,,持分移轉
RPTNMLMJMHLGFCH38DA,23,201.31,停車空間，住宅，樓梯間,鋼筋混凝土造,92年7月25日,三層,一層 二層 三層 陽台 屋頂突出物 地下一層,全筆移轉
RPTNMLMJMHLGFCH38DA,23,27.86,共用（供公眾使用停車空間，管理員室，樓梯間）,鋼筋混凝土造,92年7月25日,三層,,持分移轉
RPQNMLRJMHLGFCH58DA,44,88.80,住家用,加強磚造,70年12月31日,二層,一層 二層,全筆移轉
