編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXRMLNJLHLGFDH66DA,二重溪段,284.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01971021
RPRNMLLKLHLGFGH48DA,義民段,106.45,都市：其他:住宅區,1,1,全筆移轉,06920000
RPUNMLKMLHLGFGH88DA,莊敬段,54.31,都市：其他:住宅區,1,1,全筆移轉,01270000
RPTNMLOLLHLGFGH09DA,富貴段,75.40,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,2685,持分移轉,04440000
RPRNMLRLLHLGFAH68EA,中路一段,62.50,都市：其他:第一之二種住宅區,100000,1100,持分移轉,00500000
RPVOMLMKLHLGFBH58DA,自立段,7.93,都市：其他:住宅區,70,1,持分移轉,03830000
RPVOMLMKLHLGFBH58DA,自立段,19.00,都市：其他:住宅區,5,1,持分移轉,03830012
RPPNMLKMLHLGFFH38EA,前程段,7.64,都市：其他:住宅區,10000,27,持分移轉,00900000
RPPNMLRLLHLGFAH38DA,中路段,17.00,都市：其他:住宅區,5,1,持分移轉,18040052
RPRNMLQLLHLGFEH88DA,艋舺段,1269.61,非都市：一般農業區 ; 非都市編定：農牧用地,5,2,持分移轉,05240000
RPOPMLKKLHLGFEH08DA,富華段,16.14,都市：其他:第五種住宅區(供安置住宅使用),100000,468,持分移轉,04170000
RPOPMLKKLHLGFEH08DA,福海段,41.79,都市：其他:第五種住宅區(供安置住宅使用),100000,468,持分移轉,13530000
RPWNMLSKLHLGFHH17DA,陸光段,37.75,都市：其他:第二種住宅區,100000,260,持分移轉,13110000
RPPNMLKMLHLGFDH18EA,後庄段,389.00,非都市：特定農業區 ; 非都市編定：農牧用地,5,1,持分移轉,09300000
RPPNMLKMLHLGFDH18EA,後庄段,505.80,非都市：特定農業區 ; 非都市編定：農牧用地,5,1,持分移轉,09310000
RPXNMLRLLHLGFEH96DA,大園段,118.00,都市：其他:住宅區,1,1,全筆移轉,01940008
RPXNMLRLLHLGFEH96DA,大園段,116.00,都市：其他:住宅區,1,1,全筆移轉,01940009
RPVNMLQLLHLGFFH76DA,明智段,20.24,都市：其他:住宅區,1000000,1710,持分移轉,00030000
RPPNMLRLLHLGFGH09EA,平鎮段,19.41,都市：其他:住宅區,20000,98,持分移轉,10550000
RPSOMLRLLHLGFBH88DA,自立段,34.00,都市：其他:住宅區,5,1,持分移轉,14580000
RPSOMLRLLHLGFBH88DA,自立段,10.60,都市：其他:住宅區,5,1,持分移轉,14600000
RPPOMLQKLHLGFBH38DA,三座屋段三座屋小段,64.00,都市：其他:住宅區,1,1,全筆移轉,06240011
RPVNMLPLLHLGFDH09DA,高上段,11.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,3240,14,持分移轉,09400000
RPUOMLPLLHLGFDH09DA,高上段,79.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,864,25,持分移轉,09400000
RPQOMLPLLHLGFDH68DA,高上段,17.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,1080,7,持分移轉,09400000
RPTNMLOLLHLGFDH78DA,富九段,9.99,非都市：特定農業區 ; 非都市編定：水利用地,10000,91,持分移轉,08740000
RPTNMLOLLHLGFDH78DA,富九段,1042.50,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08760000
RPWNMLPLLHLGFDH56DA,高上段,4.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,4320,7,持分移轉,09400000
SPUOMLPLLHLGFDH56DA,高上段,79.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,864,25,持分移轉,09400000
RPTNMLPLLHLGFDH88DA,高上段,17.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,1080,7,持分移轉,09400000
RPPPMLPLLHLGFDH68DA,二重溪段,30.41,都市：其他:乙種工業區,10000,162,持分移轉,01040014
RPXNMLQLLHLGFDH76DA,瑞上段,55.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07450000
RPPPMLPLLHLGFDH68DA,二重溪段,1.44,都市：其他:乙種工業區,10000,162,持分移轉,01040079
