編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLRLLHLGFAH68EA,坡道平面,1800000,26.66,地下三樓
RPRNMLRLLHLGFAH68EA,坡道平面,1800000,26.66,地下三樓
RPRNMLRLLHLGFAH68EA,坡道平面,1800000,26.66,地下三樓
RPOPMLKKLHLGFEH08DA,坡道平面,1500000,34.47,地下一樓
RPWNMLSKLHLGFHH17DA,坡道平面,0,,地下一樓
RPSPMLRLLHLGFEH66DA,坡道平面,1400000,26.05,地下一樓
RPSPMLRLLHLGFEH66DA,坡道平面,1400000,26.05,地下一樓
RPVNMLQLLHLGFFH76DA,坡道平面,0,30.73,地下三樓
RPPPMLPLLHLGFDH68DA,坡道平面,0,,地下一樓
RPQNMLRLLHLGFDH88EA,坡道平面,1500000,26.73,地下一樓
RPPOMLKMLHLGFBH97DA,坡道平面,0,,地下二樓
RPPOMLKMLHLGFBH97DA,坡道平面,0,,地下二樓
RPUOMLRLLHLGFBH09DA,坡道平面,0,31.73,地下二樓
RPSOMLKLLHLGFBH18DA,坡道平面,0,43.00,地下三樓
RPWNMLPLLHLGFEH66DA,坡道平面,0,34.47,地下一樓
RPXNMLQKLHLGFBH09DA,坡道平面,0,33.05,地下三樓
RPVRMLQLLHLGFEH07DA,坡道平面,0,24.49,地下三樓
RPPNMLRKLHLGFHH98DA,坡道機械,0,,地下三樓
RPTQMLKMLHLGFBH58DA,升降平面,950000,,地下一樓
RPPNMLLMLHLGFAH97EA,坡道平面,2100000,39.88,地下一樓
RPWNMLLMLHLGFHH66DA,坡道平面,0,,地下一樓
RPQQMLLMLHLGFBH38DA,坡道平面,0,,地下一樓
RPRQMLTKLHLGFAH98DA,坡道平面,1950000,29.84,地下四樓
RPUPMLOKLHLGFEH09DA,坡道平面,0,,地下二樓
RPROMLRLLHLGFAH68DA,坡道平面,1200000,31.69,地下二樓
RPQNMLNKLHLGFBH08DA,坡道平面,0,27.05,地下三樓
RPVQMLQLLHLGFBH66DA,坡道機械,0,,地下二樓
RPVQMLQLLHLGFBH66DA,坡道機械,0,,地下二樓
RPQOMLKMLHLGFAH97DA,坡道平面,0,24.87,地下三樓
RPUOMLLMLHLGFAH48DA,坡道平面,0,21.40,地下二樓
RPUOMLLMLHLGFAH48DA,坡道平面,0,21.40,地下二樓
RPPOMLMJMHLGFBH97DA,坡道平面,0,36.14,地下一樓
RPQNMLKLLHLGFCH97DA,坡道機械,0,,地下三樓
RPPOMLOLLHLGFEH58DA,坡道平面,1050000,41.46,地下二樓
RPXPMLLJMHLGFBH78DA,坡道平面,1950000,34.28,地下一樓
RPOQMLLJMHLGFBH97DA,坡道平面,2000000,34.28,地下一樓
RPRNMLMJMHLGFBH08DA,一樓平面,0,,一樓
RPUNMLMJMHLGFBH38DA,坡道平面,0,,地下二樓
RPUOMLKMLHLGFGH98DA,坡道平面,0,,地下一樓
RPPNMLQJMHLGFHH88DA,坡道平面,0,28.29,地下二樓
RPQNMLRJMHLGFAH48EA,坡道平面,0,,地下三樓
RPQNMLRJMHLGFAH48EA,坡道平面,0,,地下三樓
RPPNMLRLLHLGFEH88EA,坡道平面,0,,地下三樓
RPPPMLLJMHLGFBH97DA,坡道機械,650000,22.34,地下三樓
RPPPMLLJMHLGFBH97DA,坡道機械,650000,22.34,地下三樓
RPUNMLKLLHLGFAH18DA,坡道平面,0,32.40,地下二樓
RPSOMLRLLHLGFFH66DA,坡道平面,0,,地下一樓
RPRNMLNLLHLGFGH78DA,坡道平面,0,33.69,地下一樓
RPWNMLLMLHLGFBH68DA,坡道機械,900000,,地下四樓
RPOPMLOJLHLGFBH08DA,坡道平面,0,,地下二樓
RPRNMLKLLHLGFHH58DA,坡道機械,1000000,12.19,地下二樓
RPTNMLPLLHLGFAH58DA,坡道平面,1750000,35.23,地下二樓
RPQNMLNLLHLGFAH08DA,坡道平面,0,24.84,地下三樓
RPQNMLNLLHLGFAH08DA,坡道平面,0,24.84,地下三樓
RPQNMLNLLHLGFAH08DA,坡道平面,0,24.84,地下三樓
RPSOMLNLLHLGFBH48DA,坡道平面,0,40.81,地下四樓
RPQNMLOLLHLGFDH48DA,坡道平面,0,29.47,地下二樓
RPVPMLLKKHLGFBH48DA,坡道平面,1450000,33.32,地下二樓
RPVPMLLKKHLGFBH48DA,坡道平面,1400000,33.32,地下三樓
RPXNMLQLLHLGFFH96DA,坡道平面,0,,地下二樓
RPRNMLLMLHLGFFH58DA,坡道平面,0,,地下四樓
RPQNMLRLLHLGFAH58EA,坡道平面,0,,地下一樓
RPQNMLRLLHLGFAH58EA,坡道平面,0,,地下一樓
RPTNMLKLLHLGFDH38DA,坡道平面,1300000,28.34,地下三樓
RPXOMLRLLHLGFDH96DA,坡道平面,0,,地下一樓
RPVNMLKKKHLGFBH18DA,坡道平面,0,,地下一樓
RPSQMLQLLHLGFGH86DA,坡道機械,0,11.88,地下三樓
RPXOMLNLLHLGFAH88DA,坡道平面,2200000,36.96,地下三樓
RPRPMLSLLHLGFAH88DA,坡道平面,1500000,46.29,地下三樓
RPTNMLKMLHLGFEH58DA,坡道平面,0,23.23,地下二樓
RPOPMLKMLHLGFEH28DA,坡道平面,1000000,35.04,地下二樓
RPORMLLJMHLGFEH38DA,坡道平面,0,30.11,地下一樓
RPRNMLPJLHLGFFH68DA,坡道平面,1800000,34.65,地下四樓
RPWOMLOLLHLGFAH88DA,坡道平面,1550000,37.36,地下二樓
RPQPMLPLKHLGFBH48DA,坡道平面,0,,地下二樓
RPWPMLOLKHLGFBH98DA,坡道平面,0,39.08,地下一樓
RPOOMLOLKHLGFBH08DA,坡道平面,0,34.34,地下一樓
RPOOMLOLKHLGFBH08DA,坡道平面,0,34.34,地下一樓
RPQNMLLJMHLGFAH87EA,坡道平面,0,,地下一樓
RPRPMLPLLHLGFBH68DA,坡道機械,0,31.42,地下三樓
RPUNMLMJMHLGFDH58DA,坡道平面,0,,地下一樓
RPWPMLLKLHLGFBH68DA,坡道平面,0,38.95,地下二樓
RPPNMLSLKHLGFFH88DA,坡道平面,1500000,31.19,地下三樓
RPQNMLRJMHLGFAH38DA,坡道平面,2000000,28.92,地下三樓
RPQSMLLJMHLGFAH28DA,坡道機械,0,14.24,地下三樓
RPVOMLMJKHLGFBH38DA,坡道平面,1500000,31.07,地下五樓含以下
RPVNMLRLLHLGFAH98DA,坡道平面,1500000,31.82,地下二樓
RPOPMLMJMHLGFHH58DA,坡道平面,2350000,28.74,地下二樓
RPPNMLMJMHLGFAH87EA,坡道平面,0,31.24,地下三樓
RPPNMLMJMHLGFAH87EA,坡道平面,0,31.24,地下三樓
RPSQMLTKLHLGFBH56DA,坡道平面,0,37.75,地下二樓
RPTPMLPLLHLGFBH88DA,坡道平面,0,,地下二樓
RPTNMLRLLHLGFCH98DA,坡道平面,0,,地下一樓
RPUNMLTJLHLGFHH96DA,坡道機械,0,16.54,地下一樓
RPUNMLTJLHLGFHH96DA,坡道機械,0,16.54,地下一樓
RPQPMLKKLHLGFBH97DA,坡道平面,0,33.96,地下三樓
RPTNMLRKLHLGFAH68DA,坡道平面,0,43.55,地下一樓
RPUNMLOLLHLGFEH98DA,坡道平面,1350000,17.58,地下一樓
RPQNMLMJMHLGFEH38EA,一樓平面,0,,一樓
RPROMLKMLHLGFGH68DA,坡道平面,0,,地下二樓
RPXNMLTKLHLGFFH17DA,坡道平面,0,25.83,地下一樓
RPRNMLRJMHLGFEH98EA,坡道平面,0,29.18,地下一樓
RPUNMLQLLHLGFAH78DA,坡道平面,0,38.70,地下二樓
RPUNMLOLLHLGFAH58DA,坡道平面,0,24.57,地下二樓
RPUNMLOLLHLGFAH58DA,坡道平面,0,24.57,地下二樓
RPUNMLOLLHLGFAH58DA,坡道平面,0,24.57,地下二樓
RPTOMLMKKHLGFAH18DA,其他,0,,一樓
RPVRMLLLJHLGFBH68DA,坡道平面,0,32.06,地下三樓
RPVRMLLLJHLGFBH68DA,坡道平面,0,32.06,地下三樓
RPTQMLTKLHLGFBH66DA,坡道平面,0,28.19,地下二樓
RPUNMLRLLHLGFDH56DA,坡道平面,0,31.74,地下三樓
RPQNMLNKLHLGFFH48DA,坡道平面,1900000,34.65,地下三樓
RPPOMLTKLHLGFDH88DA,坡道平面,0,,地下一樓
RPRNMLNKLHLGFFH58DA,坡道平面,1800000,34.65,地下四樓
RPRNMLKMLHLGFDH28DA,坡道平面,0,29.75,地下一樓
RPTNMLKLLHLGFEH48DA,坡道平面,0,,地下一樓
RPXOMLRKLHLGFEH96DA,坡道平面,0,32.14,地下二樓
RPTNMLLLJHLGFGH58DA,坡道平面,0,32.08,地下二樓
RPXNMLNKLHLGFBH78DA,坡道平面,0,31.38,地下一樓
RPSNMLPLLHLGFAH48DA,坡道平面,0,,地下一樓
RPSNMLPLLHLGFAH48DA,升降機械,0,,地下三樓
RPOPMLPLLHLGFBH38DA,坡道平面,0,31.08,地下三樓
RPXOMLQLLHLGFDH86DA,坡道平面,0,30.98,地下二樓
RPPNMLRJMHLGFDH58DA,坡道平面,0,39.81,地下三樓
RPQNMLOLKHLGFAH08DA,坡道平面,0,,地下一樓
RPRNMLSKLHLGFCH78DA,坡道平面,0,31.90,地下一樓
RPVNMLKMLHLGFGH98DA,坡道平面,0,23.33,地下二樓
RPRNMLNJLHLGFFH48DA,坡道平面,1730000,34.23,地下三樓
RPRNMLQKLHLGFAH38DA,坡道平面,0,,地下一樓
RPQNMLMKLHLGFAH87DA,坡道平面,0,24.03,地下二樓
RPQNMLLJMHLGFGH38DA,坡道平面,0,,地下二樓
RPPNMLKMLHLGFAH87EA,坡道平面,0,,地下二樓
RPROMLTJLHLGFAH68DA,坡道平面,0,45.40,地下一樓
RPXRMLTJLHLGFBH07DA,坡道平面,1350000,30.80,地下一樓
RPSOMLPLLHLGFBH68DA,坡道平面,0,35.09,地下二樓
RPQQMLKMLHLGFBH28DA,坡道平面,0,,地下一樓
RPRNMLPLKHLGFCH48DA,坡道平面,0,,地下一樓
RPSNMLTLJHLGFHH76DA,坡道平面,0,,地下二樓
RPSNMLRLLHLGFCH88DA,坡道平面,1500000,25.15,地下一樓
RPTNMLLMLHLGFGH88DA,坡道平面,2000000,31.17,地下二樓
RPQOMLKMLHLGFEH38DA,坡道平面,0,27.15,地下二樓
RPUNMLRLLHLGFAH88DA,坡道平面,0,,地下二樓
RPSSMLLJMHLGFAH48DA,坡道平面,0,47.26,地下三樓
RPVOMLLMLHLGFBH68DA,坡道平面,2000000,35.04,地下一樓
RPVOMLLMLHLGFBH68DA,坡道平面,2000000,35.04,地下一樓
RPUNMLKLJHLGFBH08DA,坡道平面,0,35.27,地下一樓
RPUNMLKLJHLGFBH08DA,坡道平面,0,35.27,地下一樓
RPTNMLMJKHLGFGH58DA,一樓平面,0,,一樓
RPVOMLOJKHLGFAH48DA,坡道機械,0,24.28,地下三樓
RPPNMLNLKHLGFHH58DA,坡道平面,2000000,35.68,地下二樓
RPTOMLLMLHLGFBH48DA,坡道平面,2000000,35.04,地下一樓
RPXNMLLMLHLGFGH66DA,坡道平面,2000000,31.17,地下二樓
RPPNMLKKLHLGFHH28DA,坡道機械,200000,,地下二樓
RPPNMLKKLHLGFHH28DA,坡道機械,200000,,地下二樓
RPOQMLLMLHLGFHH78DA,坡道平面,0,32.95,地下四樓
RPSNMLOLLHLGFBH48DA,坡道平面,0,33.26,地下一樓
RPROMLNKLHLGFBH28DA,坡道平面,0,,地下一樓
RPQPMLRJMHLGFBH68DA,坡道平面,1800000,31.07,地下二樓
RPQOMLQJKHLGFAH18DA,坡道平面,0,46.43,地下二樓
RPQNMLPLKHLGFAH18DA,坡道平面,1350000,,地下二樓
RPSNMLLKLHLGFCH18DA,坡道平面,0,28.37,地下一樓
RPSNMLLKLHLGFCH18DA,坡道平面,0,28.37,地下一樓
RPPPMLNLLHLGFEH58DA,坡道平面,0,35.73,地下一樓
RPUNMLKMLHLGFEH68DA,坡道平面,0,20.68,地下一樓
RPUNMLKMLHLGFEH68DA,坡道平面,0,20.68,地下一樓
RPPNMLPLLHLGFGH78DA,一樓平面,1950000,25.17,一樓
RPPNMLQKLHLGFHH88DA,坡道平面,0,36.99,地下一樓
RPXNMLLMLHLGFHH76DA,坡道機械,800000,18.18,地下三樓
RPRNMLMJMHLGFBH18EA,坡道平面,1800000,32.42,地下二樓
RPPNMLQLKHLGFAH18DA,坡道平面,0,33.15,地下二樓
RPRRMLRJMHLGFBH98DA,坡道平面,0,37.05,地下一樓
RPRVMLLJMHLGFEH09DA,坡道平面,0,38.02,地下二樓
RPSOMLMJMHLGFAH18DA,坡道平面,0,,地下二樓
RPTQMLOLKHLGFEH09DA,升降平面,0,,地下二樓
RPQOMLRLLHLGFFH09DA,坡道平面,0,,地下一樓
RPXNMLPLKHLGFEH66DA,坡道平面,0,,地下一樓
RPQNMLMJMHLGFHH68EA,坡道平面,2250000,31.45,地下二樓
RPQSMLQLKHLGFEH56DA,坡道平面,0,,地下三樓
RPTOMLKKLHLGFFH58DA,坡道平面,0,25.89,地下一樓
RPTOMLKKLHLGFFH58DA,坡道平面,0,25.89,地下一樓
RPXNMLKKLHLGFEH78DA,坡道平面,1100000,,地下二樓
RPPSMLTJLHLGFBH98DA,坡道平面,1200000,31.97,地下一樓
RPQNMLNJLHLGFFH38DA,坡道平面,1630000,34.23,地下二樓
RPSNMLNJLHLGFFH58DA,坡道平面,1630000,33.18,地下一樓
RPTPMLPJKHLGFBH58DA,坡道平面,0,33.53,地下二樓
RPTPMLPJKHLGFBH58DA,坡道平面,0,33.53,地下二樓
RPVNMLLKLHLGFBH38DA,坡道平面,2200000,41.87,地下三樓
RPQOMLQLJHLGFAH28DA,坡道平面,0,40.36,地下二樓
RPSNMLLMLHLGFGH78DA,坡道平面,2000000,31.17,地下二樓
RPUNMLNJLHLGFEH68DA,坡道平面,1550000,24.77,地下一樓
RPUQMLNLLHLGFAH78DA,坡道平面,0,24.87,地下二樓
RPUQMLNLLHLGFAH78DA,坡道平面,0,24.87,地下二樓
RPROMLLJMHLGFBH08DA,坡道平面,0,33.19,地下一樓
RPSOMLPJLHLGFAH38DA,坡道平面,0,,地下一樓
RPSOMLPJLHLGFAH38DA,坡道平面,0,,地下一樓
RPTNMLTLJHLGFFH66DA,坡道平面,0,21.95,地下一樓
RPQNMLPJLHLGFHH78DA,坡道平面,0,32.14,地下二樓
RPQNMLLKLHLGFHH48DA,坡道平面,0,23.76,地下三樓
RPTOMLKKKHLGFEH38DA,坡道平面,1800000,25.96,地下一樓
RPSNMLRJMHLGFFH09DA,坡道平面,1500000,23.98,地下一樓
RPSNMLSLLHLGFBH88DA,其他,700000,12.36,一樓
RPQPMLPJLHLGFAH28DA,坡道平面,0,31.55,地下二樓
RPPOMLKMLHLGFCH08DA,一樓平面,0,,一樓
RPSNMLNKLHLGFBH28DA,坡道平面,0,36.65,地下二樓
RPQOMLLJMHLGFBH97DA,坡道平面,2100000,27.49,地下一樓
RPUOMLKMLHLGFBH48DA,升降平面,0,,地下一樓
RPSNMLKMLHLGFBH28EA,坡道平面,1300000,30.77,地下二樓
RPPNMLRLLHLGFHH09DA,坡道平面,0,25.69,地下五樓含以下
RPXNMLLKKHLGFBH48DA,坡道平面,1800000,32.99,地下三樓
