鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路189號,9.94,商,,,1150301,土地2建物1車位1,二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.31,3,2,2,有,無,21220000,164808,坡道平面,27.51,2300000,本戶設有露台,RPWOMLMJLHLGFAH48CB,安曼莊園,B棟10-02F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路189號,6.98,商,,,1150301,土地2建物1車位4,二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.13,2,2,2,有,無,22130000,162964,坡道平面,105.56,9000000,本戶設有露台,RPXOMLMJLHLGFAH58CB,安曼莊園,B棟11-02F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區民有路一段683巷,70.5,,特定農業區,甲種建築用地,1150302,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,161.22,3,3,3,有,無,13430000,83302,一樓平面,0.0,0,,RPUNMLMJLHLGFDH48CB,太禾良品,C棟63號,
觀音區,房地(土地+建物)+車位,桃園市觀音區莊敬路72號附近,24.12,住,,,1150302,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.01,2,1,1,有,無,6930000,90021,一樓平面,15.58,1400000,,RPSNMLNJLHLGFBH18CB,花語繪,A7-2F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區民有路一段683巷,67.97,,特定農業區,甲種建築用地,1150301,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,154.55,3,3,3,有,無,12650000,81851,一樓平面,0.0,0,,RPQNMLNJLHLGFDH18CB,太禾良品,C棟67號,
觀音區,房地(土地+建物)+車位,桃園市觀音區富林里十全一街109號旁,24.79,住,,,1150301,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.54,2,1,1,有,無,7270000,90177,一樓平面,21.0,1450000,,RPTNMLOJLHLGFBH38CB,青淞學5,A1-5F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區明成街98號隔壁,28.75,住,,,1150303,土地3建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.56,2,2,2,有,無,11900000,109247,一樓平面,21.94,2000000,,RPPNMLOJLHLGFHH58CB,連莉.富玉 2,B棟3F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區和平路157號,6.71,商,,,1150302,土地6建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.33,2,1,1,有,無,13900000,178445,坡道機械,13.72,1300000,,RPPNMLOJLHLGFAH97DB,德友越,A棟2-14F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區和平路157號,8.69,商,,,1150302,土地6建物1車位1,十七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.89,3,1,2,有,無,18800000,180269,坡道平面,34.36,2300000,,RPQNMLOJLHLGFAH08DB,德友越,B棟2-17F號,
