編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRJLHLGFAH18CB,和平段,17.58,都市：住,100000,940,持分移轉,05290000
RPWOMLMJLHLGFAH48CB,忠義段,9.44,都市：商,100000,168,持分移轉,06680000
RPWOMLMJLHLGFAH48CB,忠義段,.51,都市：商,100000,168,持分移轉,06690000
RPXOMLMJLHLGFAH58CB,忠義段,6.63,都市：商,100000,118,持分移轉,06680000
RPXOMLMJLHLGFAH58CB,忠義段,.35,都市：商,100000,118,持分移轉,06690000
RPQNMLSJLHLGFAH38CB,桃合段,10.53,都市：住,10000,15,持分移轉,00080000
RPRNMLSJLHLGFAH48CB,桃合段,14.04,都市：住,10000,20,持分移轉,00080000
RPPNMLSJLHLGFAH28CB,桃合段,10.53,都市：住,10000,15,持分移轉,00080000
RPSNMLSJLHLGFAH58CB,桃合段,14.04,都市：住,10000,20,持分移轉,00080000
RPTNMLSJLHLGFAH68CB,桃合段,10.53,都市：住,10000,15,持分移轉,00080000
RPPNMLTJLHLGFBH48CB,富溪段,6.27,都市：住,100000,2815,持分移轉,00490000
RPPNMLTJLHLGFBH48CB,富溪段,17.85,都市：住,100000,2815,持分移轉,00500000
RPSNMLNJLHLGFBH18CB,富溪段,6.27,都市：住,100000,2815,持分移轉,00490000
RPSNMLNJLHLGFBH18CB,富溪段,17.85,都市：住,100000,2815,持分移轉,00500000
RPTNMLOJLHLGFBH38CB,草新段,24.79,都市：住,100000,5940,持分移轉,04470000
RPSNMLRJLHLGFBH58CB,豐興段,7.92,都市：住,100000,2214,持分移轉,02650000
RPSNMLRJLHLGFBH58CB,豐興段,9.26,都市：住,100000,2214,持分移轉,02660000
RPSNMLRJLHLGFBH58CB,豐興段,15.67,都市：住,100000,2214,持分移轉,02670000
RPPNMLRJLHLGFBH28CB,豐興段,6.22,都市：住,100000,1739,持分移轉,02650000
RPPNMLRJLHLGFBH28CB,豐興段,7.28,都市：住,100000,1739,持分移轉,02660000
RPPNMLRJLHLGFBH28CB,豐興段,12.31,都市：住,100000,1739,持分移轉,02670000
RPRNMLRJLHLGFBH48CB,豐興段,6.22,都市：住,100000,1739,持分移轉,02650000
RPRNMLRJLHLGFBH48CB,豐興段,7.28,都市：住,100000,1739,持分移轉,02660000
RPRNMLRJLHLGFBH48CB,豐興段,12.31,都市：住,100000,1739,持分移轉,02670000
RPQNMLTJLHLGFBH58CB,富溪段,6.22,都市：住,100000,2789,持分移轉,00490000
RPQNMLTJLHLGFBH58CB,富溪段,17.68,都市：住,100000,2789,持分移轉,00500000
RPRNMLTJLHLGFBH68CB,富溪段,23.29,都市：住,100000,4095,持分移轉,00630001
RPTNMLTJLHLGFBH88CB,豐興段,9.95,都市：住,100000,509,持分移轉,02350000
RPTNMLTJLHLGFBH88CB,豐興段,1.42,都市：住,100000,509,持分移轉,02370000
