鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
桃園區,租賃房屋,桃園市桃園區民安路８６號七樓,0.0,,,,1150302,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811118,101.76,3,2,2,有,有,有,18000,177,,0.0,0,每個月管理費1000元由承租人負擔,RPRNMLMJLHLGFAH97CC,整棟(戶)出租,有,1150302~1160301,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋,桃園市桃園區宏昌十三街６４８之２號,0.0,,,,1150301,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850506,141.11,2,2,1,有,有,有,13500,96,,0.0,0,每月管理費2500元由承租人負擔，未計入租金。續租案件；,RPTNMLMJLHLGFAH18CC,整棟(戶)出租,有,1150320~1160319,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋+車位,桃園市桃園區敬三街１９０巷５號十二樓,0.0,,,,1150301,土地0建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,108.05,3,1,2,有,有,有,21000,194,坡道平面,0.0,3000,,RPQPMLMJLHLGFAH08CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋+車位,桃園市桃園區大業路一段１９２號四樓,0.0,,,,1150302,土地0建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940302,80.21000000000001,2,1,1,有,有,有,19000,237,坡道平面,0.0,2500,,RPRPMLMJLHLGFAH18CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中壢區,租賃房屋,桃園市中壢區大智街１０號四樓之７６,0.0,,,,1150302,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780529,29.41,1,1,1,有,有,有,7500,255,,0.0,0,社會住宅 管理費400元，水電費 由承租人負擔,RPXQMLMJLHLGFBH98CC,獨立套房,有,1150307~1160306,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中壢區,租賃房屋,桃園市中壢區普義路１３９號二樓之５,0.0,,,,1150302,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891207,137.63,3,2,3,有,有,有,16000,116,,0.0,0,管理費1200元由承租人負擔,RPQRMLMJLHLGFBH38CC,整棟(戶)出租,有,1150315~1160314,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
楊梅區,租賃房屋,桃園市楊梅區中山北路一段３９０巷４５弄４７號五樓,0.0,,,,1150302,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820724,107.37,3,2,2,有,有,有,12000,112,,0.0,0,社會住宅 管理費710元，水電費 瓦斯費 由承租人負擔續租案件；,RPVNMLMJLHLGFDH68CC,整棟(戶)出租,有,1150401~1160309,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
楊梅區,租賃房屋,桃園市楊梅區中山北路一段１１２號五樓,0.0,,,,1150302,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120630,156.86,3,2,2,有,有,有,19000,121,,0.0,0,社會住宅 管理費3000元，水電費 瓦斯費 由承租人負擔未租賃車位，建物登記含有車位面積；續租案件；,RPPOMLMJLHLGFDH18CC,整棟(戶)出租,有,1150315~1160314,有,冷氣、熱水器、電視機、瓦斯或天然氣、網路,社會住宅代管
楊梅區,租賃房屋,桃園市楊梅區三民路二段１２１巷７號４樓之１,0.0,,,,1150302,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850610,318.09,1,1,1,有,有,有,8700,27,,0.0,0,社會住宅 管理費1800元，水電費 瓦斯費 由承租人負擔,RPROMLMJLHLGFDH38CC,獨立套房,有,1150302~1180301,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
蘆竹區,租賃房屋,桃園市蘆竹區愛山街６號八樓,0.0,,,,1150301,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010106,234.2,3,2,2,有,有,無,16900,72,,0.0,0,管理費4100元，水電費 瓦斯費 由承租人負擔未租賃車位，建物登記含有車位面積；,RPPNMLMJLHLGFEH18CC,整棟(戶)出租,有,1150320~1160319,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
八德區,租賃房屋+車位,桃園市八德區中正一路１８號十七樓,0.0,,,,1150302,土地0建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040617,135.43,2,2,1,有,有,無,15900,131,坡道平面,37.11,3000,每個月管理費2100元由承租人負擔續租案件；,RPVNMLMJLHLGFFH88CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
龜山區,租賃房屋,桃園市龜山區中和路１２６號２樓,22.4,住,,,1150302,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690626,87.77,3,2,1,有,無,無,18000,205,,0.0,0,,RPSNMLMJLHLGFHH78CC,整棟(戶)出租,無,1150310~1160309,無,熱水器,
龜山區,租賃房屋+車位,桃園市龜山區樂善三路８０號十九樓,0.0,,,,1150301,土地0建物1車位1,十九層,30,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1121229,117.15,2,2,2,有,有,無,22000,188,坡道平面,29.88,0,多人共同承租2；租金總額含管理費；,RPPOMLMJLHLGFHH58CC,整棟(戶)出租,有,1150308~1160307,有,冷氣、洗衣機、冰箱,
龍潭區,租賃房屋,桃園市龍潭區中豐路７４８巷５１號７樓,0.0,,,,1150302,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140418,85.6,2,2,2,有,有,無,17000,199,,0.0,0,租金總額含管理費；,RPPNMLMJLHLGFCH08DC,整棟(戶)出租,有,1150315~1160314,有,,
桃園區,租賃房屋,桃園市桃園區成功路二段１２號１４樓,0.0,,,,1150301,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121207,64.44,2,1,1,有,有,有,21733,337,,0.0,0,,RPPNMLNJLHLGFAH87CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
桃園區,租賃房屋,桃園市桃園區慈文路２６６號３樓之２,0.0,,,,1150303,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810514,53.61,1,1,1,有,有,無,13750,256,,0.0,0,租金總額含管理費；,RPQOMLNJLHLGFAH08CC,獨立套房,有,1150306~1160305,有,冷氣、熱水器,一般代管
桃園區,租賃房屋,桃園市桃園區宏昌十三街６６４號三樓,0.0,,,,1150302,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820120,127.19,3,1,2,有,有,有,15000,118,,0.0,0,每月管理費1000由承租人負擔,RPPPMLNJLHLGFAH08CC,整棟(戶)出租,有,1150311~1180310,有,熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
中壢區,租賃房屋,桃園市中壢區光輝二街１２巷６號二樓,0.0,,,,1150302,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690811,86.61,3,2,1,有,無,有,14000,162,,0.0,0,,RPTQMLNJLHLGFBH68CC,整棟(戶)出租,無,1150306~1160305,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
中壢區,租賃房屋,桃園市中壢區新興路１８６號十三樓之４,0.0,,,,1150301,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840104,107.59,3,2,1,有,有,無,14000,130,,0.0,0,管理費1148元，水電費由承租人負擔續租案件；,RPURMLNJLHLGFBH88CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機,社會住宅代管
觀音區,租賃房屋,桃園市觀音區保生六路３７號,500.06,,工業區,丁種建築用地,1150301,土地1建物0車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1121124,15.0,30,0,30,有,無,有,7000,467,,0.0,0,電費由承租人負擔。租金總額含水費；,RPOSMLNJLHLGFBH38CC,分租套房,無,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
觀音區,租賃房屋,桃園市觀音區保生六路３７號,500.06,,工業區,丁種建築用地,1150301,土地1建物0車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1121124,15.0,30,0,30,有,無,有,7000,467,,0.0,0,電費由承租人負擔。租金總額含水費；,RPPSMLNJLHLGFBH48CC,分租套房,無,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
