編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMJLHLGFCH08DC,1,59.26,集合住宅,鋼筋混凝土造,114年4月18日,七層,,
RPPNMLMJLHLGFCH08DC,1,26.34,共有部分：防空避難室、台電配電室、電信機房、水箱、集合住宅（附屬停車空間）、樓梯間、機房,鋼筋混凝土造,114年4月18日,七層,,
RPPOMLMJLHLGFHH58CC,2,57.55,集合住宅,鋼筋混凝土造,112年12月29日,三十層,,
RPPOMLMJLHLGFHH58CC,2,59.60,共有部分項目：停車空間、防空避難室兼停車空間、防災中心、管委會、梯間、樓梯間、水錶室、機械室、水箱等項,鋼筋混凝土造,112年12月29日,三十層,,
RPSNMLMJLHLGFHH78CC,46,87.77,住家用,鋼筋混凝土造,69年6月26日,五層,,
RPPPMLNJLHLGFAH08CC,33,107.80,住家用,鋼筋混凝土造,82年1月20日,六層,,
RPPPMLNJLHLGFAH08CC,33,19.39,共有部份,鋼筋混凝土造,82年1月20日,六層,,
RPPNMLNJLHLGFAH87CC,2,43.16,住家用,鋼筋混凝土造,112年12月7日,十四層,,
RPPNMLNJLHLGFAH87CC,2,10.20,本共有部分項目：停車空間、防空避難室兼停車空間、樓梯間、管委會使用空間等項。,鋼筋混凝土造,112年12月7日,十四層,,
RPTNMLMJLHLGFAH18CC,30,61.02,商業用,鋼筋混凝土造,85年5月6日,六層,,
RPPNMLNJLHLGFAH87CC,2,11.08,本共有部分項目：樓梯間、電梯機房、水箱、管委會使用空間等項。,鋼筋混凝土造,112年12月7日,十四層,,
RPTNMLMJLHLGFAH18CC,30,80.09,共有部份,鋼筋混凝土造,85年5月6日,六層,,
RPRPMLMJLHLGFAH18CC,21,57.52,住家用,鋼筋混凝土造,94年3月2日,十三層,,
RPRPMLMJLHLGFAH18CC,21,10.48,共有部份,鋼筋混凝土造,94年3月2日,十三層,,
RPRPMLMJLHLGFAH18CC,21,12.21,共有部份,鋼筋混凝土造,94年3月2日,十三層,,
RPRNMLMJLHLGFAH97CC,33,91.78,住家用,鋼筋混凝土造,81年11月18日,七層,,
