編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLMJLHLGFHH58CC,坡道平面,0,29.88,地下五樓含以下
RPRPMLMJLHLGFAH18CC,坡道平面,2500,,地下二樓
RPQPMLMJLHLGFAH08CC,坡道平面,3000,,地下一樓
RPROMLNJLHLGFGH78CC,坡道平面,300,39.71,地下一樓
RPRPMLOJLHLGFAH38CC,坡道平面,0,,地下二樓
RPUQMLOJLHLGFAH78CC,坡道平面,1500,,地下二樓
RPUNMLOJLHLGFDH78CC,坡道平面,3000,25.49,地下一樓
RPTNMLNJLHLGFFH78CC,坡道平面,3000,,地下三樓
RPSOMLOJLHLGFFH88CC,坡道平面,2500,32.88,地下三樓
RPVNMLMJLHLGFFH88CC,坡道平面,3000,37.11,地下二樓
RPWNMLOJLHLGFHH76CC,坡道平面,2000,30.07,地下四樓
RPSQMLPJLHLGFAH68CC,坡道平面,0,35.80,地下二樓
RPUNMLPJLHLGFBH68CC,坡道平面,0,30.98,地下二樓
RPXQMLPJLHLGFBH66CC,坡道平面,500,35.26,地下三樓
RPWPMLPJLHLGFBH09CC,坡道平面,1000,,地下一樓
RPXRMLPJLHLGFBH76CC,坡道平面,3000,26.21,地下一樓
RPSNMLPJLHLGFDH68CC,坡道平面,3000,25.67,地下二樓
RPQNMLNJLHLGFEH38CC,坡道平面,3000,41.53,地下二樓
RPVNMLOJLHLGFEH98CC,坡道平面,2500,26.90,地下三樓
RPXNMLNJLHLGFEH09CC,坡道平面,2000,33.49,地下二樓
RPPOMLOJLHLGFEH48CC,坡道平面,2000,33.49,地下二樓
RPSOMLQJLHLGFAH58CC,坡道平面,2300,,地下二樓
RPPOMLQJLHLGFAH28CC,坡道平面,2984,27.56,地下三樓
RPVOMLPJLHLGFFH66CC,坡道平面,0,24.83,地下二樓
RPTNMLQJLHLGFBH68CC,坡道平面,0,19.99,地下二樓
RPOQMLQJLHLGFBH48CC,坡道平面,2091,,地下二樓
RPTNMLQJLHLGFCH78CC,坡道平面,500,35.93,地下二樓
RPPNMLQJLHLGFFH68CC,坡道平面,2500,27.52,地下二樓
RPWNMLQJLHLGFHH96CC,坡道平面,0,29.07,地下五樓含以下
RPQOMLQJLHLGFGH98CC,坡道平面,1110,26.62,地下二樓
RPQOMLQJLHLGFFH88CC,坡道平面,2500,22.51,地下二樓
RPPOMLQJLHLGFFH78CC,坡道平面,2000,28.94,地下二樓
RPVNMLRJLHLGFAH88CC,坡道平面,2000,,地下一樓
RPRNMLQJLHLGFHH09CC,坡道平面,1000,25.76,地下二樓
RPRNMLRJLHLGFBH58CC,坡道平面,0,,地下一樓
RPQNMLRJLHLGFBH48CC,一樓平面,0,,一樓
RPTNMLRJLHLGFBH78CC,坡道平面,0,,地下一樓
RPVNMLRJLHLGFBH98CC,坡道平面,0,,地下一樓
RPUNMLRJLHLGFBH88CC,坡道平面,0,,地下一樓
RPXNMLRJLHLGFBH56CC,一樓平面,0,,一樓
RPXNMLRJLHLGFBH56CC,坡道平面,0,,地下一樓
RPQOMLRJLHLGFBH58CC,坡道平面,0,,地下一樓
