編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLRJMHLGFAI48DA,21,127.58,住家用,鋼筋混凝土造,93年10月28日,十四層,十層 陽台,全筆移轉
RPQNMLRJMHLGFAI48DA,21,71.55,共有部份,鋼筋混凝土造,93年10月28日,十四層,,持分移轉
RPXNMLMJMHLGFAI68DA,33,69.52,住家用,鋼筋混凝土造,82年7月2日,六層,二層 陽台,全筆移轉
RPXNMLMJMHLGFAI68DA,33,33.38,共有部份,鋼筋混凝土造,82年7月2日,六層,,持分移轉
RPPNMLRJMHLGFAI38DA,30,23.57,住家用,鋼筋混凝土造,84年10月4日,十一層,六層,全筆移轉
RPPNMLRJMHLGFAI38DA,30,4.55,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPPNMLRJMHLGFAI38DA,30,3.34,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPSNMLLMLHLGFAI28DA,1,178.07,住宅,鋼筋混凝土造,114年7月2日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLKMLHLGFAI87DA,33,18.86,共有部份,鋼筋混凝土造,81年10月6日,七層,,持分移轉
RPPNMLKMLHLGFAI87DA,33,12.68,停車場、避難室,鋼筋混凝土造,81年10月6日,七層,地下層,持分移轉
RPPNMLKMLHLGFAI87DA,33,98.77,住家用,鋼筋混凝土造,81年10月6日,七層,七層 陽台 花台,全筆移轉
RPPNMLKMLHLGFAI87DA,33,.00,,鋼筋混凝土造,81年10月6日,七層,,持分移轉
RPPNMLKMLHLGFAI87DA,33,4.44,,鋼筋混凝土造,81年10月6日,七層,,持分移轉
RPRNMLLMLHLGFAI18DA,46,103.23,住商用,鋼筋混凝土加強磚造,69年7月16日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPROMLRJMHLGFAI68DA,41,8.70,共有部份,鋼筋混凝土造,74年8月21日,五層,,持分移轉
RPROMLRJMHLGFAI68DA,41,6.61,共有部份,鋼筋混凝土造,74年8月21日,五層,,持分移轉
RPROMLRJMHLGFAI68DA,41,83.53,住家用,鋼筋混凝土造,74年8月21日,五層,二層 陽台,全筆移轉
RPUNMLSKLHLGFAI98DA,42,118.71,住家用,鋼筋混凝土加強磚造,72年10月18日,二層,一層 二層 電梯樓梯間,全筆移轉
RPRNMLNLLHLGFAI28DA,30,160.79,店舖、住宅、停車場,鋼筋混凝土造,85年8月3日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPXNMLRLLHLGFAI66DA,29,100.07,住家用,鋼筋混凝土造,86年7月9日,九層,六層 七層 陽台,全筆移轉
RPXNMLRLLHLGFAI66DA,29,48.30,共有部份,鋼筋混凝土造,86年7月9日,九層,,持分移轉
RPPNMLLMLHLGFAI08EA,49,59.80,住家用,磚造,66年1月28日,一層,一層,全筆移轉
RPRNMLPLLHLGFAI48DA,33,93.24,住家用,鋼筋混凝土造,82年5月21日,六層,一層 平台,全筆移轉
RPRNMLPLLHLGFAI48DA,33,41.88,共有部份,鋼筋混凝土造,82年5月21日,六層,,持分移轉
RPRNMLKMLHLGFAI08DA,49,85.88,住家用,鋼筋混凝土加強磚造,65年9月20日,二層,一層 二層,全筆移轉
RPPNMLOLLHLGFAI18DA,31,38.67,共有部份,鋼筋混凝土造,83年11月29日,十六層,,持分移轉
RPPNMLOLLHLGFAI18DA,31,114.55,住家用,鋼筋混凝土造,83年11月29日,十六層,十層 陽台 花台,全筆移轉
RPRNMLTJMHLGFAI78DA,30,34.36,共有部份,鋼筋混凝土造,84年10月2日,十四層,,持分移轉
RPRNMLTJMHLGFAI78DA,30,12.24,共有部份,鋼筋混凝土造,84年10月2日,十四層,,持分移轉
RPRNMLTJMHLGFAI78DA,30,149.57,住商用,鋼筋混凝土造,84年10月2日,十四層,一層 二層 陽台 平台 花台 夾層,全筆移轉
RPOOMLRLLHLGFAI48DA,3,62.83,集合住宅,鋼筋混凝土構造,111年10月20日,五層,三層 陽台,全筆移轉
