鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,土地,湖子內段湖美小段512地號,1074.55,其他,,,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,80000,74,,0.0,0,115/4/1-116/3/30 施工裝修期免租金租賃期間有約定不同租金116/4/1-121/3/30 租金80000元/月121/4/1-126/3/30 租金84000元/月126/4/1-131/3/30 租金88000元/月131/4/1-136/3/30 租金92000元/月；,RPVNMLNJLHLGFAI58CC,,,1150415~1360414,,,
嘉義市,租賃房屋,嘉義市嘉義市建成街１８６號４樓６,0.0,,,,1150302,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800710,34.76,1,0,1,有,有,有,7600,219,,0.0,0,續租案件；,RPPNMLOJLHLGFAI08CC,獨立套房,有,1150404~1160403,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市仁義新村２號５樓,0.0,,,,1150302,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0710503,82.94,3,1,1,有,無,無,12000,145,,0.0,0,,RPVNMLOJLHLGFAI68CC,整棟(戶)出租,無,1150305~1160304,無,冷氣、熱水器,
嘉義市,租賃房屋,嘉義市嘉義市友愛路５６０號六樓之７,0.0,,,,1150303,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840724,37.71,1,0,1,有,有,有,8000,212,,0.0,0,租金總額含管理費；,RPWNMLOJLHLGFAI78CC,獨立套房,有,1150309~1160308,有,冷氣、洗衣機、電視機、冰箱,
嘉義市,租賃房屋,嘉義市嘉義市博愛路二段１６８號７樓之２,0.0,,,,1150304,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880421,39.13,1,0,1,有,有,有,8000,204,,0.0,0,,RPPNMLPJLHLGFAI18CC,獨立套房,有,1150305~1160304,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市嘉北街１２巷５１號七樓３,0.0,,,,1150305,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,146.62,3,2,2,有,有,有,13000,89,,0.0,0,,RPUNMLQJLHLGFAI78CC,整棟(戶)出租,有,1150315~1160314,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市盧義路３３５巷７８號,0.0,,,,1150305,土地0建物1車位0,全,2,透天厝,住家用,磚造,0660712,75.96,3,1,1,有,無,有,3000,39,,0.0,0,續租案件；,RPVNMLQJLHLGFAI88CC,整棟(戶)出租,無,1150325~1160324,無,熱水器、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市忠孝北街１１０之９１號,0.0,,,,1150304,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0940517,149.83,5,2,3,有,無,有,27000,180,,0.0,0,,RPXNMLQJLHLGFAI09CC,整棟(戶)出租,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
嘉義市,租賃房屋,嘉義市嘉義市國華街３０２號,0.0,,,,1150307,土地0建物1車位0,全,5,透天厝,店舖、住宅,鋼筋混凝土構造,1041110,63.18,5,2,6,有,無,有,16500,261,,0.0,0,租金總額含水費；網路費；,RPPNMLRJLHLGFAI38CC,分層出租,無,1150315~1160314,有,冷氣、洗衣機、電視機、冰箱、網路,
嘉義市,租賃房屋,嘉義市嘉義市北興街４０８之６號,0.0,,,,1150301,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960330,33.06,5,1,6,有,無,無,7500,227,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPQNMLTJLHLGFAI68CC,分租套房,無,1150310~1160310,無,,
