鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹北市,土地,社北段689地號,3.31,住,,,1150302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,380000,114804,,0.0,0,,RPWNMLKMLHLGFBJ78DA,0.0,0.0,0.0,無,001
竹東鎮,土地,員崠段432地號,8961.89,,特定農業區,農牧用地,1150317,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,76130000,8495,,0.0,0,農作物；,RPSNMLRKLHLGFCJ98DA,0.0,0.0,0.0,無,002
芎林鄉,房地(土地+建物),新竹縣芎林鄉文山路４０２、４０４號,45.55,住,,,1150306,土地4建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0611001,35.01,3,2,2,有,無,3500000,99971,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPRNMLPLLHLGFCJ88EA,35.01,0.0,0.0,無,
寶山鄉,土地,柑仔崎段35地號,4133.81,,山坡地保育區,農牧用地,1150318,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5001910,1210,,0.0,0,,RPQNMLRLLHLGFCJ88DA,0.0,0.0,0.0,無,
關西鎮,土地,大旱坑段大旱坑小段142-8地號,366.0,,山坡地保育區,農牧用地,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2214300,6050,,0.0,0,農作物；,RPWNMLSKLHLGFBJ76DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市博愛街６９３巷３弄２９號,92.0,住,,,1150308,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,116.1,4,2,3,有,無,20000000,172265,,0.0,0,,RPSNMLPLLHLGFBJ78DA,116.1,0.0,0.0,無,
關西鎮,土地,仁安段536-1地號,138.06,,特定農業區,農牧用地,1150302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1419840,10284,,0.0,0,,RPRNMLQLLHLGFBJ78DA,0.0,0.0,0.0,無,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮文山六街８９號,28.05,,鄉村區,乙種建築用地,1150316,土地3建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1090702,66.18,4,2,4,有,無,5080000,76760,一樓平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTLLHLGFBJ88DA,60.96,0.0,5.22,無,003
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利八街一段２３１號二十七樓之八,9.38,商,,,1150318,土地1建物1車位1,二十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,124.76,2,2,1,有,有,18380000,147323,坡道平面,29.81,0,,RPTPMLLMLHLGFBJ78DA,56.97,1.25,6.15,有,004
